N,K,beta,t1,tv,t2,h1,hv,h2,tail_gamma,aw_mass_in_window,paper_bimodal
240,2,0.01,53,1861.0,5597.0,0.00013220494999220583,3.510844185799336e-05,5.135616369708e-05,8.128445279523863e-05,0.5571179600984457,True
242,2,0.01,53,1898.0,5680.0,0.00013220495031141048,3.4736785629160435e-05,5.055477300274419e-05,8.012629589637554e-05,0.5513653676872985,True
244,2,0.01,53,1934.0,5762.0,0.0001322049506035752,3.4371283032058626e-05,4.977239484544362e-05,7.89946728851696e-05,0.5456862608752843,True
246,2,0.01,53,1971.0,5846.0,0.0001322049508693443,3.401179576218334e-05,4.9008425213249074e-05,7.788875511495752e-05,0.5400808305663289,True
248,2,0.01,53,2009.0,5929.0,0.00013220495110933433,3.365818157604736e-05,4.8262284421367744e-05,7.680774646702959e-05,0.5345492127312494,True
250,2,0.01,53,2047.0,6014.0,0.00013220495132421452,3.331030656468998e-05,4.753341552856102e-05,7.575088180014835e-05,0.5290914913572267,True
252,2,0.01,53,2085.0,6098.0,0.00013220495151458096,3.296803853943694e-05,4.682128368879999e-05,7.471742553699604e-05,0.5237077013181156,True
254,2,0.01,53,2124.0,6183.0,0.0001322049516810453,3.2631250622233226e-05,4.6125373937363316e-05,7.370667027218728e-05,0.5183978310632029,True
256,2,0.01,53,2163.0,6268.0,0.0001322049518242134,3.2299819217386565e-05,4.544519159788876e-05,7.27179355002183e-05,0.5131618250668899,True
258,2,0.01,53,2203.0,6354.0,0.000132204951944677,3.197362379570098e-05,4.478026115320937e-05,7.175056634865658e-05,0.5079995863253923,True
260,2,0.01,53,2243.0,6440.0,0.00013220495204300327,3.165254773733444e-05,4.413012427207318e-05,7.080393247634171e-05,0.5029109785057416,True
262,2,0.01,53,2283.0,6527.0,0.00013220495211977408,3.133647899947226e-05,4.3494340640270406e-05,6.987742691164848e-05,0.4978958281371435,True
264,2,0.01,53,2324.0,6614.0,0.00013220495217554332,3.102530508574848e-05,4.287248557810276e-05,6.897046506519592e-05,0.49295392657373727,True
266,2,0.01,53,2366.0,6701.0,0.00013220495221085983,3.0718919621113865e-05,4.2264150431913725e-05,6.808248368994391e-05,0.48808503189213875,True
268,2,0.01,53,2408.0,6789.0,0.00013220495222625582,3.0417220277869516e-05,4.166894188785428e-05,6.721294000818293e-05,0.4832888706853251,True
270,2,0.01,53,2450.0,6877.0,0.0001322049522222592,3.0120104208561508e-05,4.1086480207615526e-05,6.636131074116424e-05,0.4785651398010863,True
272,2,0.01,53,2493.0,6966.0,0.0001322049521993788,2.9827474500395224e-05,4.051640011780392e-05,6.552709135247558e-05,0.47391350783775604,True
274,2,0.01,53,2536.0,7055.0,0.000132204952158121,2.9539234380992865e-05,3.995834876295301e-05,6.470979516285602e-05,0.4693336167840382,True
276,2,0.01,53,2580.0,7144.0,0.0001322049520989956,2.9255292307811077e-05,3.941198620850768e-05,6.390895264255864e-05,0.46482508338845396,True
278,2,0.01,53,2624.0,7234.0,0.0001322049520224701,2.8975556076315087e-05,3.887698467569911e-05,6.312411067430055e-05,0.46038750052239286,True
280,2,0.01,53,2668.0,7324.0,0.00013220495192902126,2.8699938719689502e-05,3.8353027496974e-05,6.235483185108574e-05,0.45602043857743674,True
282,2,0.01,53,2713.0,7415.0,0.00013220495181912864,2.8428354758072263e-05,3.7839809273711705e-05,6.160069384665025e-05,0.45172344660608377,True
284,2,0.01,53,2759.0,7505.0,0.00013220495169322458,2.816072074315964e-05,3.733703514641395e-05,6.086128877225895e-05,0.44749605356235306,True
286,2,0.01,53,2805.0,7597.0,0.00013220495155177802,2.7896955578810147e-05,3.6844420453029375e-05,6.013622257847701e-05,0.44333776938566327,True
288,2,0.01,53,2851.0,7688.0,0.0001322049513952254,2.7636979836147977e-05,3.636169003149454e-05,5.9425114512352225e-05,0.4392480861524094,True
290,2,0.01,53,2898.0,7780.0,0.0001322049512239753,2.7380717468523163e-05,3.588857816263393e-05,5.872759655695041e-05,0.43522647900722455,True
