scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak2,2050,2102,0.009838380780663711,0.0014175458669926093,0.000418976012208895,20.42448068011076,0.00039523941748943487,0.8304124366216752,0.0011174649018737888,0.16807485905896152,0.9984872956806368
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak1,514,566,0.04499513274752962,0.0002285598674723248,0.00016098620569342573,24.297384211184685,0.1745117007065253,0.817537813847976,0.0010080682038966803,0.006942417241602189,0.8244802310895781
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,valley,1378,1430,0.007005286224236019,0.0016756645660917554,0.0004896486642003521,9.835417658734908,0.008920036400766164,0.6982140128584087,0.00813224370940191,0.2847337070314232,0.9829477198898319
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak2,1991,2043,0.010886622483146516,0.0016537680716476268,0.0004285887471300572,21.95831798391088,0.0004933821442540019,0.8270706846079319,0.0011609580374630749,0.1712749752103511,0.9983456598182829
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,peak1,411,463,0.02810297541117213,6.530991939099053e-05,9.671962944056263e-05,12.281064951799008,0.26340494157855715,0.7313161719153485,0.001435500959245195,0.0038433855468492473,0.7351595574621977
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,valley,1163,1215,0.00317326111085682,0.00033238144250070803,0.00038740482666914887,3.7730052878232194,0.011201737564205947,0.7724134126668323,0.024438777490177047,0.19194607227878482,0.9643594849456171
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,peak2,1940,1992,0.005450765698589976,0.000455361806339044,0.00028584394273475813,10.716206475646484,0.00043312301291032303,0.8743089662774784,0.0015055765264619012,0.12375233418314942,0.9980613004606279
delta,delta_core_p0p95_open_p0p20,2,-0.08,0.95,0.2,0.002,0.002,peak1,405,457,0.03966669087501069,9.544813471262366e-05,0.00012486408752371468,17.09669774882118,0.25186653371336426,0.7430560115222283,0.0012587621018457674,0.0038186926625615606,0.7468747041847899
delta,delta_core_p0p95_open_p0p20,2,-0.08,0.95,0.2,0.002,0.002,valley,1148,1200,0.0046305961580169995,0.0006414379498060642,0.0004829782344979973,5.43632315895778,0.0078058717234907,0.7598917481915201,0.019397807796024732,0.21290457228896448,0.9727963204804846
delta,delta_core_p0p95_open_p0p20,2,-0.08,0.95,0.2,0.002,0.002,peak2,1843,1895,0.008474382754159132,0.000784777769791759,0.0003833917324225697,15.838623508908523,0.0005398278742165486,0.872494948118983,0.0014352613828976725,0.1255299626239029,0.9980249107428859
delta,delta_core_p0p95_open_p0p40,2,-0.08,0.95,0.4,0.002,0.002,peak1,401,453,0.05053251327950643,0.00012969103705903564,0.0001472358711493383,21.577500688924985,0.24144067926206902,0.7535511217925708,0.0011248863574116648,0.003883312587948725,0.7574344343805195
delta,delta_core_p0p95_open_p0p40,2,-0.08,0.95,0.4,0.002,0.002,valley,1133,1185,0.005422658988606138,0.0009731418444963386,0.0005406574346867502,6.284865550680626,0.0068179897478719415,0.7258342750631583,0.017774035644515244,0.24957369954445463,0.975407974607613
delta,delta_core_p0p95_open_p0p40,2,-0.08,0.95,0.4,0.002,0.002,peak2,1775,1827,0.010813339600193105,0.001064322585494712,0.00043776990147939,19.474828319326996,0.0006617476608379842,0.8717670392752844,0.001431283265945764,0.1261399297979319,0.9979069690732163
delta,delta_core_p0p95_open_p0p55,2,-0.08,0.95,0.55,0.002,0.002,peak1,398,450,0.05784636089977865,0.0001557329648245147,0.0001589203541926775,24.526930856408196,0.235262345172938,0.7597662046441488,0.0010404838164816412,0.003930966366431627,0.7636971710105804
delta,delta_core_p0p95_open_p0p55,2,-0.08,0.95,0.55,0.002,0.002,valley,1119,1171,0.005635878776952635,0.001195332703085017,0.0005639281778977843,6.453070230891745,0.006930978640377242,0.6940910238282604,0.01761227036190406,0.28136572716945835,0.9754567509977188
delta,delta_core_p0p95_open_p0p55,2,-0.08,0.95,0.55,0.002,0.002,peak2,1736,1788,0.012071695011803529,0.0012206777059903609,0.00045660571676813547,21.270329063076545,0.0007621545606298557,0.8719622268021796,0.0014521786129007431,0.12582344002428994,0.9977856668264695
delta,delta_core_p0p95_open_p0p80,2,-0.08,0.95,0.8,0.002,0.002,peak1,393,445,0.06820977910598028,0.0001964097407991826,0.00017015753720646493,28.58031505538407,0.22789974008187652,0.7671867172419614,0.0009260003235675921,0.0039875423525945536,0.771174259594556
delta,delta_core_p0p95_open_p0p80,2,-0.08,0.95,0.8,0.002,0.002,valley,1097,1149,0.005623905334881701,0.0014920015458959645,0.000578767753865881,6.315639252905231,0.007761785247297613,0.6397037434431788,0.018059788915305006,0.3344746823942186,0.9741784258373974
delta,delta_core_p0p95_open_p0p80,2,-0.08,0.95,0.8,0.002,0.002,peak2,1686,1738,0.013422016150475011,0.0013985108834007655,0.00046419776334321667,22.978496942651496,0.0009433109601043025,0.8723834298045778,0.0015120676798984357,0.12516119155541935,0.9975446213599972
delta,delta_core_p1p00_open_p0p00,2,-0.08,1.0,0.0,0.002,0.002,peak1,382,434,0.031727562054631134,6.5920391338283e-05,9.916263765667441e-05,12.945088198509037,0.2779750872416163,0.7172546694746642,0.0013805919536018683,0.0033896513301175865,0.7206443208047818
