t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
3726,1.2201028442954454e-10,2.8922348072046983e-22,1.220102844292553e-10,1.4542579234267482e-44,2.8922348072051573e-22,3.357970652125778e-11,6.848729044416148e-11,1.9943287463855457e-11,1.0206699696541926e-10
3727,1.2138066569100033e-10,2.877309661354113e-22,1.213806656907126e-10,1.4174475499755218e-44,2.877309661354569e-22,3.340642262651914e-11,6.813387055322001e-11,1.9840372510992773e-11,1.0154029317973915e-10
3728,1.2075429603254312e-10,2.862461536167686e-22,1.2075429603225686e-10,1.3815689256808872e-44,2.8624615361681404e-22,3.323403294508025e-11,6.778227444648116e-11,1.9737988640714705e-11,1.010163073915614e-10
3729,1.2013115868754975e-10,2.8476900341779895e-22,1.20131158687265e-10,1.346598465982041e-44,2.847690034178442e-22,3.306253286242095e-11,6.743249271245985e-11,1.9636133112403328e-11,1.004950255748808e-10
3730,1.195112369759208e-10,2.832994759968778e-22,1.1951123697563748e-10,1.312513183293778e-44,2.832994759969228e-22,3.2891917787834226e-11,6.708451598823864e-11,1.9534803199583656e-11,9.997643377607287e-11
3731,1.1889451430363368e-10,2.8183753201644025e-22,1.1889451430335184e-10,1.2792906718957611e-44,2.8183753201648497e-22,3.27221831543032e-11,6.673833495921694e-11,1.9433996189850627e-11,9.946051811352013e-11
3732,1.1828097416229887e-10,2.803831323419281e-22,1.1828097416201848e-10,1.24690909320428e-44,2.8038313234197265e-22,3.2553324418378997e-11,6.63939403588618e-11,1.9333709384796538e-11,9.89472647772408e-11
3733,1.1767060012871779e-10,2.789362380407423e-22,1.1767060012843884e-10,1.2153471614168125e-44,2.7893623804078666e-22,3.2385337060059045e-11,6.60513229684598e-11,1.923394009993876e-11,9.843666002851884e-11
3734,1.1706337586444308e-10,2.7749681038120033e-22,1.170633758641656e-10,1.1845841295199514e-44,2.7749681038124443e-22,3.22182165826661e-11,6.571047361687026e-11,1.9134685664647906e-11,9.792869019953636e-11
3735,1.1645928511534155e-10,2.760648108314995e-22,1.1645928511506547e-10,1.1545997756515013e-44,2.7606481083154336e-22,3.20519585127279e-11,6.537138318027976e-11,1.9035943422076352e-11,9.742334169300765e-11
3736,1.1585831171115858e-10,2.7464020105868537e-22,1.1585831171088394e-10,1.1253743898077814e-44,2.7464020105872905e-22,3.1886558399857366e-11,6.503404258195794e-11,1.893771072908709e-11,9.69206009818153e-11
3737,1.1526043956508582e-10,2.732229429276258e-22,1.152604395648126e-10,1.0968887608873923e-44,2.732229429276693e-22,3.172201181663353e-11,6.46984427920145e-11,1.8839984956182974e-11,9.642045460864803e-11
3738,1.1466565267333024e-10,2.7181299849998954e-22,1.1466565267305842e-10,1.0691241640629339e-44,2.718129985000328e-22,3.155831435848295e-11,6.436457482715743e-11,1.8742763487436348e-11,9.592288918564037e-11
3739,1.140739351146857e-10,2.7041033003323097e-22,1.1407393511441529e-10,1.0420623484723732e-44,2.70410330033274e-22,3.1395461643561864e-11,6.403242975045262e-11,1.8646043720419027e-11,9.542789139401449e-11
3740,1.1348527105010694e-10,2.6901489997957964e-22,1.1348527104983792e-10,1.0156855252219673e-44,2.690148999796224e-22,3.1233449312638863e-11,6.370199867108461e-11,1.8549823066132577e-11,9.493544798372348e-11
3741,1.1289964472228543e-10,2.6762667098503482e-22,1.128996447220178e-10,9.899763556928603e-45,2.6762667098507742e-22,3.1072273028978194e-11,6.337327274411855e-11,1.845409894893909e-11,9.444554577309674e-11
3742,1.1231704045522763e-10,2.6624560588836584e-22,1.1231704045496139e-10,9.649179401436646e-45,2.662456058884083e-22,3.09119284782237e-11,6.304624317026347e-11,1.8358868806492174e-11,9.395817164848718e-11
3743,1.1173744265383542e-10,2.6487166772011714e-22,1.1173744265357055e-10,9.404938066015341e-45,2.6487166772015936e-22,3.0752411368283284e-11,6.272090119563675e-11,1.8264130089668385e-11,9.347331256392003e-11
3744,1.1116083580348848e-10,2.635048197016183e-22,1.1116083580322498e-10,9.166879000344302e-45,2.6350481970166027e-22,3.059371742921407e-11,6.239723811152971e-11,1.816988026249899e-11,9.299095554074378e-11
3745,1.1058720446962917e-10,2.6214502524399978e-22,1.1058720446936703e-10,8.934845717974584e-45,2.6214502524404162e-22,3.043584241310804e-11,6.207524525417461e-11,1.8076116802102084e-11,9.251108766728264e-11
3746,1.1001653329734923e-10,2.607922479472135e-22,1.1001653329708844e-10,8.708685693463431e-45,2.60792247947255e-22,3.027878209397838e-11,6.175491400451263e-11,1.798283719861503e-11,9.2033696098491e-11
3747,1.0944880701097876e-10,2.594464515990577e-22,1.0944880701071931e-10,8.488250262112738e-45,2.5944645159909906e-22,3.0122532267646316e-11,6.14362357879632e-11,1.7890038955127318e-11,9.155876805560952e-11
3748,1.0888401041367738e-10,2.581076001742083e-22,1.0888401041341928e-10,8.273394522245367e-45,2.5810760017424945e-22,2.99670887516286e-11,6.111920207419443e-11,1.779771958761368e-11,9.108629082582302e-11
3749,1.0832212838702739e-10,2.5677565783325406e-22,1.0832212838677061e-10,8.063977239955058e-45,2.56775657833295e-22,2.981244738502552e-11,6.080380437689483e-11,1.770587662486761e-11,9.061625176192035e-11
3750,1.0776314589062902e-10,2.5545058892173716e-22,1.0776314589037356e-10,7.859860756267297e-45,2.554505889217779e-22,2.965860402840953e-11,6.049003425354607e-11,1.7614507608435235e-11,9.01486382819556e-11
3751,1.0720704796169792e-10,2.5413235796919877e-22,1.0720704796144378e-10,7.660910896650178e-45,2.541323579692393e-22,2.9505554563714465e-11,6.017788330519703e-11,1.752361009254946e-11,8.96834378689115e-11
3752,1.0665381971466448e-10,2.5282092968822936e-22,1.0665381971441166e-10,7.466996882815709e-45,2.528209296882697e-22,2.9353294894125266e-11,5.986734317623895e-11,1.7433181644064544e-11,8.922063807036422e-11
3753,1.0610344634077557e-10,2.5151626897352423e-22,1.0610344634052406e-10,7.277991246753632e-45,2.515162689735643e-22,2.9201820943968353e-11,5.955840555418178e-11,1.7343219842390925e-11,8.876022649815014e-11
3754,1.0555591310769785e-10,2.5021834090094343e-22,1.0555591310744763e-10,7.093769746941222e-45,2.502183409009834e-22,2.905112865860248e-11,5.925106216943165e-11,1.7253722279430453e-11,8.830219082803413e-11
3755,1.0501120535912374e-10,2.489271107265772e-22,1.0501120535887481e-10,6.914211286673999e-45,2.4892711072661694e-22,2.890121400431024e-11,5.894530479506949e-11,1.7164686559511926e-11,8.784651879937972e-11
3756,1.0446930851437869e-10,2.476425438858154e-22,1.0446930851413105e-10,6.739197834463661e-45,2.4764254388585496e-22,2.8752072968190045e-11,5.864112524663087e-11,1.7076110299326925e-11,8.739319821482092e-11
3757,1.0393020806803133e-10,2.463646059924225e-22,1.0393020806778496e-10,6.56861434645092e-45,2.463646059924619e-22,2.860370155804876e-11,5.83385153818868e-11,1.6987991127866065e-11,8.694221693993557e-11
3758,1.0339388958950467e-10,2.4509326283761695e-22,1.0339388958925958e-10,6.402348690782225e-45,2.450932628376561e-22,2.8456095802294767e-11,5.803746710062592e-11,1.6900326686355493e-11,8.649356290292069e-11
3759,1.0286033872269031e-10,2.438284803891553e-22,1.0286033872244649e-10,6.240291573900694e-45,2.438284803891943e-22,2.8309251749831714e-11,5.7737972344437533e-11,1.6813114628193753e-11,8.604722409426925e-11
3760,1.0232954118556378e-10,2.4257022479042113e-22,1.023295411853212e-10,6.082336468702742e-45,2.4257022479045993e-22,2.8163165469952714e-11,5.744002309649596e-11,1.6726352618888968e-11,8.560318856644868e-11
3761,1.0180148276980238e-10,2.41318462359519e-22,1.0180148276956106e-10,5.928379544513266e-45,2.4131846235955767e-22,2.8017833052235144e-11,5.7143611381345933e-11,1.6640038335996363e-11,8.516144443358108e-11
3762,1.0127614934040485e-10,2.4007315958837226e-22,1.0127614934016477e-10,5.778319598833255e-45,2.400731595884107e-22,2.7873250606435923e-11,5.68487292646891e-11,1.655416946905607e-11,8.472197987112503e-11
3763,1.0075352683531297e-10,2.388342831418264e-22,1.0075352683507413e-10,5.632057990815063e-45,2.3883428314186465e-22,2.7729414262387444e-11,5.655536885317162e-11,1.6468743719531302e-11,8.428478311555906e-11
3764,1.002336012650351e-10,2.376017998567565e-22,1.0023360126479749e-10,5.489498576421536e-45,2.376017998567945e-22,2.7586320169893922e-11,5.62635222941729e-11,1.6383758800746806e-11,8.384984246406683e-11
3765,9.971635871227169e-11,2.363756767411792e-22,9.971635871203531e-11,5.3505476452264006e-45,2.3637567674121717e-22,2.744396449862835e-11,5.597318177559535e-11,1.6299212437827663e-11,8.34171462742237e-11
3766,9.920178533154285e-11,2.351558809733701e-22,9.92017853313077e-11,5.215113858814383e-45,2.3515588097340793e-22,2.730234343802996e-11,5.568433952565533e-11,1.6215102367638394e-11,8.298668296368529e-11
3767,9.868986734881762e-11,2.3394237990098454e-22,9.868986734858369e-11,5.0831081907405426e-45,2.339423799010221e-22,2.7161453197202215e-11,5.5396987812675015e-11,1.6131426338722356e-11,8.255844100987723e-11
3768,9.818059106114523e-11,2.3273514104018344e-22,9.81805910609125e-11,4.95444386800937e-45,2.327351410402208e-22,2.7021290004811344e-11,5.511111894487548e-11,1.6048182111241504e-11,8.213240894968682e-11
3769,9.767394283628841e-11,2.315341320747641e-22,9.767394283605688e-11,4.829036314035159e-45,2.3153413207480134e-22,2.6881850108985385e-11,5.482672527017086e-11,1.596536745691641e-11,8.170857537915624e-11
3770,9.71699091123584e-11,2.3033932085529495e-22,9.716990911212806e-11,4.7068030930461995e-45,2.30339320855332e-22,2.6743129777213727e-11,5.4543799175963394e-11,1.5882980158966622e-11,8.128692895317712e-11
3771,9.666847639745184e-11,2.2915067539825457e-22,9.666847639722269e-11,4.587663855896192e-45,2.2915067539829143e-22,2.6605125296247236e-11,5.426233308893974e-11,1.5801018012051323e-11,8.086745838518697e-11
3772,9.616963126928974e-11,2.279681638851758e-22,9.616963126906177e-11,4.471540287247307e-45,2.279681638852125e-22,2.6467832971998824e-11,5.398231947486819e-11,1.5719478822210295e-11,8.045015244686701e-11
3773,9.567336037485816e-11,2.267917546617939e-22,9.567336037463137e-11,4.35835605409015e-45,2.267917546618304e-22,2.633124912944458e-11,5.370375083839704e-11,1.5638360406805196e-11,8.003499996784162e-11
3774,9.517965043005069e-11,2.25621416237199e-22,9.517965042982506e-11,4.248036755566794e-45,2.256214162372353e-22,2.6195370112525392e-11,5.342661972285393e-11,1.5557660594461114e-11,7.962198983537933e-11
3775,9.468848821931288e-11,2.244571172829931e-22,9.468848821908842e-11,4.140509874063903e-45,2.2445711728302923e-22,2.606019228404906e-11,5.3150918710046195e-11,1.5477377225008464e-11,7.921111099409525e-11
3776,9.419986059528855e-11,2.2329882663245157e-22,9.419986059506525e-11,4.0357047275437856e-45,2.232988266324875e-22,2.5925712025592963e-11,5.287664042006236e-11,1.539750814942515e-11,7.880235244565533e-11
3777,9.371375447846779e-11,2.2214651327968856e-22,9.371375447824564e-11,3.9335524230820595e-45,2.2214651327972434e-22,2.5791925737407184e-11,5.260377751107457e-11,1.5318051229779043e-11,7.839570324848175e-11
3778,9.32301568568368e-11,2.210001463788271e-22,9.32301568566158e-11,3.8339858115813735e-45,2.2100014637886274e-22,2.565882983831813e-11,5.2332322679142e-11,1.523900433917075e-11,7.799115251746013e-11
3779,9.274905478552969e-11,2.198596952431733e-22,9.274905478530983e-11,3.736939443631416e-45,2.1985969524320874e-22,2.5526420765632717e-11,5.2062268658015446e-11,1.5160365361676664e-11,7.758868942364816e-11
3780,9.227043538648182e-11,2.187251293443949e-22,9.22704353862631e-11,3.642349526486214e-45,2.1872512934443015e-22,2.5394694975042945e-11,5.1793608218942725e-11,1.5082132192292355e-11,7.718830319398567e-11
