d,dy,phase,p_near,p_far,window1_name,windowL_name,window1_N_direct,windowL_F_no_return,windowL_F_rollback,late_family,sep_mode,sep_gate_coarse,peak_ratio,valley_over_max,t_peak1,t_valley,t_peak2
6,6,2,0.14190980495708128,0.8580901950429187,peak1,peak2,0.9463252803920154,0.8756290703619222,0.12423369883745064,F_no_return,1.9813084112149533,2.014457831325301,0.8328676082150896,0.04726502488510834,45,209,469
7,0,2,0.2959918274958344,0.7040081725041654,peak1,peak2,0.9844616677180159,0.885026280357072,0.11472547193896493,F_no_return,2.1307506053268765,2.1382716049382715,0.39245998728952713,0.028343869110833423,31,219,471
7,1,2,0.2877561604126547,0.7122438395873455,peak1,peak2,0.9832995138871894,0.8843889034744502,0.11536472532593378,F_no_return,2.1207729468599035,2.1382716049382715,0.411501356734545,0.02949616916039656,32,219,471
7,2,2,0.2673528669171555,0.7326471330828445,peak1,peak2,0.9811970635201532,0.8834036908053804,0.11635246547395883,F_no_return,2.1009615384615383,2.123456790123457,0.46926844786529176,0.03296055820879824,33,218,470
7,3,2,0.23922985947487982,0.7607701405251202,peak1,peak2,0.9765751090977127,0.8816594351280801,0.11810849603411996,F_no_return,2.071599045346062,2.0880195599022007,0.5722161867341229,0.03891881779307455,36,217,470
7,4,2,0.2082514022080833,0.7917485977919169,peak1,peak2,0.9698370971110919,0.8799786126968097,0.11979837819145493,F_no_return,2.018823529411765,2.043583535108959,0.7292426392818417,0.04752281587025759,40,216,469
7,5,2,0.17816307180912852,0.8218369281908712,peak1,peak2,0.9605174991924544,0.8778592641061715,0.12193255368169545,F_no_return,1.972093023255814,2.0047961630695443,0.9420641396313729,0.05818724501821417,45,214,469
7,6,2,0.1507689799352648,0.8492310200647353,peak1,peak2,0.9483149576975524,0.8756844923036236,0.12412271006239271,F_no_return,1.92183908045977,1.9619047619047618,0.8359172673698254,0.05775007353996432,51,213,469
8,0,2,0.28198072961939197,0.7180192703806081,peak1,peak2,0.9813828920977364,0.8844055631982033,0.11525266611005809,F_no_return,2.0472813238770686,2.062953995157385,0.4803807286625814,0.041201837663704936,39,223,471
8,1,2,0.27519311897551135,0.7248068810244888,peak1,peak2,0.9810181115684986,0.883819211765783,0.11584126249450345,F_no_return,2.0377358490566038,2.0581113801452786,0.49942686002853615,0.04254117612186865,39,223,471
8,2,2,0.2587407525147092,0.7412592474852908,peak1,peak2,0.9791125530916942,0.8829734798263869,0.11668943341077809,F_no_return,2.0187793427230045,2.0434782608695654,0.5561333240748723,0.04654001328210733,40,222,470
8,3,2,0.23564366928172223,0.7643563307182776,peak1,peak2,0.9746919154678297,0.8814037143842168,0.11827429090684213,F_no_return,1.9953271028037383,2.014388489208633,0.6547275881122535,0.053266748058501734,43,221,470
8,4,2,0.20946990811142174,0.790530091888578,peak1,peak2,0.9681571017381696,0.8798778355638159,0.11981200879162043,F_no_return,1.9491916859122402,1.9857142857142858,0.7996388925073231,0.0625928459704482,47,220,469
8,5,2,0.1831777056410933,0.8168222943589066,peak1,peak2,0.9591996015817336,0.8778612370098655,0.12184902324514346,F_no_return,1.908466819221968,1.9432624113475176,0.9864944206028959,0.07343992557486839,52,218,469
8,6,2,0.1582210670866975,0.8417789329133025,peak1,peak2,0.9494881623832078,0.8757198047341151,0.12401223070950956,F_no_return,1.8727272727272728,1.9061032863849765,0.8311331536637804,0.06974490329208864,57,217,469
9,0,2,0.2708914317102588,0.7291085682897409,peak1,peak2,0.9788576032494822,0.8838484909078357,0.11568619664473494,F_no_return,1.9675925925925926,1.9857482185273159,0.5690999808042767,0.057436768045535935,46,227,471
