scan_type,kappa_top,kappa_bottom,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
tb,0.0005,0.001,2,395,1082,1706,0.06631724319311492,1.7620967741935485,0.8724406205415309,0.9619523556095921,0.03804764439040789,L0R1,0.9544386342637207,N,0.955442308011548,0.0010036737478273227,0.9544386342637207,0.0005316088410263457,0.04402608314742571,0.955442308011548,0.01073236163333513,0.03382533035511696
tb,0.00075,0.001,2,395,1082,1705,0.06762980279019892,1.7431803060545576,0.8726306954375913,0.9560210614763726,0.043978938523627414,L0R1,0.9472242034896613,N,0.9482220558669886,0.000997852377327324,0.9472242034896613,0.0006155818432645134,0.051162362289746854,0.9482220558669886,0.01260959069462173,0.03916835343838965
tb,0.001,0.001,2,394,1081,1704,0.06893653055079879,1.7248189598420014,0.8728190869453331,0.9501495772431137,0.049850422756886205,L0R1,0.9400521305658484,N,0.9410441882880113,0.0009920577221628035,0.9400521305658484,0.0006996726726666495,0.058256139039322107,0.9410441882880113,0.014496179964216278,0.04445963174777248
tb,0.00125,0.001,2,394,1081,1703,0.07023732077191053,1.7044270833333333,0.8730058176349501,0.9443370685128673,0.05566293148713273,L0R1,0.9329225920002908,N,0.9339088820027157,0.0009862900024250102,0.9329225920002908,0.000783886049394976,0.06530723194788929,0.9339088820027157,0.016391832815569794,0.04969928518171445
tb,0.0015,0.001,2,394,1081,1702,0.07153270289483249,1.6844816484224083,0.8731909096481969,0.9385827153399234,0.06141728466007658,L0R1,0.9258357503881727,N,0.9268162998151531,0.0009805494269804417,0.9258357503881727,0.0008682264729156075,0.07231547371193119,0.9268162998151531,0.01829625727402745,0.054887442910819345
tb,0.00175,0.001,2,394,1081,1701,0.07282271385488766,1.6628498727735368,0.8733743847091804,0.9328857119275448,0.06711428807245519,L0R1,0.9187917547031967,N,0.9197665908968697,0.000974836193673002,0.9187917547031967,0.0009526982296814694,0.07928071087344879,0.9197665908968697,0.020209165992751778,0.060024243110378496
tb,0.002,0.001,2,394,1081,1700,0.07410739059206248,1.6407035175879396,0.8735562641348253,0.9272452663334375,0.07275473366656261,L0R1,0.9117907405891527,N,0.9127598910786802,0.000969150489527606,0.9117907405891527,0.0010373054005980635,0.08620280352072172,0.9127598910786802,0.022130276226620157,0.06510983269469962
tb,0.0025,0.001,2,394,1080,1698,0.07666047339048582,1.592185592185592,0.8739153193724262,0.916130948388119,0.08386905161188102,L0R1,0.8979181347478139,N,0.8988759971117711,0.000957862363957235,0.8979181347478139,0.0012069413240773316,0.09991706156415145,0.8988759971117711,0.02599599309794045,0.07512800979028841
tb,0.003,0.001,2,394,1080,1696,0.07919261790222702,1.5380980507974011,0.874268238130448,0.9052336923267617,0.09476630767323846,L0R1,0.8842187624788856,N,0.885165448816776,0.0009466863378903899,0.8842187624788856,0.001377163050080692,0.11345738813314336,0.885165448816776,0.02989123685206027,0.08494331433116381
tb,0.0035,0.001,2,393,1080,1695,0.0817042237481197,1.4787052810902896,0.8746151772811218,0.8945476330082851,0.10545236699171487,L0R1,0.8707210477108187,N,0.8716540636496946,0.0009330159388759183,0.8707210477108187,0.0015411766073271506,0.12680475974297828,0.8716540636496946,0.03379803844514503,0.09454789790516037
tb,0.004,0.001,2,393,1079,1693,0.0841946193685949,1.4122759369907658,0.8749562880821211,0.8840671011287545,0.11593289887124546,L0R1,0.8573720912246647,N,0.858294192585455,0.0009221013607901491,0.8573720912246647,0.001711946285863323,0.13999386112868167,0.858294192585455,0.03774415837144872,0.1039616490430962
tb,0.0045,0.001,2,393,1079,1691,0.08666483138791495,1.3527879103699845,0.8752917164425514,0.8737866154202738,0.1262133845797262,L0R1,0.8441976388886772,N,0.8451089403457778,0.000911301457100547,0.8441976388886772,0.0018833784714017158,0.15300768118282057,0.8451089403457778,0.04171370623592118,0.11317735341830105
tb,0.005,0.001,2,393,1079,1689,0.08911543447169115,1.305793450881612,0.8756216031733958,0.8637008752242248,0.13629912477577516,L0R1,0.8311978045920355,N,0.8320984215119108,0.0009006169198752663,0.8311978045920355,0.0020554914729479586,0.16584608701514122,0.8320984215119108,0.045704790145948394,0.12219678834214083
tb,0.0,0.00125,2,395,1082,1707,0.06509479325848205,1.7789830508474576,0.8722329792774293,0.967672290337239,0.03232770966276091,L0R1,0.9615986916002618,N,0.9626081172222664,0.0010094256220045598,0.9615986916002618,0.0004556704766574028,0.036936212301076216,0.9626081172222664,0.008791352174835934,0.028600530602897703
tb,0.00025,0.00125,2,395,1082,1706,0.06641532566189506,1.760913364674278,0.8724261416295509,0.9616743972134557,0.038325602786544295,L0R1,0.9543171993692968,N,0.9553207375813284,0.001003538212031664,0.9543171993692968,0.0005403779275058359,0.044138884491165695,0.9553207375813284,0.010662919975975514,0.03401634244269604
tb,0.0005,0.00125,2,395,1082,1705,0.06773031609167886,1.7420212765957446,0.8726175782092357,0.9557373575371395,0.0442626424628604,L0R1,0.9470782682881775,N,0.9480759460758814,0.0009976777877037427,0.9470782682881775,0.0006251817284393455,0.05129887219567932,0.9480759460758814,0.012544173862698309,0.039379880061420354
tb,0.00075,0.00125,2,394,1082,1704,0.06903961147154548,1.7225509533201842,0.8728073123866874,0.9498603173406557,0.05013968265934424,L0R1,0.9398820864806703,N,0.9408739310588397,0.0009918445781693865,0.9398820864806703,0.000710087134614244,0.058415981806546176,0.9408739310588397,0.014434810193043286,0.04469125874811708
tb,0.001,0.00125,2,394,1081,1703,0.07034286866157759,1.7033181522446323,0.872995367083953,0.9440424375393519,0.055957562460648216,L0R1,0.9327288278471595,N,0.9337148666482717,0.0009860388011122096,0.9327288278471595,0.0007950991648764809,0.06549003418685186,0.9337148666482717,0.01633453004483817,0.049950603306890135
tb,0.00125,0.00125,2,394,1081,1702,0.07164062104594196,1.6833976833976834,0.8731817647863144,0.9382828936178698,0.061717106382130175,L0R1,0.9256186523543316,N,0.9265989130172826,0.0009802606629507303,0.9256186523543316,0.0008802226098693362,0.07252086437284813,0.9265989130172826,0.01824303919399261,0.05515804778872487
tb,0.0015,0.00125,2,394,1081,1701,0.07293299045274068,1.6607369758576873,0.8733665275533206,0.9325808753245539,0.06741912467544603,L0R1,0.9185517063256206,N,0.9195262166846607,0.0009745103590401775,0.9185517063256206,0.0009654620399150039,0.07950832127542419,0.9195262166846607,0.02016004809059916,0.060313735224740074
tb,0.00175,0.00125,2,394,1081,1700,0.0742200135889828,1.6386449184441656,0.873549677029485,0.926935586373705,0.07306441362629511,L0R1,0.9115281227320515,N,0.9124969108059274,0.0009687880738759089,0.9115281227320515,0.0010508218126744576,0.08645226738139812,0.9124969108059274,0.022085271832955864,0.06541781736111674
tb,0.002,0.00125,2,394,1080,1699,0.07550167695565714,1.6160990712074303,0.8737312344546472,0.9213462441554261,0.07865375584457383,L0R1,0.9045480214831404,N,0.9055111154644385,0.0009630939812981305,0.9045480214831404,0.001136306080589954,0.09335257845497134,0.9055111154644385,0.024018430139620614,0.07047045439594085
tb,0.0025,0.00125,2,394,1080,1697,0.07804877624533396,1.5632873425314937,0.8740896561479401,0.9103323361663961,0.0896676638336038,L0R1,0.8907186820929835,N,0.8916704731102056,0.0009517910172222437,0.8907186820929835,0.001307663728732962,0.10702186316106123,0.8916704731102056,0.02790745224081381,0.08042207464898052
tb,0.003,0.00125,2,394,1080,1695,0.08057516695920212,1.505787037037037,0.8744419548326812,0.8995331534247513,0.10046684657524875,L0R1,0.8770643972280242,N,0.8780049998802896,0.0009406026522652169,0.8770643972280242,0.001479564369048269,0.12051543575066227,0.8780049998802896,0.0318249633721356,0.0901700367475748
tb,0.0035,0.00125,2,393,1080,1693,0.08308060732031496,1.440443213296399,0.8747882868456406,0.8889428994343225,0.11105710056567754,L0R1,0.8635856854916272,N,0.8645152154062451,0.000929529914617895,0.8635856854916272,0.0016520345441142612,0.1338327500496407,0.8645152154062451,0.03576888435439344,0.09971590023936143
tb,0.004,0.00125,2,393,1079,1692,0.08556522132796719,1.3782493368700266,0.8751288029410365,0.8785559710550144,0.12144402894498567,L0R1,0.8503146231493304,N,0.8512306429645757,0.0009160198152454315,0.8503146231493304,0.0018171518952854757,0.14695220514013865,0.8512306429645757,0.03971851670343785,0.10905084033198627
tb,0.0045,0.00125,2,393,1079,1690,0.08802992820818728,1.3261758691206544,0.8754636485542031,0.8683669508133773,0.1316330491866227,L0R1,0.8371900658273931,N,0.8380952803545425,0.0009052145271494833,0.8371900658273931,0.001990137964828099,0.15991458168062928,0.8380952803545425,0.043707320162096865,0.11819739948336061
tb,0.005,0.00125,2,393,1079,1688,0.0904751151414453,1.2840852751611305,0.8757929640499164,0.8583705995811669,0.14162940041883307,L0R1,0.8242415039700417,N,0.8251360306839813,0.0008945267139396665,0.8242415039700417,0.002163764480684688,0.17270020483533402,0.8251360306839813,0.047716705056602214,0.1271472642594165
tb,0.0,0.0015,2,395,1082,1706,0.06650769679819374,1.7597315436241612,0.8724089922185779,0.961414719843455,0.03858528015654509,L0R1,0.9542430066735498,N,0.955246486091361,0.0010034794178111984,0.9542430066735498,0.0005476235224121043,0.044205890386226944,0.955246486091361,0.010587755731101208,0.03416575817753788
tb,0.00025,0.0015,2,395,1082,1705,0.06782512919593027,1.7397078353253652,0.8726018100792837,0.9554717014324509,0.04452829856754919,L0R1,0.9469792057471599,N,0.9479767852047155,0.0009975794575556832,0.9469792057471599,0.0006332729879481374,0.05138994180733629,0.9479767852047155,0.012473016418516272,0.03955019837676816
tb,0.0005,0.0015,2,394,1082,1704,0.06913688220789828,1.721419185282523,0.8727929061807227,0.9495888759545672,0.050411124045432756,L0R1,0.9397585508491063,N,0.9407502580670469,0.0009917072179407927,0.9397585508491063,0.0007190074785428135,0.05853073445441024,0.9407502580670469,0.014367682432173484,0.04488205950077953
tb,0.00075,0.0015,2,394,1081,1703,0.07044279456326635,1.7022106631989598,0.872982303804435,0.9437653995566235,0.056234600443376505,L0R1,0.9325812131160668,N,0.933567076030156,0.0009858629140892796,0.9325812131160668,0.0008048323222693471,0.0656280916475747,0.933567076030156,0.01627145255880246,0.05016147141104154
tb,0.001,0.0015,2,394,1081,1702,0.0717429293538189,1.6801541425818882,0.8731700257866649,0.9380004430748392,0.06199955692516079,L0R1,0.9254473497361629,N,0.9264273964859865,0.0009800467498235817,0.9254473497361629,0.0008907526112281248,0.07268185090278544,0.9264273964859865,0.01818403032865058,0.05538857318536295
