case,display_name,style,base_start_x,base_start_y,target_x,target_y,x_gate,start_x,start_y,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,25,2,1,850,1687,2136,0.32097258493980263,0.750510650714911
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,26,2,1,863,1701,2147,0.32382132068491937,0.7504383401519579
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,27,2,1,877,1716,2159,0.3266466193845863,0.7503658179689786
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,28,2,1,890,1730,2170,0.32944688045553683,0.7500732493407559
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,29,2,1,903,1745,2182,0.33222151832237,0.7503666764447052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,30,2,1,916,1759,2193,0.3349686918011216,0.7500734214390602
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,31,2,1,929,1774,2205,0.3376877491490485,0.7505882352941177
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,32,2,1,942,1788,2216,0.34037697039998627,0.7502944640753828
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,33,2,1,955,1803,2228,0.34303530735617266,0.7505896226415094
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,34,2,1,968,1817,2239,0.345661421077466,0.7502951593860685
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,35,2,1,981,1832,2250,0.34825333735614433,0.7502216967188886
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,36,2,1,994,1847,2262,0.35080973101713026,0.7507400828892836
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,37,2,1,1008,1862,2273,0.35332821674616294,0.7498518079430943
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,38,2,1,1021,1876,2285,0.3558062256612814,0.7501483679525223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,39,2,1,1034,1891,2296,0.35824134276684544,0.750074294205052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,40,2,1,1047,1906,2308,0.36063018741277897,0.7508186960404882
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,41,2,1,1060,1920,2319,0.36296851826610427,0.750521609538003
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,42,2,1,1073,1935,2330,0.36525167155924076,0.7504477611940299
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,43,2,1,1086,1950,2342,0.36747461988125263,0.7509715994020927
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,44,2,1,1099,1964,2353,0.36963135378402,0.7511230907457322
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,45,2,1,1112,1979,2364,0.3717167253245291,0.7510497900419916
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,46,2,1,1125,1993,2376,0.37372571964419843,0.7515770501652148
