scan_type,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
dir,0.00075,0.0035,2,395,1087,1700,0.075790785933039,1.640477686989315,0.8703251675145368,0.9237142705077903,0.07628572949220963,L0R1,0.9124507304549102,N,0.9134147521239329,0.0009640216690226574,0.9124507304549102,0.002639689349386148,0.08394555852668092,0.9134147521239329,0.012151022206962498,0.07443422566910453
dir,0.001,0.0035,2,395,1086,1699,0.07761231247551773,1.6069008009858288,0.8708918202866509,0.9156520514258469,0.08434794857415315,L0R1,0.9018517645759537,N,0.9028063012672772,0.0009545366913235301,0.9018517645759537,0.0026307206505645445,0.09456297808215829,0.9028063012672772,0.0158776191942679,0.08131607953845504
dir,0.00125,0.0035,2,395,1085,1697,0.07942267454029123,1.5724637681159421,0.8714531940454716,0.9077050387301406,0.09229496126985935,L0R1,0.8913448644270593,N,0.8922926524396623,0.000947788012603099,0.8913448644270593,0.002632846204402625,0.10507450135593498,0.8922926524396623,0.01962386102796211,0.0880834865323756
dir,0.0015,0.0035,2,394,1085,1696,0.08122102902217618,1.5353773584905661,0.8720093480182635,0.8998712079119492,0.10012879208805077,L0R1,0.8809653162533566,N,0.8819037513070225,0.0009384350536658077,0.8809653162533566,0.0026237454024575567,0.11547250329051993,0.8819037513070225,0.02337344463915082,0.09472280405382671
dir,0.00175,0.0035,2,394,1084,1695,0.08300761486039503,1.4936854190585533,0.8725603406292501,0.8921485757949743,0.1078514242050255,L0R1,0.8706967086217892,N,0.8716258725076149,0.0009291638858257317,0.8706967086217892,0.0026146061288021363,0.12575952136358293,0.8716258725076149,0.027132070848030366,0.10124205664435464
dir,0.002,0.0035,2,394,1083,1693,0.08478325040587609,1.4473537604456825,0.8731062295141724,0.8845351995758869,0.11546480042411307,L0R1,0.8605118240501355,N,0.8614343713833853,0.0009225473332497531,0.8605118240501355,0.002616498487035254,0.13594913012957952,0.8614343713833853,0.03091244199845389,0.10765318661816092
dir,0.0025,0.0035,2,393,1082,1690,0.08830116893780372,1.3531559728742828,0.8741829227909145,0.8696286399028199,0.13037136009718012,L0R1,0.8404907074012866,N,0.8413975865319022,0.0009068791306156874,0.8404907074012866,0.0026090080538840946,0.15599340541421355,0.8413975865319022,0.038486486112374235,0.1201159273557235
dir,0.003,0.0035,2,393,1081,1687,0.09177343868976308,1.2773938795656465,0.8752398736930016,0.8551367590377884,0.14486324096221143,L0R1,0.8209005258841177,N,0.8217919610924848,0.0008914352083670977,0.8209005258841177,0.0026013009554546806,0.17560673795206058,0.8217919610924848,0.04608789136827344,0.1321201475392418
dir,0.0035,0.0035,2,393,1079,1685,0.09520266278415412,1.2142857142857142,0.8762775163158814,0.841045375801558,0.15895462419844195,L0R1,0.8017819943447124,N,0.8026557973902776,0.0008738030455653479,0.8017819943447124,0.002582434044717893,0.19476176856500438,0.8026557973902776,0.053684860484039566,0.1436593421256829
dir,0.004,0.0035,1,392,1078,1682,0.09858753543388535,0.8371187540558079,0.8772962734067565,0.8273408711420364,0.17265912885796364,L0R1,0.7830512216348227,N,0.7839100909132477,0.0008588692784252306,0.7830512216348227,0.0025744030908664735,0.21351550599588578,0.7839100909132477,0.061316026707694274,0.15477388237905804
dir,0.0045,0.0035,1,392,1076,1679,0.10193033807455583,0.8244714926329276,0.8782965567449209,0.8140101629369006,0.18598983706309946,L0R1,0.7647424647466327,N,0.7655866335050967,0.0008441687584641285,0.7647424647466327,0.0025662289971469434,0.2318471374977563,0.7655866335050967,0.06895404261956128,0.16545932387534196
dir,0.005,0.0035,1,391,1075,1676,0.10523031808432812,0.8140639847956921,0.8792787675031518,0.8010406820688115,0.19895931793118843,L0R1,0.7468515730223091,N,0.7476812764308312,0.0008297034085218958,0.7468515730223091,0.002557933542657782,0.2497607900265112,0.7476812764308312,0.0765928810222055,0.17572584254696322
dir,0.0,0.004,2,396,1090,1703,0.07195086618456019,1.706266318537859,0.8682064085180214,0.9417935232307796,0.05820647676922041,L0R1,0.9373370557571482,N,0.9383198664148676,0.0009828106577195615,0.9373370557571482,0.0030821751857987457,0.05859795839933354,0.9383198664148676,0.0012045368683165874,0.06047559671681569
dir,0.00025,0.004,2,396,1089,1702,0.07380558343117288,1.6775850995504176,0.8687902412322805,0.9334469221884147,0.06655307781158531,L0R1,0.9264224520128708,N,0.9273955616758748,0.0009731096630041265,0.9264224520128708,0.003071524647378069,0.06953291367674716,0.9273955616758748,0.0049203465937714954,0.06768409173035375
dir,0.0005,0.004,2,395,1088,1701,0.07564837852782301,1.648989898989899,0.8693686274627227,0.9252205289982763,0.07477947100172364,L0R1,0.9156199340158194,N,0.916583422894736,0.0009634888789166395,0.9156199340158194,0.00306081383233121,0.08035576327293281,0.916583422894736,0.008650113926148367,0.0747664631791156
dir,0.00075,0.004,2,395,1088,1699,0.07747930918746732,1.6168629882207068,0.8699416283156448,0.9171122174624456,0.08288778253755441,L0R1,0.9049161682889926,N,0.9058728069252091,0.000956638636216611,0.9049161682889926,0.0030628059814379934,0.09106438709335293,0.9058728069252091,0.012397629356885587,0.08172956371790534
dir,0.001,0.004,2,395,1087,1698,0.07929878511351005,1.583232077764277,0.8705093040670547,0.9091199050521793,0.09088009494782064,L0R1,0.8943354772896832,N,0.8952826271664246,0.0009471498767414717,0.8943354772896832,0.003051937970873142,0.10166543486270219,0.8952826271664246,0.016153586225081763,0.08856378660849358
dir,0.00125,0.004,2,395,1086,1696,0.08110722041710151,1.5478881618084475,0.8710717141779343,0.9012415518877495,0.09875844811225049,L0R1,0.883847708767857,N,0.8847880869192767,0.0009403781514197733,0.883847708767857,0.0030537448993102068,0.11215816818141303,0.8847880869192767,0.019928643938721995,0.09528326914200129
dir,0.0015,0.004,2,394,1086,1695,0.08290413273224773,1.511033681765389,0.8716289173090618,0.8934751597454459,0.10652484025455411,L0R1,0.8734890991723766,N,0.8744201236603028,0.000931024487926101,0.8734890991723766,0.003042737956949193,0.12253713838274806,0.8744201236603028,0.02370633209155522,0.10187354424814202
dir,0.00175,0.004,2,394,1085,1693,0.08468899123549367,1.4669678147939018,0.8721809713354242,0.8858187710908996,0.11418122890910037,L0R1,0.8632175157472745,N,0.8641418506065736,0.0009243348592989373,0.8632175157472745,0.003044376213159155,0.1328137731802674,0.8641418506065736,0.027504626277947794,0.10835352311547866
dir,0.002,0.004,2,394,1084,1692,0.08646301760584958,1.4216867469879517,0.8727279333602238,0.8782704681379286,0.12172953186207139,L0R1,0.8530807476416514,N,0.8539958665284142,0.000915118886762782,0.8530807476416514,0.0030332477405471945,0.14297088573103872,0.8539958665284142,0.031299821261973525,0.11470431220961234
