t,f_total,f_from_corridor,f_from_outer,survival
4655,5.888766359558957e-05,5.888766359558957e-05,0.0,0.5580151173207886
4656,5.888144152899486e-05,5.888144152899486e-05,0.0,0.5579562358792596
4657,5.8875220096278166e-05,5.8875220096278166e-05,0.0,0.5578973606591633
4658,5.8868999297644354e-05,5.8868999297644354e-05,0.0,0.5578384916598657
4659,5.886277913329721e-05,5.886277913329721e-05,0.0,0.5577796288807323
4660,5.885655960343942e-05,5.885655960343942e-05,0.0,0.5577207723211288
4661,5.885034070827252e-05,5.885034070827252e-05,0.0,0.5576619219804205
4662,5.884412244799696e-05,5.884412244799696e-05,0.0,0.5576030778579725
4663,5.8837904822812113e-05,5.8837904822812113e-05,0.0,0.5575442399531496
4664,5.883168783291622e-05,5.883168783291622e-05,0.0,0.5574854082653167
4665,5.882547147850643e-05,5.882547147850643e-05,0.0,0.5574265827938382
4666,5.881925575977878e-05,5.881925575977878e-05,0.0,0.5573677635380784
4667,5.8813040676928217e-05,5.8813040676928217e-05,0.0,0.5573089504974014
4668,5.880682623014861e-05,5.880682623014861e-05,0.0,0.5572501436711712
4669,5.88006124196327e-05,5.88006124196327e-05,0.0,0.5571913430587516
4670,5.879439924557217e-05,5.879439924557217e-05,0.0,0.557132548659506
4671,5.878818670815757e-05,5.878818670815757e-05,0.0,0.5570737604727979
4672,5.878197480757839e-05,5.878197480757839e-05,0.0,0.5570149784979903
4673,5.8775763544023044e-05,5.8775763544023044e-05,0.0,0.5569562027344462
4674,5.8769552917678764e-05,5.8769552917678764e-05,0.0,0.5568974331815284
4675,5.8763342928731865e-05,5.8763342928731865e-05,0.0,0.5568386698385996
4676,5.875713357736741e-05,5.875713357736741e-05,0.0,0.5567799127050223
4677,5.875092486376948e-05,5.875092486376948e-05,0.0,0.5567211617801584
4678,5.874471678812103e-05,5.874471678812103e-05,0.0,0.5566624170633703
4679,5.873850935060396e-05,5.873850935060396e-05,0.0,0.5566036785540196
4680,5.8732302551399074e-05,5.8732302551399074e-05,0.0,0.5565449462514682
4681,5.8726096390686116e-05,5.8726096390686116e-05,0.0,0.5564862201550775
4682,5.871989086864372e-05,5.871989086864372e-05,0.0,0.5564275002642088
4683,5.8713685985449494e-05,5.8713685985449494e-05,0.0,0.5563687865782234
4684,5.870748174127993e-05,5.870748174127993e-05,0.0,0.5563100790964821
4685,5.87012781363105e-05,5.87012781363105e-05,0.0,0.5562513778183458
4686,5.869507517071554e-05,5.869507517071554e-05,0.0,0.556192682743175
4687,5.868887284466836e-05,5.868887284466836e-05,0.0,0.5561339938703302
4688,5.8682671158341236e-05,5.8682671158341236e-05,0.0,0.5560753111991719
