t,f_total,f_from_corridor,f_from_outer,survival
14568,2.939146223691835e-08,2.939146223691835e-08,0.0,5.29939193582566e-05
14569,2.9375167432208425e-08,2.9375167432208425e-08,0.0,5.296454419082439e-05
14570,2.9358881663267773e-08,2.9358881663267773e-08,0.0,5.2935185309161124e-05
14571,2.934260492508467e-08,2.934260492508467e-08,0.0,5.290584270423603e-05
14572,2.9326337212650188e-08,2.9326337212650188e-08,0.0,5.287651636702338e-05
14573,2.9310078520958175e-08,2.9310078520958175e-08,0.0,5.284720628850242e-05
14574,2.9293828845005252e-08,2.9293828845005252e-08,0.0,5.281791245965741e-05
14575,2.9277588179790817e-08,2.9277588179790817e-08,0.0,5.278863487147762e-05
14576,2.926135652031704e-08,2.926135652031704e-08,0.0,5.27593735149573e-05
14577,2.924513386158888e-08,2.924513386158888e-08,0.0,5.2730128381095703e-05
14578,2.9228920198614043e-08,2.9228920198614043e-08,0.0,5.270089946089709e-05
14579,2.9212715526403015e-08,2.9212715526403015e-08,0.0,5.267168674537068e-05
14580,2.919651983996907e-08,2.919651983996907e-08,0.0,5.264249022553071e-05
14581,2.9180333134328206e-08,2.9180333134328206e-08,0.0,5.261330989239638e-05
14582,2.916415540449923e-08,2.916415540449923e-08,0.0,5.2584145736991875e-05
14583,2.9147986645503675e-08,2.9147986645503675e-08,0.0,5.255499775034637e-05
14584,2.913182685236587e-08,2.913182685236587e-08,0.0,5.2525865923494004e-05
14585,2.9115676020112883e-08,2.9115676020112883e-08,0.0,5.249675024747389e-05
14586,2.9099534143774538e-08,2.9099534143774538e-08,0.0,5.246765071333011e-05
14587,2.9083401218383452e-08,2.9083401218383452e-08,0.0,5.2438567312111725e-05
14588,2.906727723897494e-08,2.906727723897494e-08,0.0,5.240950003487274e-05
14589,2.905116220058712e-08,2.905116220058712e-08,0.0,5.2380448872672156e-05
14590,2.9035056098260847e-08,2.9035056098260847e-08,0.0,5.235141381657389e-05
14591,2.9018958927039725e-08,2.9018958927039725e-08,0.0,5.232239485764685e-05
14592,2.9002870681970095e-08,2.9002870681970095e-08,0.0,5.2293391986964876e-05
14593,2.8986791358101075e-08,2.8986791358101075e-08,0.0,5.226440519560676e-05
14594,2.8970720950484517e-08,2.8970720950484517e-08,0.0,5.2235434474656275e-05
14595,2.8954659454175e-08,2.8954659454175e-08,0.0,5.22064798152021e-05
14596,2.8938606864229885e-08,2.8938606864229885e-08,0.0,5.217754120833787e-05
14597,2.892256317570924e-08,2.892256317570924e-08,0.0,5.214861864516216e-05
14598,2.8906528383675892e-08,2.8906528383675892e-08,0.0,5.2119712116778475e-05
14599,2.8890502483195395e-08,2.8890502483195395e-08,0.0,5.209082161429528e-05
14600,2.887448546933605e-08,2.887448546933605e-08,0.0,5.2061947128825945e-05
14601,2.8858477337168902e-08,2.8858477337168902e-08,0.0,5.203308865148877e-05
14602,2.884247808176771e-08,2.884247808176771e-08,0.0,5.2004246173407e-05
14603,2.882648769820898e-08,2.882648769820898e-08,0.0,5.197541968570878e-05
