dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
73,True,,0.9999787709914976,2.1229008501890492e-05,8000,True,16,0.00014580620659722222,18,0.00031647858796296296,True,72,0.004171296494370477,122,0.0035203506462914693,50,0.8439463967719592,8.605045749920145e-14,2.444371772733825e-11
74,True,,0.9999716841215249,2.831587847500066e-05,8000,True,17,7.798936631944444e-05,19,0.00017900820131655092,True,81,0.0036583166754757075,131,0.003189141924356816,50,0.8717511924913163,4.5070522300252683e-07,0.0001413249186435705
75,True,,0.9999622188496272,3.778115037297066e-05,8000,True,18,4.1537814670138884e-05,20,0.00010052433720341434,True,94,0.0032368846030967732,144,0.0028959404729276836,50,0.8946690500356721,9.620824356385564e-11,3.3221761449603564e-08
76,True,,0.9999495946222977,5.0405377701634355e-05,8000,True,21,5.60901783130787e-05,23,0.00010975496268566742,True,105,0.002882023861772943,155,0.002609482863590948,50,0.9054341631944938,4.530074648399591e-06,0.001736004750828556
77,True,,0.9999330008071969,6.699919280277395e-05,8000,True,22,3.1118039731626154e-05,24,6.346496534936222e-05,True,118,0.0025931572939247097,168,0.0024314737293749055,50,0.937649920069022,4.698632643443263e-09,1.9324217188442374e-06
78,True,,0.9999112488555139,8.875114448593524e-05,8000,True,25,3.645007992968147e-05,27,6.527947300255543e-05,True,129,0.002329571289728553,179,0.0021772967404520087,50,0.9346340891356505,1.7251751505398263e-05,0.00792347280224963
79,True,,0.9998831760016476,0.00011682399835174587,8000,True,28,3.854427563310159e-05,30,6.337848904610333e-05,True,152,0.002144916782949967,202,0.002069346986660982,50,0.9647679588832105,9.836833884466282e-08,4.753593258102458e-05
80,True,,0.9998470533011862,0.00015294669881394006,8000,True,29,2.2606180651197702e-05,31,3.827760821343776e-05,True,157,0.0019225610785718827,207,0.0018310139927108448,50,0.9523827425399453,4.582052291553914e-05,0.025024671082770452
81,True,,0.9998012965592016,0.0001987034407981182,8000,True,32,2.295713659646743e-05,34,3.6470328424011777e-05,True,200,0.001842081791152858,250,0.0018071019371587527,50,0.9810106944425018,9.542563223760838e-07,0.0005280589338952454
82,True,,0.9997434827598173,0.0002565172401826394,8000,True,35,2.2286487675974994e-05,37,3.376447462508444e-05,True,189,0.0016141798986971676,239,0.0015550413371028427,50,0.9633630912873734,9.330519688243501e-05,0.06000174699938814
83,True,,0.9996715411312914,0.00032845886870820363,8000,True,38,2.0963635426647744e-05,40,3.061965849102135e-05,True,258,0.0016454606909231443,308,0.0016254199500024247,50,0.9878205896796743,4.012115329654719e-06,0.002468356149836068
84,True,,0.9995821667087413,0.00041783329125838335,8000,True,41,1.927267485263313e-05,43,2.734542109927889e-05,True,223,0.0013749577292651144,273,0.0013364549449519738,50,0.9719971141703974,0.00015278121860723106,0.11431827102313676
85,True,,0.9994727249544431,0.0005272750455562588,8000,True,44,1.7417292433653186e-05,46,2.413892781575394e-05,True,314,0.001509200867651055,364,0.0014933374937770789,50,0.9894888916286763,8.821496096240884e-06,0.005907235392535943
86,True,,0.9993387729166593,0.0006612270833401721,8000,True,47,1.5535685251442693e-05,49,2.1117516126091655e-05,True,259,0.0011851619809503107,309,0.0011595141040331952,50,0.9783591801548089,0.0002168533869180166,0.18702091347032757
87,True,,0.9991769749177066,0.0008230250822930921,8000,True,52,1.8344324659501532e-05,54,2.3871924510011802e-05,True,360,0.001401825118267545,410,0.0013892561776362663,50,0.9910338740064722,1.3618735402283556e-05,0.009802897134101641
88,True,,0.9989813467982928,0.0010186532017067483,8000,True,53,1.2012792883195126e-05,55,1.5845104330077138e-05,True,297,0.0010308404085102062,347,0.0010132563674192996,50,0.9829420335623829,0.00027893255322741366,0.27528329670193674
89,True,,0.9987475353416636,0.001252464658335793,8000,True,58,1.3627654774893844e-05,60,1.7376435694897218e-05,True,402,0.0013092381952563242,452,0.0012983846701012682,50,0.9917100454337637,1.8572083970471738e-05,0.01430399202805067
90,True,,0.9984672783885921,0.001532721611407329,8000,True,59,9.04692455771969e-06,61,1.1671561687734953e-05,True,337,0.0009024123840017141,387,0.0008902823683495409,50,0.9865582344976439,0.00033411035827074536,0.37528583082032646
91,True,,0.9981344138068878,0.0018655861931119826,8000,True,66,1.2540548565394358e-05,68,1.5492740122987013e-05,True,440,0.0012247799725272626,490,0.0012153914591811195,50,0.992334530644904,2.3818075767123717e-05,0.019597040597250332
92,True,,0.9977368523212908,0.0022631476787084797,8000,True,67,8.491752840011799e-06,69,1.0589873667952218e-05,True,381,0.0007936024585246954,431,0.0007849214738003218,50,0.9890612930553271,0.00038094864824455394,0.4853334517657297
93,True,,0.9972645459624466,0.002735454037553253,8000,True,76,1.3393926716075724e-05,78,1.6007129195726858e-05,True,474,0.0011443421124276837,524,0.0011365530582081451,50,0.9931934216743852,2.9791909274784664e-05,0.026212510766328568
94,True,,0.9966978102022314,0.00330218979776811,8000,True,75,7.555668224450924e-06,77,9.196798853280594e-06,True,427,0.0007000086215017754,477,0.0006942361015021819,50,0.9917536444233939,0.00041453233354257925,0.597105700273463
95,True,,0.9960167591703113,0.00398324082968808,8000,True,84,1.1568505946699895e-05,86,1.3649545572595399e-05,True,506,0.0010640422000909382,556,0.0010575264612020657,50,0.9938764281263321,3.757403708413122e-05,0.03553011528564655
96,True,,0.9951831497914063,0.004816850208592583,8000,True,83,6.484792609685643e-06,85,7.751141333379334e-06,False,481,0.0006177138935725861,531,0.0006134725187782257,50,0.9931337552247202,0.00043673827451121524,0.7119117175468768
97,True,,0.9941471250376657,0.005852874962333386,8000,True,92,1.0360910620255861e-05,94,1.2103618123859952e-05,True,536,0.0009780034942304984,586,0.0009725710394162964,50,0.9944453625715557,4.899793959907611e-05,0.050379805292663234
98,True,,0.9928107586014898,0.007189241398508598,8000,True,93,6.361217196030921e-06,95,7.432038617513697e-06,False,541,0.0005421632666127193,591,0.000539335880480156,50,0.9947849913362297,0.00044274316814476124,0.8209043458236065
99,True,,0.9910027751024559,0.008997224897542499,8000,True,100,9.935126230200523e-06,102,1.1481280472223318e-05,True,564,0.0008727261459678067,614,0.0008682227744854459,50,0.9948398801810082,6.882196505943673e-05,0.07926763393211404
100,True,,0.9883316489637476,0.01166835103624987,8000,True,101,4.920145116181978e-06,103,5.683118064097228e-06,False,621,0.00046531556016019086,671,0.0004634700815053541,50,0.9960339201762318,0.00042799891817809293,0.9234661205917529
101,False,Invalid shortcut: dst=101 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
