t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
440,39,nan,nan,nan,nan,nan,nan
441,34,nan,nan,nan,nan,nan,nan
442,36,nan,nan,nan,nan,nan,nan
443,32,nan,nan,nan,nan,nan,nan
444,44,nan,nan,nan,nan,nan,nan
445,36,nan,nan,nan,nan,nan,nan
446,37,nan,nan,nan,nan,nan,nan
447,48,nan,nan,nan,nan,nan,nan
448,43,nan,nan,nan,nan,nan,nan
449,37,nan,nan,nan,nan,nan,nan
450,36,nan,nan,nan,nan,nan,nan
451,47,nan,nan,nan,nan,nan,nan
452,38,nan,nan,nan,nan,nan,nan
453,40,nan,nan,nan,nan,nan,nan
454,45,nan,nan,nan,nan,nan,nan
455,48,nan,nan,nan,nan,nan,nan
456,34,nan,nan,nan,nan,nan,nan
457,36,nan,nan,nan,nan,nan,nan
458,40,nan,nan,nan,nan,nan,nan
459,40,nan,nan,nan,nan,nan,nan
460,38,nan,nan,nan,nan,nan,nan
461,43,nan,nan,nan,nan,nan,nan
462,45,nan,nan,nan,nan,nan,nan
463,47,nan,nan,nan,nan,nan,nan
464,52,0.59255079006772,0.0,0.4074492099322799,0.59255079006772,0.0,0.0
465,39,nan,nan,nan,nan,nan,nan
466,53,0.5909090909090909,0.0,0.4090909090909091,0.5909090909090909,0.0,0.0
467,41,nan,nan,nan,nan,nan,nan
468,33,nan,nan,nan,nan,nan,nan
469,43,nan,nan,nan,nan,nan,nan
470,42,nan,nan,nan,nan,nan,nan
471,36,nan,nan,nan,nan,nan,nan
472,47,nan,nan,nan,nan,nan,nan
473,49,nan,nan,nan,nan,nan,nan
474,35,nan,nan,nan,nan,nan,nan
475,29,nan,nan,nan,nan,nan,nan
476,36,nan,nan,nan,nan,nan,nan
477,32,nan,nan,nan,nan,nan,nan
478,30,nan,nan,nan,nan,nan,nan
479,41,nan,nan,nan,nan,nan,nan
480,38,nan,nan,nan,nan,nan,nan
481,39,nan,nan,nan,nan,nan,nan
482,41,nan,nan,nan,nan,nan,nan
483,50,0.5606595995288575,0.0,0.43934040047114253,0.5606595995288575,0.0,0.0
484,42,nan,nan,nan,nan,nan,nan
485,45,nan,nan,nan,nan,nan,nan
486,42,nan,nan,nan,nan,nan,nan
487,42,nan,nan,nan,nan,nan,nan
488,48,nan,nan,nan,nan,nan,nan
