t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
715,129,0.11120162932790224,0.2879837067209776,0.6411405295315682,0.07087576374745418,0.24765784114052952,0.04032586558044807
716,139,0.11106557377049181,0.2836065573770492,0.6450819672131147,0.07131147540983607,0.24385245901639344,0.039754098360655736
717,104,0.10867768595041322,0.2830578512396694,0.6475206611570248,0.06942148760330578,0.24380165289256198,0.03925619834710744
718,129,0.10828547990155865,0.28465955701394585,0.64766201804758,0.06767842493847416,0.24405250205086138,0.0406070549630845
719,107,0.1090686274509804,0.28431372549019607,0.6482843137254902,0.06740196078431372,0.2426470588235294,0.041666666666666664
720,122,0.10933660933660934,0.2821457821457821,0.6502866502866503,0.06756756756756757,0.24037674037674037,0.04176904176904177
721,120,0.10960591133004927,0.28160919540229884,0.6510673234811166,0.06732348111658457,0.23932676518883417,0.04228243021346469
722,134,0.10789902280130294,0.28501628664495116,0.6494299674267101,0.06555374592833876,0.24267100977198697,0.04234527687296417
723,118,0.10913500404203719,0.2809215844785772,0.652789005658852,0.06628940986257073,0.23807599029911075,0.04284559417946645
724,118,0.10640870616686819,0.27972591696896415,0.6545747682386135,0.06569931479242241,0.23901652559451833,0.04070939137444579
725,108,0.10964385754301721,0.2789115646258503,0.6534613845538215,0.06762705082032813,0.23689475790316125,0.04201680672268908
726,115,0.10853658536585366,0.28008130081300814,0.6524390243902439,0.06747967479674796,0.23902439024390243,0.04105691056910569
727,116,0.10558751027115859,0.2756778964667215,0.6581758422350041,0.06614626129827444,0.2362366474938373,0.03944124897288414
728,118,0.10485197368421052,0.2767269736842105,0.6583059210526315,0.0649671052631579,0.23684210526315788,0.039884868421052634
729,127,0.10592160133444536,0.2731442869057548,0.6597164303586321,0.06713928273561301,0.23436196830692244,0.03878231859883236
730,108,0.10442773600668337,0.2719298245614035,0.6612364243943192,0.06683375104427736,0.23433583959899748,0.03759398496240601
731,100,0.10865945045795171,0.27019150707743544,0.660699417152373,0.06910907577019151,0.23064113238967526,0.0395503746877602
732,134,0.11120331950207468,0.27385892116182575,0.6572614107883817,0.06887966804979254,0.23153526970954358,0.04232365145228216
733,121,0.11041141897565071,0.2783375314861461,0.654911838790932,0.06675062972292191,0.2346767422334173,0.0436607892527288
734,124,0.11447811447811448,0.2756734006734007,0.6540404040404041,0.07028619528619529,0.23148148148148148,0.04419191919191919
735,108,0.11251049538203191,0.27455919395465994,0.6578505457598657,0.0675902602854744,0.22963895885810243,0.044920235096557515
736,90,0.10910616869492237,0.2761225346202266,0.6588334032731851,0.06504406210658834,0.23206042803189258,0.04406210658833403
737,113,0.11040609137055837,0.2800338409475465,0.6565143824027073,0.06345177664974619,0.23307952622673433,0.046954314720812185
738,102,0.11327959270258804,0.2778956300381841,0.6571913449299958,0.06491302503182012,0.22952906236741621,0.048366567670767927
739,95,0.11234991423670669,0.2830188679245283,0.652229845626072,0.06475128644939966,0.23542024013722126,0.04759862778730703
740,103,0.1153184165232358,0.28399311531841653,0.6484509466437177,0.06755593803786575,0.23623063683304646,0.047762478485370054
741,130,0.11769722814498934,0.29168443496801705,0.6417910447761194,0.06652452025586354,0.24051172707889126,0.0511727078891258
742,128,0.11666666666666667,0.2923076923076923,0.6410256410256411,0.06666666666666667,0.2423076923076923,0.05
