kappa,t,smoothed_f,phase,t_peak1,t_valley,t_peak2
0.014,1365,7.106292989300195e-05,1,535,1586,2028
0.014,1366,7.104486772590731e-05,1,535,1586,2028
0.014,1367,7.102694117326504e-05,1,535,1586,2028
0.014,1368,7.100914959692875e-05,1,535,1586,2028
0.014,1369,7.099149236155443e-05,1,535,1586,2028
0.014,1370,7.097396883458183e-05,1,535,1586,2028
0.014,1371,7.09565783862162e-05,1,535,1586,2028
0.014,1372,7.093932038941005e-05,1,535,1586,2028
0.014,1373,7.092219421984494e-05,1,535,1586,2028
0.014,1374,7.090519925591353e-05,1,535,1586,2028
0.014,1375,7.08883348787016e-05,1,535,1586,2028
0.014,1376,7.087160047197028e-05,1,535,1586,2028
0.014,1377,7.085499542213828e-05,1,535,1586,2028
0.014,1378,7.08385191182644e-05,1,535,1586,2028
0.014,1379,7.08221709520299e-05,1,535,1586,2028
0.014,1380,7.08059503177212e-05,1,535,1586,2028
0.014,1381,7.078985661221258e-05,1,535,1586,2028
0.014,1382,7.077388923494902e-05,1,535,1586,2028
0.014,1383,7.075804758792911e-05,1,535,1586,2028
0.014,1384,7.074233107568813e-05,1,535,1586,2028
0.014,1385,7.072673910528114e-05,1,535,1586,2028
0.014,1386,7.071127108626633e-05,1,535,1586,2028
0.014,1387,7.069592643068827e-05,1,535,1586,2028
0.014,1388,7.068070455306148e-05,1,535,1586,2028
0.014,1389,7.066560487035396e-05,1,535,1586,2028
0.014,1390,7.065062680197089e-05,1,535,1586,2028
0.014,1391,7.063576976973842e-05,1,535,1586,2028
0.014,1392,7.062103319788758e-05,1,535,1586,2028
0.014,1393,7.060641651303825e-05,1,535,1586,2028
0.014,1394,7.05919191441833e-05,1,535,1586,2028
0.014,1395,7.057754052267286e-05,1,535,1586,2028
0.014,1396,7.056328008219852e-05,1,535,1586,2028
0.014,1397,7.054913725877788e-05,1,535,1586,2028
0.014,1398,7.053511149073902e-05,1,535,1586,2028
0.014,1399,7.052120221870521e-05,1,535,1586,2028
0.014,1400,7.050740888557958e-05,1,535,1586,2028
0.014,1401,7.049373093653e-05,1,535,1586,2028
0.014,1402,7.048016781897409e-05,1,535,1586,2028
0.014,1403,7.046671898256425e-05,1,535,1586,2028
0.014,1404,7.045338387917285e-05,1,535,1586,2028
0.014,1405,7.044016196287739e-05,1,535,1586,2028
0.014,1406,7.042705268994611e-05,1,535,1586,2028
0.014,1407,7.041405551882328e-05,1,535,1586,2028
0.014,1408,7.040116991011489e-05,1,535,1586,2028
0.014,1409,7.038839532657427e-05,1,535,1586,2028
0.014,1410,7.037573123308796e-05,1,535,1586,2028
0.014,1411,7.036317709666163e-05,1,535,1586,2028
0.014,1412,7.035073238640596e-05,1,535,1586,2028
0.014,1413,7.033839657352288e-05,1,535,1586,2028
0.014,1414,7.032616913129177e-05,1,535,1586,2028
0.014,1415,7.031404953505567e-05,1,535,1586,2028
0.014,1416,7.030203726220781e-05,1,535,1586,2028
0.014,1417,7.029013179217809e-05,1,535,1586,2028
0.014,1418,7.027833260641971e-05,1,535,1586,2028
0.014,1419,7.026663918839588e-05,1,535,1586,2028
0.014,1420,7.025505102356666e-05,1,535,1586,2028
0.014,1421,7.024356759937593e-05,1,535,1586,2028
0.014,1422,7.023218840523828e-05,1,535,1586,2028
0.014,1423,7.022091293252633e-05,1,535,1586,2028
0.014,1424,7.020974067455781e-05,1,535,1586,2028
0.014,1425,7.019867112658297e-05,1,535,1586,2028
0.014,1426,7.018770378577202e-05,1,535,1586,2028
0.014,1427,7.017683815120256e-05,1,535,1586,2028
0.014,1428,7.016607372384733e-05,1,535,1586,2028
0.014,1429,7.015541000656189e-05,1,535,1586,2028
0.014,1430,7.014484650407242e-05,1,535,1586,2028
0.014,1431,7.013438272296369e-05,1,535,1586,2028
0.014,1432,7.012401817166706e-05,1,535,1586,2028
0.014,1433,7.011375236044862e-05,1,535,1586,2028
0.014,1434,7.010358480139741e-05,1,535,1586,2028
0.014,1435,7.009351500841368e-05,1,535,1586,2028
0.014,1436,7.008354249719738e-05,1,535,1586,2028
0.014,1437,7.007366678523665e-05,1,535,1586,2028
0.014,1438,7.00638873917964e-05,1,535,1586,2028
0.014,1439,7.005420383790702e-05,1,535,1586,2028
