kappa,window,observable,exit_prob,mean_event_time,mean_hit_time,ratio,early_mass,late_mass,no_exit_mass,phase,sep_peaks,t_peak1,t_valley,t_peak2
0.0015,valley,tau_mem,0.07912421719909216,308.14265594663095,1489.9992670897173,0.20680725336764663,0.07489081124876162,0.004233405950330532,0.9208757828009079,1,0.42655164150491254,555,1490,2335
0.0015,peak2,tau_mem,0.07878048368522787,595.6252046230195,2335.000127734891,0.25508572678358543,0.06735205209238647,0.011428431592841404,0.9212195163147722,1,0.42655164150491254,555,1490,2335
0.00175,peak1,tau_out,0.6320531351559249,438.27527837849067,555.0014451837302,0.7896831299842868,0.07263201765797998,0.5594211174979449,0.3679468648440751,1,0.42320981770523053,555,1490,2331
0.00175,valley,tau_out,0.9882252895283401,217.62691666581483,1489.999727574072,0.14605836003751618,0.9233534278238651,0.06487186170447501,0.0117747104716599,1,0.42320981770523053,555,1490,2331
0.00175,peak2,tau_out,0.9999692452649401,349.64389691712597,2331.000108710267,0.14999737477943859,0.9967708475048893,0.0031983977600508195,3.075473505986803e-05,1,0.42320981770523053,555,1490,2331
0.00175,peak1,tau_mem,0.002915044694614051,278.401933021156,555.0014451837302,0.5016237983470342,0.0013335021248111053,0.0015815425698029457,0.997084955305386,1,0.42320981770523053,555,1490,2331
0.00175,valley,tau_mem,0.09087513586210642,309.93358918713614,1489.999727574072,0.20800915829142558,0.0858290638810062,0.005046071981100228,0.9091248641378936,1,0.42320981770523053,555,1490,2331
0.00175,peak2,tau_mem,0.09133420089643711,594.8229586535095,2331.000108710267,0.25517929254092686,0.07803171123734559,0.013302489659091518,0.9086657991035629,1,0.42320981770523053,555,1490,2331
0.002,peak1,tau_out,0.6319598098999544,437.4663155831865,554.0041570035658,0.7896444639500617,0.07265572986470106,0.5593040800352533,0.3680401901000456,1,0.4201421800947867,554,1490,2327
0.002,valley,tau_out,0.9886434859170048,218.88892786781605,1490.0000950740607,0.14690531134290707,0.9243115242428561,0.06433196167414867,0.011356514082995206,1,0.4201421800947867,554,1490,2327
0.002,peak2,tau_out,0.9999696653944328,346.88730883468895,2327.000083612895,0.1490706043706335,0.9967525483865893,0.0032171170078434397,3.0334605567228223e-05,1,0.4201421800947867,554,1490,2327
0.002,peak1,tau_mem,0.0034027254501187046,277.2093654478255,554.0041570035658,0.5003741613549685,0.001568191731909969,0.0018345337182087355,0.9965972745498813,1,0.4201421800947867,554,1490,2327
0.002,valley,tau_mem,0.10228154987613114,311.69409346025844,1490.0000950740607,0.20919065340379434,0.09641900376311283,0.005862546113018313,0.8977184501238689,1,0.4201421800947867,554,1490,2327
0.002,peak2,tau_mem,0.10372071089128494,593.9983418365043,2327.000083612895,0.25526356703617464,0.08855584634011111,0.015164864551173829,0.896279289108715,1,0.4201421800947867,554,1490,2327
0.0025,peak1,tau_out,0.6324562712351426,436.34322804830606,553.004223412984,0.7890414025327337,0.07297723748846524,0.5594790337466773,0.3675437287648574,1,0.41387391610030466,553,1489,2319
0.0025,valley,tau_out,0.9893536688556152,221.2171848673391,1488.9996254415253,0.14856765649067422,0.9254792823333775,0.06387438652223765,0.010646331144384846,1,0.41387391610030466,553,1489,2319
0.0025,peak2,tau_out,0.9999704801676814,341.49149828711387,2319.0000154961353,0.14725808365898346,0.9967179968603322,0.0032524833073491743,2.9519832318580796e-05,1,0.41387391610030466,553,1489,2319
0.0025,peak1,tau_mem,0.00444944910807462,274.95303673700704,553.004223412984,0.4971988008338806,0.0020795093000152308,0.002369939808059389,0.9955505508919253,1,0.41387391610030466,553,1489,2319
0.0025,valley,tau_mem,0.12404909337429527,314.8613701720182,1488.9996254415253,0.21145832731734504,0.11643998871774391,0.00760910465655136,0.8759509066257047,1,0.41387391610030466,553,1489,2319
0.0025,peak2,tau_mem,0.12799072117218138,592.2855403916515,2319.0000154961353,0.25540557845358003,0.10913974340547392,0.018850977766707466,0.8720092788278186,1,0.41387391610030466,553,1489,2319
0.003,peak1,tau_out,0.6329732610858921,435.199646494213,552.0043985302758,0.7883988744527072,0.07344744335811794,0.5595258177277742,0.36702673891410786,1,0.4076521739130435,552,1489,2310
0.003,valley,tau_out,0.9900717802439102,223.22024258563252,1488.9998909134038,0.1499128669839603,0.9270330889873969,0.06303869125651329,0.009928219756089818,1,0.4076521739130435,552,1489,2310
0.003,peak2,tau_out,0.9999710633762311,336.18982263698183,2310.0001125985036,0.14553671266223625,0.9966941041450419,0.0032769592311892026,2.8936623768904823e-05,1,0.4076521739130435,552,1489,2310
0.003,peak1,tau_mem,0.0055710691452215315,272.8673262062309,552.0043985302758,0.49432092739251055,0.002640692437086514,0.0029303767081350174,0.9944289308547785,1,0.4076521739130435,552,1489,2310
0.003,valley,tau_mem,0.14474155221639376,318.17914129954914,1488.9998909134038,0.21368647723967737,0.13530917955191274,0.00943237266448102,0.8552584477836063,1,0.4076521739130435,552,1489,2310
0.003,peak2,tau_mem,0.15156385718153464,590.108913994128,2310.0001125985036,0.25545839187441355,0.12913048369780533,0.022433373483729313,0.8484361428184654,1,0.4076521739130435,552,1489,2310
0.004,peak1,tau_out,0.634066335824465,432.8539776528617,550.0050693228035,0.7869999783562275,0.07439625683197466,0.5596700789924903,0.36593366417553497,1,0.3960463531015678,550,1489,2293
