t,f_total,f_from_corridor,f_from_outer,survival
5061,5.902797943897464e-05,5.902797943897464e-05,0.0,0.19513706815638776
5062,5.90101197042069e-05,5.90101197042069e-05,0.0,0.19507805803668354
5063,5.899226385376949e-05,5.899226385376949e-05,0.0,0.19501906577282976
5064,5.89744118927397e-05,5.89744118927397e-05,0.0,0.194960091360937
5065,5.8956563826199504e-05,5.8956563826199504e-05,0.0,0.1949011347971108
5066,5.893871965923534e-05,5.893871965923534e-05,0.0,0.19484219607745157
5067,5.8920879396938e-05,5.8920879396938e-05,0.0,0.19478327519805463
5068,5.8903043044402476e-05,5.8903043044402476e-05,0.0,0.1947243721550102
5069,5.888521060672787e-05,5.888521060672787e-05,0.0,0.19466548694440347
5070,5.8867382089017195e-05,5.8867382089017195e-05,0.0,0.19460661956231445
5071,5.884955749637722e-05,5.884955749637722e-05,0.0,0.19454777000481807
5072,5.8831736833918376e-05,5.8831736833918376e-05,0.0,0.19448893826798413
5073,5.8813920106754575e-05,5.8813920106754575e-05,0.0,0.19443012434787738
5074,5.8796107320003074e-05,5.8796107320003074e-05,0.0,0.19437132824055736
5075,5.877829847878439e-05,5.877829847878439e-05,0.0,0.19431254994207858
5076,5.876049358822204e-05,5.876049358822204e-05,0.0,0.19425378944849034
5077,5.8742692653442545e-05,5.8742692653442545e-05,0.0,0.19419504675583688
5078,5.872489567957519e-05,5.872489567957519e-05,0.0,0.19413632186015728
5079,5.870710267175189e-05,5.870710267175189e-05,0.0,0.19407761475748553
5080,5.868931363510708e-05,5.868931363510708e-05,0.0,0.1940189254438504
5081,5.867152857477762e-05,5.867152857477762e-05,0.0,0.19396025391527563
5082,5.8653747495902506e-05,5.8653747495902506e-05,0.0,0.19390160016777971
5083,5.8635970403622973e-05,5.8635970403622973e-05,0.0,0.1938429641973761
5084,5.8618197303082076e-05,5.8618197303082076e-05,0.0,0.19378434600007302
5085,5.860042819942481e-05,5.860042819942481e-05,0.0,0.1937257455718736
5086,5.858266309779776e-05,5.858266309779776e-05,0.0,0.1936671629087758
5087,5.856490200334915e-05,5.856490200334915e-05,0.0,0.19360859800677244
5088,5.8547144921228576e-05,5.8547144921228576e-05,0.0,0.1935500508618512
5089,5.852939185658695e-05,5.852939185658695e-05,0.0,0.1934915214699946
5090,5.851164281457628e-05,5.851164281457628e-05,0.0,0.19343300982718004
5091,5.849389780034966e-05,5.849389780034966e-05,0.0,0.19337451592937968
5092,5.8476156819061e-05,5.8476156819061e-05,0.0,0.19331603977256062
5093,5.8458419875865015e-05,5.8458419875865015e-05,0.0,0.19325758135268475
5094,5.8440686975917006e-05,5.8440686975917006e-05,0.0,0.1931991406657088
5095,5.8422958124372766e-05,5.8422958124372766e-05,0.0,0.19314071770758445
5096,5.840523332638846e-05,5.840523332638846e-05,0.0,0.19308231247425806
5097,5.838751258712045e-05,5.838751258712045e-05,0.0,0.19302392496167092
5098,5.8369795911725195e-05,5.8369795911725195e-05,0.0,0.1929655551657592
5099,5.8352083305359165e-05,5.8352083305359165e-05,0.0,0.19290720308245385
5100,5.8334374773178604e-05,5.8334374773178604e-05,0.0,0.19284886870768064
5101,5.831667032033948e-05,5.831667032033948e-05,0.0,0.1927905520373603
5102,5.829896995199735e-05,5.829896995199735e-05,0.0,0.19273225306740832
5103,5.828127367330722e-05,5.828127367330722e-05,0.0,0.19267397179373502
5104,5.8263581489423406e-05,5.8263581489423406e-05,0.0,0.19261570821224558
5105,5.824589340549944e-05,5.824589340549944e-05,0.0,0.19255746231884008
5106,5.822820942668788e-05,5.822820942668788e-05,0.0,0.1924992341094134
5107,5.821052955814027e-05,5.821052955814027e-05,0.0,0.19244102357985524
5108,5.8192853805006955e-05,5.8192853805006955e-05,0.0,0.19238283072605022
5109,5.8175182172436984e-05,5.8175182172436984e-05,0.0,0.1923246555438778
5110,5.815751466557794e-05,5.815751466557794e-05,0.0,0.1922664980292122
5111,5.813985128957587e-05,5.813985128957587e-05,0.0,0.19220835817792256
5112,5.812219204957519e-05,5.812219204957519e-05,0.0,0.192150235985873
5113,5.8104536950718424e-05,5.8104536950718424e-05,0.0,0.1920921314489223
5114,5.808688599814623e-05,5.808688599814623e-05,0.0,0.1920340445629241
5115,5.80692391969972e-05,5.80692391969972e-05,0.0,0.19197597532372712
5116,5.8051596552407764e-05,5.8051596552407764e-05,0.0,0.19191792372717473
5117,5.8033958069512035e-05,5.8033958069512035e-05,0.0,0.1918598897691052
5118,5.801632375344179e-05,5.801632375344179e-05,0.0,0.19180187344535177
5119,5.79986936093262e-05,5.79986936093262e-05,0.0,0.19174387475174243
5120,5.798106764229179e-05,5.798106764229179e-05,0.0,0.19168589368410013
5121,5.796344585746237e-05,5.796344585746237e-05,0.0,0.19162793023824265
5122,5.794582825995883e-05,5.794582825995883e-05,0.0,0.19156998440998269
5123,5.792821485489904e-05,5.792821485489904e-05,0.0,0.1915120561951278
5124,5.791060564739778e-05,5.791060564739778e-05,0.0,0.1914541455894804
5125,5.789300064256656e-05,5.789300064256656e-05,0.0,0.19139625258883783
5126,5.7875399845513576e-05,5.7875399845513576e-05,0.0,0.19133837718899233
5127,5.7857803261343486e-05,5.7857803261343486e-05,0.0,0.19128051938573098
5128,5.784021089515743e-05,5.784021089515743e-05,0.0,0.19122267917483582
5129,5.782262275205279e-05,5.782262275205279e-05,0.0,0.19116485655208373
5130,5.780503883712318e-05,5.780503883712318e-05,0.0,0.1911070515132466
5131,5.778745915545824e-05,5.778745915545824e-05,0.0,0.19104926405409114
5132,5.77698837121436e-05,5.77698837121436e-05,0.0,0.190991494170379
5133,5.7752312512260704e-05,5.7752312512260704e-05,0.0,0.1909337418578667
5134,5.7734745560886737e-05,5.7734745560886737e-05,0.0,0.19087600711230582
5135,5.7717182863094516e-05,5.7717182863094516e-05,0.0,0.19081828992944272
5136,5.7699624423952355e-05,5.7699624423952355e-05,0.0,0.19076059030501877
5137,5.768207024852394e-05,5.768207024852394e-05,0.0,0.1907029082347702
5138,5.7664520341868276e-05,5.7664520341868276e-05,0.0,0.19064524371442834
5139,5.7646974709039545e-05,5.7646974709039545e-05,0.0,0.1905875967397193
5140,5.762943335508695e-05,5.762943335508695e-05,0.0,0.1905299673063642
5141,5.761189628505471e-05,5.761189628505471e-05,0.0,0.19047235541007915
5142,5.7594363503981836e-05,5.7594363503981836e-05,0.0,0.19041476104657518
5143,5.7576835016902146e-05,5.7576835016902146e-05,0.0,0.19035718421155828
5144,5.7559310828844e-05,5.7559310828844e-05,0.0,0.19029962490072944
5145,5.754179094483039e-05,5.754179094483039e-05,0.0,0.1902420831097846
5146,5.7524275369878653e-05,5.7524275369878653e-05,0.0,0.19018455883441474
5147,5.750676410900044e-05,5.750676410900044e-05,0.0,0.1901270520703057
5148,5.748925716720165e-05,5.748925716720165e-05,0.0,0.19006956281313847
5149,5.747175454948227e-05,5.747175454948227e-05,0.0,0.190012091058589
5150,5.745425626083628e-05,5.745425626083628e-05,0.0,0.18995463680232816
5151,5.743676230625156e-05,5.743676230625156e-05,0.0,0.1898972000400219
5152,5.741927269070979e-05,5.741927269070979e-05,0.0,0.18983978076733118
5153,5.740178741918632e-05,5.740178741918632e-05,0.0,0.189782378979912
5154,5.7384306496650086e-05,5.7384306496650086e-05,0.0,0.18972499467341533
5155,5.736682992806357e-05,5.736682992806357e-05,0.0,0.18966762784348726
5156,5.734935771838251e-05,5.734935771838251e-05,0.0,0.18961027848576886
5157,5.7331889872556085e-05,5.7331889872556085e-05,0.0,0.1895529465958963
5158,5.731442639552654e-05,5.731442639552654e-05,0.0,0.18949563216950077
5159,5.729696729222922e-05,5.729696729222922e-05,0.0,0.18943833520220854
5160,5.7279512567592515e-05,5.7279512567592515e-05,0.0,0.18938105568964095
5161,5.726206222653762e-05,5.726206222653762e-05,0.0,0.1893237936274144
5162,5.724461627397859e-05,5.724461627397859e-05,0.0,0.1892665490111404
5163,5.7227174714822104e-05,5.7227174714822104e-05,0.0,0.18920932183642558
5164,5.7209737553967486e-05,5.7209737553967486e-05,0.0,0.18915211209887162
5165,5.7192304796306525e-05,5.7192304796306525e-05,0.0,0.1890949197940753
5166,5.717487644672343e-05,5.717487644672343e-05,0.0,0.1890377449176286
5167,5.715745251009465e-05,5.715745251009465e-05,0.0,0.18898058746511848
5168,5.714003299128895e-05,5.714003299128895e-05,0.0,0.1889234474321272
5169,5.7122617895167106e-05,5.7122617895167106e-05,0.0,0.18886632481423202
5170,5.710520722658195e-05,5.710520722658195e-05,0.0,0.18880921960700545
5171,5.7087800990378284e-05,5.7087800990378284e-05,0.0,0.18875213180601502
5172,5.707039919139268e-05,5.707039919139268e-05,0.0,0.18869506140682363
5173,5.705300183445346e-05,5.705300183445346e-05,0.0,0.18863800840498918
5174,5.703560892438063e-05,5.703560892438063e-05,0.0,0.18858097279606478
5175,5.701822046598568e-05,5.701822046598568e-05,0.0,0.18852395457559876
5176,5.7000836464071676e-05,5.7000836464071676e-05,0.0,0.1884669537391347
5177,5.6983456923432955e-05,5.6983456923432955e-05,0.0,0.18840997028221126
5178,5.6966081848855184e-05,5.6966081848855184e-05,0.0,0.1883530042003624
5179,5.69487112451152e-05,5.69487112451152e-05,0.0,0.18829605548911726
5180,5.693134511698099e-05,5.693134511698099e-05,0.0,0.1882391241440003
5181,5.691398346921151e-05,5.691398346921151e-05,0.0,0.18818221016053108
5182,5.689662630655666e-05,5.689662630655666e-05,0.0,0.18812531353422451
5183,5.6879273633757196e-05,5.6879273633757196e-05,0.0,0.18806843426059075
5184,5.6861925455544585e-05,5.6861925455544585e-05,0.0,0.1880115723351352
5185,5.6844581776641036e-05,5.6844581776641036e-05,0.0,0.18795472775335859
5186,5.682724260175927e-05,5.682724260175927e-05,0.0,0.18789790051075678
5187,5.680990793560253e-05,5.680990793560253e-05,0.0,0.18784109060282117
5188,5.679257778286447e-05,5.679257778286447e-05,0.0,0.1877842980250383
5189,5.6775252148229065e-05,5.6775252148229065e-05,0.0,0.18772752277289007
5190,5.675793103637052e-05,5.675793103637052e-05,0.0,0.1876707648418537
5191,5.674061445195326e-05,5.674061445195326e-05,0.0,0.18761402422740173
5192,5.672330239963171e-05,5.672330239963171e-05,0.0,0.18755730092500206
5193,5.670599488405031e-05,5.670599488405031e-05,0.0,0.187500594930118
5194,5.668869190984341e-05,5.668869190984341e-05,0.0,0.18744390623820817
