Wy,x_start,w_fast,w_slow,fast_skip,slow_skip,delta_fast,delta_slow,phase,sep_mode_width,peak_ratio,valley_over_max,t_peak1,t_peak2,p_m1,p_m2,t_mode_m1,t_mode_m2,absorbed_mass,survival_tail
19,8,0,0,1,1,0.85,0.85,0,1.1726251276813076,,,,,0.684354495918272,0.3156455040817278,29,1751,0.9357901139122872,0.06420988608765124
19,10,0,0,1,1,0.85,0.85,0,1.0799336650082918,,,,,0.6593760978302889,0.34062390216971083,52,1680,0.9363906545837344,0.06360934541620163
19,12,0,0,1,1,0.85,0.85,0,0.9623774897249446,,,,,0.6375500343751781,0.36244996562482185,82,1604,0.9377585916101632,0.06224140838977032
19,14,0,0,1,1,0.85,0.85,0,0.8323734464989391,,,,,0.6178790536378305,0.3821209463621693,149,1522,0.9395853277324604,0.06041467226747487
19,16,0,0,1,1,0.85,0.85,0,0.7022222222222222,,,,,0.5998144199725368,0.40018558002746313,248,1433,0.9416547573299577,0.058345242669975275
19,18,0,0,1,1,0.85,0.85,0,0.5935860058309038,,,,,0.5830069729694197,0.4169930270305803,321,1339,0.9437925905027819,0.05620740949714938
19,20,0,0,1,1,0.85,0.85,0,0.48762233736327,,,,,0.5672023991184449,0.43279760088155506,393,1240,0.9458491139734544,0.05415088602647472
19,22,0,0,1,1,0.85,0.85,0,0.3835850669706469,,,,,0.5521935184127645,0.4478064815872356,467,1140,0.9476942453727888,0.05230575462714191
20,6,0,0,1,1,0.85,0.85,0,1.2063698407539811,,,,,0.7173710528832397,0.28262894711676034,9,1865,0.9290201510415407,0.07097984895840226
20,8,0,0,1,1,0.85,0.85,0,1.1568948575171962,,,,,0.6871886226352341,0.31281137736476594,29,1795,0.9279646930061133,0.0720353069938251
20,10,0,0,1,1,0.85,0.85,0,1.0736097717775634,,,,,0.6622429575813039,0.337757042418696,52,1722,0.9283614704973406,0.07163852950259401
20,12,0,0,1,1,0.85,0.85,0,0.9586016559337627,,,,,0.6403924844012945,0.3596075155987055,81,1644,0.9295900988316121,0.07040990116832235
20,14,0,0,1,1,0.85,0.85,0,0.8359695371997656,,,,,0.6206266709025561,0.37937332909744387,132,1559,0.9313156376392031,0.06868436236073049
20,16,0,0,1,1,0.85,0.85,0,0.6994877632327832,,,,,0.6023926111924108,0.39760738880758906,239,1468,0.9333094234256674,0.06669057657426433
20,18,0,0,1,1,0.85,0.85,0,0.586525020967291,,,,,0.5853436875120953,0.41465631248790474,321,1370,0.9353903650957792,0.06460963490415136
20,20,0,0,1,1,0.85,0.85,0,0.4809707666850524,,,,,0.569232383034804,0.43076761696519594,396,1268,0.9374044618627433,0.06259553813718503
20,22,0,0,1,1,0.85,0.85,0,0.3777292576419214,,,,,0.5538608056318081,0.44613919436819205,473,1165,0.9392185932100565,0.06078140678987059
21,6,0,0,1,1,0.85,0.85,0,1.1899843505477308,,,,,0.7200185374817424,0.2799814625182575,9,1910,0.9215851437180755,0.07841485628187042
21,8,0,0,1,1,0.85,0.85,0,1.1427668982943777,,,,,0.689899761199758,0.3101002388002422,29,1838,0.9201825073057495,0.07981749269418661
21,10,0,0,1,1,0.85,0.85,0,1.0693316677076827,,,,,0.6649864974484387,0.3350135025515611,52,1764,0.9203543501497821,0.07964564985014969
21,12,0,0,1,1,0.85,0.85,0,0.9564698867024448,,,,,0.6431154210688783,0.35688457893112174,80,1684,0.9214188471417057,0.07858115285822423
21,14,0,0,1,1,0.85,0.85,0,0.8375922771152754,,,,,0.6232621613854188,0.37673783861458093,122,1597,0.9230153970276408,0.07698460297228701
21,16,0,0,1,1,0.85,0.85,0,0.7002463728442376,,,,,0.6048689171486918,0.39513108285130805,224,1503,0.9249038905546929,0.07509610944523559
21,18,0,0,1,1,0.85,0.85,0,0.5806278508183526,,,,,0.5875908874166849,0.4124091125833151,321,1403,0.9268978579804008,0.0731021420195268
21,20,0,0,1,1,0.85,0.85,0,0.4740740740740741,,,,,0.5711867390344572,0.42881326096554284,402,1298,0.928840619732156,0.0711593802677683
