t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
309,21,nan,nan,nan,nan,nan,nan
310,16,nan,nan,nan,nan,nan,nan
311,21,nan,nan,nan,nan,nan,nan
312,17,nan,nan,nan,nan,nan,nan
313,10,nan,nan,nan,nan,nan,nan
314,9,nan,nan,nan,nan,nan,nan
315,12,nan,nan,nan,nan,nan,nan
316,20,nan,nan,nan,nan,nan,nan
317,17,nan,nan,nan,nan,nan,nan
318,13,nan,nan,nan,nan,nan,nan
319,10,nan,nan,nan,nan,nan,nan
320,16,nan,nan,nan,nan,nan,nan
321,13,nan,nan,nan,nan,nan,nan
322,16,nan,nan,nan,nan,nan,nan
323,14,nan,nan,nan,nan,nan,nan
324,10,nan,nan,nan,nan,nan,nan
325,16,nan,nan,nan,nan,nan,nan
326,14,nan,nan,nan,nan,nan,nan
327,18,nan,nan,nan,nan,nan,nan
328,22,nan,nan,nan,nan,nan,nan
329,13,nan,nan,nan,nan,nan,nan
330,18,nan,nan,nan,nan,nan,nan
331,14,nan,nan,nan,nan,nan,nan
332,12,nan,nan,nan,nan,nan,nan
333,16,nan,nan,nan,nan,nan,nan
334,10,nan,nan,nan,nan,nan,nan
335,10,nan,nan,nan,nan,nan,nan
336,16,nan,nan,nan,nan,nan,nan
337,16,nan,nan,nan,nan,nan,nan
338,14,nan,nan,nan,nan,nan,nan
339,20,nan,nan,nan,nan,nan,nan
340,13,nan,nan,nan,nan,nan,nan
341,12,nan,nan,nan,nan,nan,nan
342,23,nan,nan,nan,nan,nan,nan
343,9,nan,nan,nan,nan,nan,nan
344,18,nan,nan,nan,nan,nan,nan
345,14,nan,nan,nan,nan,nan,nan
346,19,nan,nan,nan,nan,nan,nan
347,14,nan,nan,nan,nan,nan,nan
348,14,nan,nan,nan,nan,nan,nan
349,16,nan,nan,nan,nan,nan,nan
350,9,nan,nan,nan,nan,nan,nan
351,12,nan,nan,nan,nan,nan,nan
352,12,nan,nan,nan,nan,nan,nan
353,14,nan,nan,nan,nan,nan,nan
354,11,nan,nan,nan,nan,nan,nan
355,17,nan,nan,nan,nan,nan,nan
356,18,nan,nan,nan,nan,nan,nan
357,20,nan,nan,nan,nan,nan,nan
358,10,nan,nan,nan,nan,nan,nan
359,13,nan,nan,nan,nan,nan,nan
360,10,nan,nan,nan,nan,nan,nan
361,17,nan,nan,nan,nan,nan,nan
362,14,nan,nan,nan,nan,nan,nan
363,20,nan,nan,nan,nan,nan,nan
364,14,nan,nan,nan,nan,nan,nan
365,15,nan,nan,nan,nan,nan,nan
366,15,nan,nan,nan,nan,nan,nan
367,11,nan,nan,nan,nan,nan,nan
368,22,nan,nan,nan,nan,nan,nan
369,10,nan,nan,nan,nan,nan,nan
370,14,nan,nan,nan,nan,nan,nan
371,16,nan,nan,nan,nan,nan,nan
372,11,nan,nan,nan,nan,nan,nan
373,17,nan,nan,nan,nan,nan,nan
374,21,nan,nan,nan,nan,nan,nan
375,14,nan,nan,nan,nan,nan,nan
376,12,nan,nan,nan,nan,nan,nan
377,18,nan,nan,nan,nan,nan,nan
378,20,nan,nan,nan,nan,nan,nan
379,9,nan,nan,nan,nan,nan,nan
380,10,nan,nan,nan,nan,nan,nan
381,18,nan,nan,nan,nan,nan,nan
382,14,nan,nan,nan,nan,nan,nan
383,15,nan,nan,nan,nan,nan,nan
384,16,nan,nan,nan,nan,nan,nan
385,15,nan,nan,nan,nan,nan,nan
386,20,nan,nan,nan,nan,nan,nan
387,15,nan,nan,nan,nan,nan,nan
388,18,nan,nan,nan,nan,nan,nan
389,16,nan,nan,nan,nan,nan,nan
390,15,nan,nan,nan,nan,nan,nan
391,13,nan,nan,nan,nan,nan,nan
392,6,nan,nan,nan,nan,nan,nan
393,18,nan,nan,nan,nan,nan,nan
394,17,nan,nan,nan,nan,nan,nan
395,15,nan,nan,nan,nan,nan,nan
396,15,nan,nan,nan,nan,nan,nan
397,19,nan,nan,nan,nan,nan,nan
398,13,nan,nan,nan,nan,nan,nan
399,14,nan,nan,nan,nan,nan,nan
400,10,nan,nan,nan,nan,nan,nan
401,13,nan,nan,nan,nan,nan,nan
402,13,nan,nan,nan,nan,nan,nan
403,9,nan,nan,nan,nan,nan,nan
404,13,nan,nan,nan,nan,nan,nan
405,15,nan,nan,nan,nan,nan,nan
406,16,nan,nan,nan,nan,nan,nan
407,7,nan,nan,nan,nan,nan,nan
408,14,nan,nan,nan,nan,nan,nan
409,19,nan,nan,nan,nan,nan,nan
410,22,nan,nan,nan,nan,nan,nan
411,10,nan,nan,nan,nan,nan,nan
412,21,nan,nan,nan,nan,nan,nan
413,15,nan,nan,nan,nan,nan,nan
414,11,nan,nan,nan,nan,nan,nan
415,19,nan,nan,nan,nan,nan,nan
416,14,nan,nan,nan,nan,nan,nan
417,13,nan,nan,nan,nan,nan,nan
418,13,nan,nan,nan,nan,nan,nan
419,21,nan,nan,nan,nan,nan,nan
420,17,nan,nan,nan,nan,nan,nan
421,15,nan,nan,nan,nan,nan,nan
422,11,nan,nan,nan,nan,nan,nan
423,14,nan,nan,nan,nan,nan,nan
424,18,nan,nan,nan,nan,nan,nan
425,23,nan,nan,nan,nan,nan,nan
426,9,nan,nan,nan,nan,nan,nan
427,13,nan,nan,nan,nan,nan,nan
428,15,nan,nan,nan,nan,nan,nan
429,15,nan,nan,nan,nan,nan,nan
430,14,nan,nan,nan,nan,nan,nan
431,18,nan,nan,nan,nan,nan,nan
432,9,nan,nan,nan,nan,nan,nan
433,16,nan,nan,nan,nan,nan,nan
434,11,nan,nan,nan,nan,nan,nan
435,16,nan,nan,nan,nan,nan,nan
436,14,nan,nan,nan,nan,nan,nan
437,9,nan,nan,nan,nan,nan,nan
438,16,nan,nan,nan,nan,nan,nan
439,13,nan,nan,nan,nan,nan,nan
440,16,nan,nan,nan,nan,nan,nan
441,12,nan,nan,nan,nan,nan,nan
442,7,nan,nan,nan,nan,nan,nan
443,14,nan,nan,nan,nan,nan,nan
444,10,nan,nan,nan,nan,nan,nan
445,10,nan,nan,nan,nan,nan,nan
446,14,nan,nan,nan,nan,nan,nan
447,17,nan,nan,nan,nan,nan,nan
448,15,nan,nan,nan,nan,nan,nan
449,17,nan,nan,nan,nan,nan,nan
450,11,nan,nan,nan,nan,nan,nan
451,14,nan,nan,nan,nan,nan,nan
452,13,nan,nan,nan,nan,nan,nan
453,18,nan,nan,nan,nan,nan,nan
454,12,nan,nan,nan,nan,nan,nan
455,6,nan,nan,nan,nan,nan,nan
456,9,nan,nan,nan,nan,nan,nan
457,12,nan,nan,nan,nan,nan,nan
458,19,nan,nan,nan,nan,nan,nan
459,11,nan,nan,nan,nan,nan,nan
460,11,nan,nan,nan,nan,nan,nan
461,14,nan,nan,nan,nan,nan,nan
462,14,nan,nan,nan,nan,nan,nan
463,14,nan,nan,nan,nan,nan,nan
464,12,nan,nan,nan,nan,nan,nan
465,14,nan,nan,nan,nan,nan,nan
466,10,nan,nan,nan,nan,nan,nan
467,16,nan,nan,nan,nan,nan,nan
468,13,nan,nan,nan,nan,nan,nan
469,11,nan,nan,nan,nan,nan,nan
470,14,nan,nan,nan,nan,nan,nan
471,10,nan,nan,nan,nan,nan,nan
472,20,nan,nan,nan,nan,nan,nan
473,17,nan,nan,nan,nan,nan,nan
474,16,nan,nan,nan,nan,nan,nan
475,19,nan,nan,nan,nan,nan,nan
476,15,nan,nan,nan,nan,nan,nan
477,22,nan,nan,nan,nan,nan,nan
478,14,nan,nan,nan,nan,nan,nan
479,10,nan,nan,nan,nan,nan,nan
480,9,nan,nan,nan,nan,nan,nan
481,8,nan,nan,nan,nan,nan,nan
482,5,nan,nan,nan,nan,nan,nan
483,17,nan,nan,nan,nan,nan,nan
484,13,nan,nan,nan,nan,nan,nan
485,10,nan,nan,nan,nan,nan,nan
486,12,nan,nan,nan,nan,nan,nan
487,10,nan,nan,nan,nan,nan,nan
488,10,nan,nan,nan,nan,nan,nan
489,14,nan,nan,nan,nan,nan,nan
490,8,nan,nan,nan,nan,nan,nan
491,16,nan,nan,nan,nan,nan,nan
492,10,nan,nan,nan,nan,nan,nan
493,12,nan,nan,nan,nan,nan,nan
494,13,nan,nan,nan,nan,nan,nan
495,14,nan,nan,nan,nan,nan,nan
496,8,nan,nan,nan,nan,nan,nan
497,13,nan,nan,nan,nan,nan,nan
498,8,nan,nan,nan,nan,nan,nan
499,10,nan,nan,nan,nan,nan,nan
500,8,nan,nan,nan,nan,nan,nan
501,9,nan,nan,nan,nan,nan,nan
502,7,nan,nan,nan,nan,nan,nan
503,15,nan,nan,nan,nan,nan,nan
504,13,nan,nan,nan,nan,nan,nan
505,14,nan,nan,nan,nan,nan,nan
506,22,nan,nan,nan,nan,nan,nan
507,15,nan,nan,nan,nan,nan,nan
508,14,nan,nan,nan,nan,nan,nan
509,18,nan,nan,nan,nan,nan,nan
510,12,nan,nan,nan,nan,nan,nan
511,14,nan,nan,nan,nan,nan,nan
512,8,nan,nan,nan,nan,nan,nan
513,9,nan,nan,nan,nan,nan,nan
514,9,nan,nan,nan,nan,nan,nan
515,12,nan,nan,nan,nan,nan,nan
516,12,nan,nan,nan,nan,nan,nan
517,16,nan,nan,nan,nan,nan,nan
518,14,nan,nan,nan,nan,nan,nan
519,9,nan,nan,nan,nan,nan,nan
520,15,nan,nan,nan,nan,nan,nan
521,16,nan,nan,nan,nan,nan,nan
522,12,nan,nan,nan,nan,nan,nan
523,13,nan,nan,nan,nan,nan,nan
524,17,nan,nan,nan,nan,nan,nan
525,13,nan,nan,nan,nan,nan,nan
526,11,nan,nan,nan,nan,nan,nan
527,10,nan,nan,nan,nan,nan,nan
528,13,nan,nan,nan,nan,nan,nan
529,14,nan,nan,nan,nan,nan,nan
530,11,nan,nan,nan,nan,nan,nan
531,13,nan,nan,nan,nan,nan,nan
532,16,nan,nan,nan,nan,nan,nan
533,13,nan,nan,nan,nan,nan,nan
534,14,nan,nan,nan,nan,nan,nan
535,5,nan,nan,nan,nan,nan,nan
536,13,nan,nan,nan,nan,nan,nan
537,19,nan,nan,nan,nan,nan,nan
538,10,nan,nan,nan,nan,nan,nan
539,8,nan,nan,nan,nan,nan,nan
540,14,nan,nan,nan,nan,nan,nan
541,11,nan,nan,nan,nan,nan,nan
542,10,nan,nan,nan,nan,nan,nan
543,6,nan,nan,nan,nan,nan,nan
544,6,nan,nan,nan,nan,nan,nan
545,5,nan,nan,nan,nan,nan,nan
546,20,nan,nan,nan,nan,nan,nan
547,14,nan,nan,nan,nan,nan,nan
548,7,nan,nan,nan,nan,nan,nan
549,8,nan,nan,nan,nan,nan,nan
550,16,nan,nan,nan,nan,nan,nan
551,10,nan,nan,nan,nan,nan,nan
552,9,nan,nan,nan,nan,nan,nan
553,12,nan,nan,nan,nan,nan,nan
554,11,nan,nan,nan,nan,nan,nan
555,21,nan,nan,nan,nan,nan,nan
556,14,nan,nan,nan,nan,nan,nan
557,15,nan,nan,nan,nan,nan,nan
558,10,nan,nan,nan,nan,nan,nan
559,20,nan,nan,nan,nan,nan,nan
560,16,nan,nan,nan,nan,nan,nan
561,21,nan,nan,nan,nan,nan,nan
562,12,nan,nan,nan,nan,nan,nan
563,11,nan,nan,nan,nan,nan,nan
564,5,nan,nan,nan,nan,nan,nan
565,12,nan,nan,nan,nan,nan,nan
566,7,nan,nan,nan,nan,nan,nan
567,18,nan,nan,nan,nan,nan,nan
568,14,nan,nan,nan,nan,nan,nan
569,14,nan,nan,nan,nan,nan,nan
570,12,nan,nan,nan,nan,nan,nan
571,13,nan,nan,nan,nan,nan,nan
572,6,nan,nan,nan,nan,nan,nan
573,10,nan,nan,nan,nan,nan,nan
574,5,nan,nan,nan,nan,nan,nan
575,14,nan,nan,nan,nan,nan,nan
576,8,nan,nan,nan,nan,nan,nan
577,16,nan,nan,nan,nan,nan,nan
578,8,nan,nan,nan,nan,nan,nan
579,12,nan,nan,nan,nan,nan,nan
580,15,nan,nan,nan,nan,nan,nan
581,10,nan,nan,nan,nan,nan,nan
582,10,nan,nan,nan,nan,nan,nan
583,17,nan,nan,nan,nan,nan,nan
584,15,nan,nan,nan,nan,nan,nan
585,14,nan,nan,nan,nan,nan,nan
586,9,nan,nan,nan,nan,nan,nan
587,9,nan,nan,nan,nan,nan,nan
588,7,nan,nan,nan,nan,nan,nan
589,8,nan,nan,nan,nan,nan,nan
590,11,nan,nan,nan,nan,nan,nan
591,11,nan,nan,nan,nan,nan,nan
592,12,nan,nan,nan,nan,nan,nan
593,13,nan,nan,nan,nan,nan,nan
594,10,nan,nan,nan,nan,nan,nan
595,15,nan,nan,nan,nan,nan,nan
596,15,nan,nan,nan,nan,nan,nan
597,13,nan,nan,nan,nan,nan,nan
598,7,nan,nan,nan,nan,nan,nan
599,18,nan,nan,nan,nan,nan,nan
600,18,nan,nan,nan,nan,nan,nan
601,16,nan,nan,nan,nan,nan,nan
602,10,nan,nan,nan,nan,nan,nan
603,20,nan,nan,nan,nan,nan,nan
604,9,nan,nan,nan,nan,nan,nan
605,24,nan,nan,nan,nan,nan,nan
606,11,nan,nan,nan,nan,nan,nan
607,14,nan,nan,nan,nan,nan,nan
608,11,nan,nan,nan,nan,nan,nan
609,13,nan,nan,nan,nan,nan,nan
610,12,nan,nan,nan,nan,nan,nan
611,6,nan,nan,nan,nan,nan,nan
612,14,nan,nan,nan,nan,nan,nan
613,12,nan,nan,nan,nan,nan,nan
614,14,nan,nan,nan,nan,nan,nan
615,7,nan,nan,nan,nan,nan,nan
616,13,nan,nan,nan,nan,nan,nan
617,11,nan,nan,nan,nan,nan,nan
618,16,nan,nan,nan,nan,nan,nan
619,16,nan,nan,nan,nan,nan,nan
620,8,nan,nan,nan,nan,nan,nan
621,12,nan,nan,nan,nan,nan,nan
622,22,nan,nan,nan,nan,nan,nan
623,18,nan,nan,nan,nan,nan,nan
624,6,nan,nan,nan,nan,nan,nan
625,11,nan,nan,nan,nan,nan,nan
626,11,nan,nan,nan,nan,nan,nan
