t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
843,47,nan,nan,nan,nan,nan,nan
844,67,0.2937710437710438,0.0,0.7062289562289562,0.2937710437710438,0.0,0.0
845,57,0.28693424423569597,0.0,0.713065755764304,0.28693424423569597,0.0,0.0
846,62,0.2872788542544229,0.0,0.7127211457455771,0.2872788542544229,0.0,0.0
847,56,0.2913188647746244,0.0,0.7086811352253757,0.2913188647746244,0.0,0.0
848,59,0.29045643153526973,0.0,0.7095435684647303,0.29045643153526973,0.0,0.0
849,58,0.28500823723228996,0.0,0.71499176276771,0.28500823723228996,0.0,0.0
850,59,0.2810945273631841,0.0,0.7189054726368159,0.2810945273631841,0.0,0.0
851,61,0.2823920265780731,0.0,0.717607973421927,0.2823920265780731,0.0,0.0
852,51,0.2821576763485477,0.0,0.7178423236514523,0.2821576763485477,0.0,0.0
853,51,0.28226477935054123,0.0,0.7177352206494588,0.28226477935054123,0.0,0.0
854,59,0.2833607907742998,0.0,0.7166392092257001,0.2833607907742998,0.0,0.0
855,48,nan,nan,nan,nan,nan,nan
856,66,0.2957166392092257,0.0,0.7042833607907742,0.2957166392092257,0.0,0.0
857,59,0.29310344827586204,0.0,0.7068965517241379,0.29310344827586204,0.0,0.0
858,60,0.2979423868312757,0.0,0.7020576131687243,0.2979423868312757,0.0,0.0
859,64,0.2932022932022932,0.0,0.7067977067977068,0.2932022932022932,0.0,0.0
860,60,0.2901639344262295,0.0,0.7098360655737705,0.2901639344262295,0.0,0.0
861,51,0.29262295081967216,0.0,0.7073770491803278,0.29262295081967216,0.0,0.0
862,52,0.29975629569455725,0.0,0.7002437043054427,0.29975629569455725,0.0,0.0
863,54,0.3035143769968051,0.0,0.6964856230031949,0.3035143769968051,0.0,0.0
864,60,0.3015115354017502,0.0,0.6984884645982498,0.3015115354017502,0.0,0.0
865,57,0.30448717948717946,0.0,0.6955128205128205,0.30448717948717946,0.0,0.0
866,67,0.3089622641509434,0.0,0.6910377358490566,0.3089622641509434,0.0,0.0
867,66,0.30738993710691825,0.0,0.6926100628930818,0.30738993710691825,0.0,0.0
868,53,0.3015748031496063,0.0,0.6984251968503937,0.3015748031496063,0.0,0.0
869,65,0.29976209357652656,0.0,0.7002379064234734,0.29976209357652656,0.0,0.0
870,57,0.3082465972778223,0.0,0.6917534027221778,0.3082465972778223,0.0,0.0
871,59,0.31369426751592355,0.0,0.6863057324840764,0.31369426751592355,0.0,0.0
872,72,0.3118022328548644,0.0,0.6881977671451356,0.3118022328548644,0.0,0.0
873,72,0.3124006359300477,0.0,0.6875993640699523,0.3124006359300477,0.0,0.0
874,56,0.3079968329374505,0.0,0.6920031670625495,0.3079968329374505,0.0,0.0
875,50,0.30757097791798105,0.0,0.692429022082019,0.30757097791798105,0.0,0.0
876,72,0.2992930086410055,0.0,0.7007069913589945,0.2992930086410055,0.0,0.0
877,66,0.2879746835443038,0.0,0.7120253164556962,0.2879746835443038,0.0,0.0
878,57,0.2904761904761905,0.0,0.7095238095238096,0.2904761904761905,0.0,0.0
879,51,0.2900158478605388,0.0,0.7099841521394612,0.2900158478605388,0.0,0.0
880,52,0.2948207171314741,0.0,0.7051792828685259,0.2948207171314741,0.0,0.0
881,67,0.29313099041533547,0.0,0.7068690095846646,0.29313099041533547,0.0,0.0
882,49,nan,nan,nan,nan,nan,nan
883,56,0.2922705314009662,0.0,0.7077294685990339,0.2922705314009662,0.0,0.0
884,59,0.29000812347684807,0.0,0.7099918765231519,0.29000812347684807,0.0,0.0
885,65,0.2918350848827809,0.0,0.7081649151172191,0.2918350848827809,0.0,0.0
886,62,0.2910266774454325,0.0,0.7089733225545675,0.2910266774454325,0.0,0.0
887,58,0.280358598207009,0.0,0.7196414017929911,0.280358598207009,0.0,0.0
888,62,0.2813008130081301,0.0,0.71869918699187,0.2813008130081301,0.0,0.0
889,55,0.2798053527980535,0.0,0.7201946472019465,0.2798053527980535,0.0,0.0
890,58,0.2794476035743298,0.0,0.7205523964256701,0.2794476035743298,0.0,0.0
891,54,0.2771958098307816,0.0,0.7228041901692184,0.2771958098307816,0.0,0.0
