Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
16,0.12,7,7,19,10,58,7,12,3,2,clear,76,236,469,76,470,0.001958383664470082,0.0018870379804670663,0.09649762862826528,0.09946535480704054,0.2247809923380067,0.7752190076609761,1.7130434782608697,9.970387485227768e-13,12000,ok
16,0.12,7,7,9,11,58,7,2,4,2,clear,15,194,469,14,469,0.004129317099672647,0.0020218455944341516,0.10930121832861234,0.10657031727445448,0.16819467929144521,0.8318053207075362,2.351421188630491,9.984328977196683e-13,12000,ok
16,0.12,7,7,10,11,58,7,3,4,2,clear,18,199,469,18,469,0.0039635150506123875,0.0019812103781478964,0.1144466763016279,0.10442848881424914,0.18484008854698988,0.815159911451991,2.295165394402036,9.988269395259626e-13,12000,ok
16,0.12,7,7,11,11,58,7,4,4,2,clear,22,203,469,22,469,0.003626508380492687,0.001955054115852471,0.11523911903333363,0.10304947872534423,0.19554560437107768,0.8044543956279084,2.235,9.962930942982188e-13,12000,ok
16,0.12,7,7,12,11,58,7,5,4,2,clear,27,207,469,27,469,0.0032602714203741486,0.001939086906234352,0.11410434052109077,0.10220746631669596,0.20211329296786254,0.7978867070311199,2.161369193154034,9.988160753665874e-13,12000,ok
16,0.12,7,7,13,11,58,7,6,4,2,clear,33,211,469,33,469,0.002925198530850269,0.0019297941466794328,0.11266685844329577,0.1017173644694897,0.2059932589240695,0.7940067410749139,2.0961538461538463,9.993703593845056e-13,12000,ok
16,0.12,7,7,14,11,58,7,7,4,2,clear,40,216,469,40,469,0.002639280246370983,0.0019246756926680052,0.11151157642609624,0.10144747313829647,0.20820682266978138,0.7917931773292041,2.018823529411765,9.966647546803477e-13,12000,ok
16,0.12,7,7,15,11,58,7,8,4,2,clear,47,220,469,47,469,0.0024036850120952463,0.0019220800210082943,0.10780766632833698,0.10131077878193653,0.20942514049467487,0.7905748595043105,1.9491916859122402,9.950428708499123e-13,12000,ok
16,0.12,7,7,16,11,58,7,9,4,2,clear,55,224,469,54,469,0.0022117081230536135,0.001920965615949197,0.10357251016738597,0.10125240329939028,0.21007136169180235,0.78992863830718,1.8778280542986425,9.991549754707882e-13,12000,ok
16,0.12,7,7,17,11,58,7,10,4,2,clear,63,227,469,62,469,0.0020555973286142974,0.0019206992711975881,0.09875772969603341,0.10123898736364968,0.21040465824598084,0.7895953417530012,1.8129175946547884,9.98388842006498e-13,12000,ok
16,0.12,7,7,18,11,58,7,11,4,2,clear,71,231,469,71,469,0.0019275734212963335,0.0019209111301546323,0.09413406944265568,0.10125105725271578,0.21057980546221539,0.789420194536768,1.7456140350877194,9.977364086687396e-13,12000,ok
16,0.12,7,7,19,11,58,7,12,4,2,clear,79,235,469,79,469,0.001821151696747327,0.0019213979419379203,0.08994278492070465,0.1012779290863991,0.2106866405398106,0.7893133594591742,1.6883116883116882,9.971047149971435e-13,12000,ok
16,0.12,7,7,9,12,58,7,2,5,2,clear,20,194,469,20,469,0.002367540470951755,0.002135520615929787,0.07300990645876254,0.11255954578809114,0.12114713658740811,0.8788528634115714,2.2562814070351758,9.997879961312742e-13,12000,ok
16,0.12,7,7,10,12,58,7,3,5,2,clear,23,198,469,23,469,0.002470001253615348,0.002093259830359313,0.08085729883303898,0.11033303472969352,0.13868482298380685,0.861315177015173,2.2133995037220844,9.988645784993026e-13,12000,ok
16,0.12,7,7,11,12,58,7,4,5,2,clear,27,202,469,27,469,0.002444326633963344,0.0020596047313239368,0.08602630732705535,0.10855968186560562,0.1526050149428176,0.8473949850561653,2.15609756097561,9.97240535723795e-13,12000,ok
16,0.12,7,7,12,12,58,7,5,5,2,clear,33,206,469,32,469,0.0023523976255746155,0.0020334983059022587,0.09120025872727713,0.10718396588933277,0.1633973798937069,0.8366026201052739,2.1009615384615383,9.99435287129698e-13,12000,ok
16,0.12,7,7,13,12,58,7,6,5,2,clear,38,210,469,38,469,0.002236926193031935,0.002013446573181229,0.09241494383634467,0.10612729153520356,0.17170467203899573,0.8282953279599854,2.0330188679245285,9.994689380516798e-13,12000,ok
16,0.12,7,7,14,12,58,7,7,5,2,clear,45,214,469,45,469,0.002120907530323131,0.00199803092779156,0.09395550872475195,0.10531499045379296,0.17812352925444366,0.8218764707445411,1.972093023255814,9.965969359225551e-13,12000,ok
16,0.12,7,7,15,12,58,7,8,5,2,clear,52,218,469,52,469,0.0020132822986420594,0.0019860917547089648,0.0929271382476428,0.10468601147743378,0.18313730868018696,0.8168626913187983,1.908466819221968,9.953888365512246e-13,12000,ok
16,0.12,7,7,16,12,58,7,9,5,2,clear,59,222,469,59,469,0.0019166791824274008,0.0019767498748956116,0.0907064658152535,0.10419406514104612,0.1871120497042708,0.8128879502947157,1.8468468468468469,9.95392653271751e-13,12000,ok
16,0.12,7,7,17,12,58,7,10,5,2,clear,67,226,469,67,469,0.0018309848154844776,0.0019693659203425134,0.08846822877346926,0.10380549350816183,0.19031554405605466,0.8096844559429296,1.7866666666666666,9.962846064185456e-13,12000,ok
16,0.12,7,7,18,12,58,7,11,5,2,clear,75,230,469,75,469,0.0017543776932057876,0.0019634860903917995,0.08597053860557681,0.1034964184550202,0.1929406943613058,0.8070593056376769,1.7280701754385965,9.978347660568293e-13,12000,ok
