Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
16,0.06,7,7,12,10,58,7,5,3,2,clear,28,829,375,12000,ok,0.0770698780124143,0.2727037039728979,0.1956338259604836,0.002909010672679523,0.0007932979853363971,0.0002241970976802221,0.11201910272145423,0.012009072374784047,0.04199550428543462,0.3542290666785769,0.6457709333203961,1.9635036496350364,28,835,37.5,373.5,0.9999999999989732,9.963981478968376e-13,1.1855786468131604,1.4786468319625539,0.9635036496350364,0.2042290666785769,0.2729301219875857,0.1727037039728979,0.18563382596048358,0.1727037039728979
16,0.06,7,7,13,10,58,7,6,3,2,clear,37,828,383,12000,ok,0.10845161162488409,0.34257666358894173,0.23412505196405764,0.0023342013749418026,0.0007996429191722831,0.0002531479009694588,0.10333760411577053,0.013546411083002833,0.04233171522118192,0.35067233036395506,0.6493276696350172,1.8822143698468787,36,835,51.0,373.5,0.9999999999989723,9.98467349519493e-13,1.0918835998339596,1.3663252617654948,0.8822143698468787,0.20067233036395507,0.24154838837511589,0.24257666358894173,0.22412505196405763,0.20067233036395507
16,0.06,7,7,14,10,58,7,7,3,2,clear,47,826,390,12000,ok,0.14655486795774214,0.4170951324142298,0.27054026445648766,0.0019322125838761865,0.0008059164635242791,0.0002831751600962623,0.09280386571834866,0.015140020994341863,0.042664097489234346,0.34744563399814254,0.6525543660008257,1.790909090909091,47,835,67.0,373.0,0.9999999999989682,9.998599219687689e-13,0.9895835176886585,1.2420307875234347,0.790909090909091,0.19744563399814255,0.20344513204225784,0.3170951324142298,0.26054026445648765,0.19744563399814255
16,0.06,7,7,15,10,58,7,8,3,2,clear,60,824,397,12000,ok,0.19033422003021122,0.4919958779430913,0.3016616579128801,0.0016502104337238295,0.000811896731130805,0.00031409151578854166,0.0830386559547954,0.01677956686403965,0.04298106597260827,0.34475802608088063,0.6552419739180909,1.701098901098901,60,834,82.0,373.0,0.9999999999989716,9.967506780867448e-13,0.888039135825942,1.117326206404513,0.701098901098901,0.19475802608088064,0.15966577996978876,0.3919958779430913,0.29166165791288007,0.15966577996978876
16,0.06,7,7,16,10,58,7,9,3,2,clear,75,822,404,12000,ok,0.23795277270246756,0.5627065387756929,0.3247537660732253,0.001452977458191823,0.0008175999164182247,0.0003457400148509279,0.07470974146642793,0.01845670796717121,0.043283475313805414,0.3426290352955893,0.6573709647033781,1.6183368869936035,75,834,96.0,373.0,0.9999999999989674,9.999677269183624e-13,0.7925217035536674,0.9986536041205607,0.6183368869936035,0.1926290352955893,0.11204722729753241,0.4627065387756929,0.3147537660732253,0.11204722729753241
16,0.06,7,7,17,10,58,7,10,3,2,clear,92,819,410,12000,ok,0.2876468563203989,0.6264237789261053,0.33877692260570647,0.0013140314041662042,0.00082314051782537,0.0003779770025146881,0.06827178937806216,0.02016444005296163,0.04357724057418082,0.341001691127665,0.6589983088713033,1.5426195426195426,92,834,108.0,373.0,0.9999999999989683,9.987328211535562e-13,0.7043902718832012,0.887575709110435,0.5426195426195426,0.191001691127665,0.0623531436796011,0.5264237789261054,0.32877692260570646,0.0623531436796011
16,0.07,7,7,9,10,58,7,2,3,2,clear,11,739,307,12000,ok,0.01884330946761535,0.14765909760200577,0.12881578813439043,0.006548448710907303,0.0009669380273455903,0.0001233944455924331,0.15885236689918367,0.006696194893591951,0.05116278106277786,0.32571088953637545,0.6742891104625988,2.2151515151515153,9,740,13.0,317.0,0.9999999999989744,9.983061924249954e-13,1.3599267609671042,1.7025605894324956,1.2151515151515153,0.17571088953637545,0.3311566905323846,0.04765909760200576,0.11881578813439043,0.04765909760200576
16,0.07,7,7,10,10,58,7,3,3,2,clear,15,739,315,12000,ok,0.028283016811435913,0.18675737531664452,0.1584743585052086,0.005146074606369149,0.0009610673866691368,0.0001455465146048421,0.14508709706267914,0.007881200009757415,0.050852180392510014,0.3301925768736356,0.669807423125338,2.17339312406577,14,741,17.5,317.0,0.9999999999989738,9.998382980678333e-13,1.3309182037045604,1.6671841336419586,1.17339312406577,0.18019257687363563,0.32171698318856407,0.08675737531664451,0.1484743585052086,0.08675737531664451
16,0.07,7,7,11,10,58,7,4,3,2,clear,20,739,323,12000,ok,0.04267606857261484,0.2414235462402505,0.19874747766763567,0.003990333750249582,0.0009633605246674121,0.0001702917567532705,0.12962799191091734,0.009203307667392769,0.050973678434678905,0.3291739362888892,0.6708260637100876,2.111273792093704,20,741,24.5,317.0,0.9999999999989767,9.965282407443362e-13,1.2716693263802048,1.5967849700288608,1.1112737920937041,0.1791739362888892,0.3073239314273851,0.1414235462402505,0.18874747766763567,0.1414235462402505
16,0.07,7,7,12,10,58,7,5,3,2,clear,27,739,330,12000,ok,0.06249946535785182,0.30719407935775944,0.2446946139999076,0.0031544729157344143,0.0009690354032080205,0.00019715287071922486,0.11815489714524036,0.010636625224248995,0.05127426416036381,0.3259872635444298,0.6740127364545448,2.037089871611983,27,741,33.5,317.0,0.9999999999989746,9.998150327714202e-13,1.1954934764507388,1.5062889705758216,1.037089871611983,0.1759872635444298,0.28750053464214814,0.20719407935775944,0.2346946139999076,0.1759872635444298
