Wy,kappa_top,kappa_bottom,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks
16,0.00175,0.0015,2,394,1699,1081,0.0756111132004196,0.18980418387262912,1.6131025957972807
16,0.002,0.0015,2,394,1698,1080,0.0768896819402032,0.1899356408437291,1.5883069427527405
16,0.0025,0.0015,2,394,1696,1080,0.0794309825675061,0.1902108520477707,1.5326662742789876
16,0.003,0.0015,2,393,1694,1080,0.08195162821182547,0.19050199154916805,1.4717194570135748
16,0.0035,0.0015,2,393,1692,1079,0.08445092532467192,0.1908065459826867,1.4043243243243244
16,0.004,0.0015,2,393,1691,1079,0.08692989146622716,0.19112643393410564,1.347871235721703
16,0.0045,0.0015,2,393,1689,1079,0.08938914276374764,0.19146114312942725,1.3018583626318434
16,0.005,0.0015,2,393,1687,1079,0.09182896278337921,0.19181025881709007,1.263671875
16,0.0,0.00175,2,395,1705,1082,0.06791425379363775,0.189036005043948,1.7385534173855341
16,0.00025,0.00175,2,394,1704,1082,0.06922848177550488,0.18914436628990197,1.7202889034799738
16,0.0005,0.00175,2,394,1703,1082,0.07053689243755641,0.18925633617690776,1.7
16,0.00075,0.00175,2,394,1702,1081,0.0718396372573292,0.18937272542625577,1.6790757381258024
16,0.001,0.00175,2,394,1701,1081,0.0731367604725789,0.18949347334002883,1.6575776791376031
16,0.00125,0.00175,2,394,1700,1081,0.07442851448033364,0.18961852011542163,1.635566687539136
16,0.0015,0.00175,2,394,1699,1081,0.07571493551000838,0.18974780683475895,1.6111111111111112
16,0.00175,0.00175,2,394,1698,1080,0.07699602598936504,0.18988127545546593,1.586374695863747
16,0.002,0.00175,2,394,1697,1080,0.07827158594992902,0.190018868799981,1.5595451825254338
16,0.0025,0.00175,2,394,1695,1080,0.08080713819185296,0.19030620521439984,1.5005767012687428
16,0.003,0.00175,2,393,1693,1080,0.0833216311279978,0.19060813794232628,1.4356709000552181
16,0.0035,0.00175,2,393,1691,1079,0.08581520429698931,0.19092443865234818,1.3713681986265187
16,0.004,0.00175,2,393,1690,1079,0.08828867391912057,0.19125587204855643,1.3221202854230376
16,0.0045,0.00175,2,393,1688,1079,0.09074251871172409,0.19160195548696304,1.2809099901088032
16,0.005,0.00175,2,393,1686,1079,0.093177020576023,0.19196227767177393,1.24446583253128
16,0.0,0.002,2,394,1704,1082,0.06931442255301601,0.18907523539315388,1.7191601049868765
16,0.00025,0.002,2,394,1703,1082,0.07062527193627326,0.18918917563573226,1.698896820246593
16,0.0005,0.002,2,394,1702,1082,0.07193064330721329,0.18930754161862004,1.677998717126363
16,0.00075,0.002,2,394,1701,1081,0.07323027274459641,0.1894302726809741,1.6565272496831431
16,0.001,0.002,2,394,1700,1081,0.07452440983118008,0.18955730904787554,1.6335209505941213
16,0.00125,0.002,2,394,1699,1081,0.07581320281913637,0.18968859182083317,1.6091245376078915
16,0.0015,0.002,2,394,1698,1081,0.0770966877076172,0.18982406296818974,1.5844471445929527
16,0.00175,0.002,2,394,1697,1080,0.07837476066436262,0.18996366531546877,1.5567502986857826
16,0.002,0.002,2,394,1696,1080,0.07964743528266384,0.19010734253565123,1.528169014084507
16,0.0025,0.002,2,393,1694,1080,0.08217726085849217,0.19040663539846267,1.4659154929577465
16,0.003,0.002,2,393,1692,1080,0.08468566651736996,0.19071933251381123,1.3997844827586208
16,0.0035,0.002,2,393,1690,1079,0.08717359080018651,0.19104727895593787,1.3426501035196687
16,0.004,0.002,2,393,1689,1079,0.08964161282512557,0.19139016444766901,1.297946920380571
16,0.0045,0.002,2,393,1687,1079,0.09209009971533647,0.19174752485810198,1.2605942523136873
16,0.005,0.002,2,393,1685,1079,0.09451933170741267,0.1921189577584401,1.2252252252252251
16,0.0,0.0025,2,394,1703,1082,0.07209539769490382,0.1891687008515604,1.676056338028169
16,0.00025,0.0025,2,394,1701,1082,0.07340019311609178,0.1892953379664958,1.6533839342188488
16,0.0005,0.0025,2,394,1700,1081,0.07469954421271068,0.1894263342544977,1.630461922596754
16,0.00075,0.0025,2,394,1699,1081,0.0759931140578985,0.18956158846819232,1.606153846153846
16,0.001,0.0025,2,394,1698,1081,0.07728135427841394,0.18970104265501758,1.5815645845967252
16,0.00125,0.0025,2,394,1697,1081,0.07856430037548741,0.18984463970196133,1.5530393325387366
16,0.0015,0.0025,2,394,1696,1081,0.07984198788749201,0.18999232332674731,1.5245901639344261
16,0.00175,0.0025,2,394,1695,1080,0.08111417689232402,0.19014403806891977,1.4936854190585533
16,0.002,0.0025,2,394,1694,1080,0.08238115494486131,0.19029972928086764,1.4606741573033708
16,0.0025,0.0025,2,393,1692,1080,0.08489873413130819,0.1906205255341703,1.3960236432025792
16,0.003,0.0025,2,393,1690,1079,0.08739595838053037,0.19095658232228652,1.3391843056272585
16,0.0035,0.0025,2,393,1689,1079,0.08987286476627393,0.19130753153966468,1.2953523238380809
16,0.004,0.0025,2,393,1687,1079,0.0923301364791368,0.19167304139604524,1.2581429265921245
16,0.0045,0.0025,2,393,1685,1079,0.09476805148796665,0.19205267088200187,1.2217494089834515
16,0.005,0.0025,1,392,1683,1079,0.09718623883281567,0.19244476182087608,0.8446189074255807
16,0.0,0.003,2,394,1701,1082,0.07485171963817698,0.18928418209713208,1.6296758104738154
16,0.00025,0.003,2,394,1700,1082,0.07615056144397274,0.18942332572120127,1.6044226044226044
16,0.0005,0.003,2,394,1699,1081,0.07744397991487056,0.18956668629800355,1.5789473684210527
16,0.00075,0.003,2,394,1698,1081,0.07873170173441355,0.18971420659055688,1.5523809523809524
16,0.001,0.003,2,394,1697,1081,0.08001414404488533,0.18986583018019568,1.522196261682243
16,0.00125,0.003,2,394,1696,1081,0.0812913418830994,0.1900215014584342,1.4914089347079038
16,0.0015,0.003,2,394,1695,1081,0.08256333032640259,0.19018116561870105,1.4593381940549635
16,0.00175,0.003,2,393,1694,1080,0.08382939901749417,0.19034378616950523,1.4257534246575343
16,0.002,0.003,2,393,1693,1080,0.08509024428406904,0.19051009411298447,1.3941018766756033
16,0.0025,0.003,2,393,1691,1080,0.08759669065683007,0.19085417737736968,1.3374549201442556
16,0.003,0.003,2,393,1689,1079,0.09008293798198262,0.19121320917934487,1.2934131736526946
16,0.0035,0.003,2,393,1687,1079,0.0925491035930314,0.1915867904760493,1.2550921435499516
16,0.004,0.003,2,393,1685,1079,0.09499581506295411,0.1919745339903378,1.2177191328934966
16,0.0045,0.003,1,392,1683,1079,0.09742268464277867,0.19237475604786633,0.8443427076520602
16,0.005,0.003,1,392,1681,1079,0.0998301532718329,0.19278750165612973,0.836741317753976
16,0.0,0.0035,2,394,1699,1082,0.07758378004037483,0.18942079497256822,1.5770392749244713
16,0.00025,0.0035,2,394,1698,1082,0.07887676670797514,0.18957224236270842,1.5505350772889417
16,0.0005,0.0035,2,394,1697,1082,0.08016442910912683,0.18972780146983087,1.5204200700116686
16,0.00075,0.0035,2,394,1696,1081,0.08144641762553949,0.18988741685563637,1.4888507718696398
16,0.001,0.0035,2,394,1695,1081,0.0827231591249855,0.19005103386378341,1.4560716284275321
16,0.00125,0.0035,2,393,1694,1081,0.08399436963460807,0.19021783804285156,1.4241926655719759
16,0.0015,0.0035,2,393,1693,1081,0.08526021490307585,0.19038810096422892,1.39186295503212
16,0.00175,0.0035,2,393,1692,1080,0.086520666593913,0.190562212678512,1.362349239643419
16,0.002,0.0035,2,393,1691,1080,0.08777597747417178,0.19074012149987019,1.3353909465020577
16,0.0025,0.0035,2,393,1689,1080,0.09027149741143385,0.1911071274429434,1.2914798206278026
16,0.003,0.0035,2,393,1687,1079,0.09274705028237674,0.1914887200848965,1.253268765133172
16,0.0035,0.0035,2,393,1685,1079,0.09520266278415412,0.1918845122696342,1.2142857142857142
16,0.004,0.0035,1,392,1683,1079,0.09763835783839118,0.19229286264997414,0.8440666884602811
16,0.0045,0.0035,1,392,1681,1079,0.10005451585476081,0.19271370028390603,0.836469824789098
16,0.005,0.0035,1,392,1679,1079,0.10245190276308662,0.19314766605468597,0.8300548210254757
16,0.0,0.004,2,394,1697,1082,0.08029196858209033,0.18957793613937657,1.5186480186480187
16,0.00025,0.004,2,394,1696,1082,0.08157919674405759,0.18974149066575594,1.4871501998857795
16,0.0005,0.004,2,394,1695,1082,0.08286115123117774,0.18990905341249278,1.4552572706935123
16,0.00075,0.004,2,393,1694,1081,0.0841374335600449,0.1900801002039265,1.4226353198469108
16,0.001,0.004,2,393,1693,1081,0.08540802240506472,0.19025430696445028,1.3903743315508021
16,0.00125,0.004,2,393,1692,1081,0.08667345300440417,0.19043236968929586,1.3609219486642221
16,0.0015,0.004,2,393,1691,1081,0.08793375976920047,0.19061423684483156,1.3340184994861253
16,0.00175,0.004,2,393,1690,1080,0.08918886843049387,0.19079985762550683,1.3114256825075834
16,0.002,0.004,2,393,1689,1080,0.09043873906536365,0.1909891819467669,1.2901941264310601
16,0.0025,0.004,2,393,1687,1080,0.09292351987596989,0.19137874443460484,1.251450676982592
16,0.003,0.004,2,393,1685,1080,0.0953885803687583,0.19178253777657164,1.2114392873886546
16,0.0035,0.004,1,392,1683,1079,0.09783330824703897,0.19219903066611668,0.8437908496732026
16,0.004,0.004,1,392,1681,1079,0.10025826110007091,0.1926279021809884,0.836469824789098
16,0.0045,0.004,1,392,1679,1079,0.10266434637802771,0.19306993372302372,0.8297872340425532
16,0.005,0.004,1,392,1677,1079,0.10505183277738889,0.19352478108798088,0.8237179487179487
16,0.0,0.0045,2,394,1696,1082,0.08297667262386041,0.18975535243850436,1.4547486033519552
16,0.00025,0.0045,2,393,1695,1082,0.08425818716652524,0.18993059588650438,1.4229508196721312
16,0.0005,0.0045,2,393,1694,1082,0.08553397507692329,0.19010863806723927,1.390700160342063
16,0.00075,0.0045,2,393,1693,1082,0.08680456119595771,0.190290548620938,1.361256544502618
16,0.001,0.0045,2,393,1691,1081,0.08806963001478296,0.19047636452873287,1.3333333333333333
16,0.00125,0.0045,2,393,1690,1081,0.08932956697897848,0.1906659446488879,1.3101010101010102
16,0.0015,0.0045,2,393,1689,1081,0.09058442858456021,0.1908592339744625,1.2895522388059701
16,0.00175,0.0045,2,393,1688,1081,0.09183424881535197,0.19105618330739857,1.268985791278785
16,0.002,0.0045,2,393,1687,1080,0.09307889630006565,0.19125674413826385,1.2502415458937197
16,0.0025,0.0045,2,393,1685,1080,0.0955531216873076,0.19166850965996518,1.2074766355140187
16,0.003,0.0045,1,392,1683,1080,0.09800731142692731,0.19209317685521524,0.8437908496732026
16,0.0035,0.0045,1,392,1681,1079,0.1004414475903689,0.19253004119054554,0.8361985079468051
16,0.004,0.0045,1,392,1679,1079,0.10285633232926661,0.19298009207113734,0.8295198195294876
16,0.0045,0.0045,1,392,1677,1079,0.1052525237753568,0.1934429855573679,0.8234540211470682
16,0.005,0.0045,1,392,1675,1079,0.10763028729185489,0.193918387655872,0.8179789607905642
16,0.0,0.005,2,393,1694,1083,0.08563774872030079,0.18995126259498868,1.390700160342063
16,0.00025,0.005,2,393,1693,1082,0.08691327991766565,0.19013709616690175,1.361256544502618
16,0.0005,0.005,2,393,1692,1082,0.08818351660029354,0.19032675014042597,1.3350462487153134
16,0.00075,0.005,2,393,1691,1082,0.0894486012138341,0.19052017395556778,1.3111111111111111
16,0.001,0.005,2,393,1690,1081,0.09070855045892116,0.19071731773794545,1.289905519641969
16,0.00125,0.005,2,393,1689,1081,0.09196308567022678,0.1909181322933417,1.2699657030867222
16,0.0015,0.005,2,393,1688,1081,0.09321259367043461,0.1911225691020891,1.25
16,0.00175,0.005,2,393,1686,1081,0.09445710798349898,0.19133066981405764,1.2296718972895864
16,0.002,0.005,2,393,1685,1081,0.09569666216223352,0.19154229427854078,1.2024197301070265
16,0.0025,0.005,1,392,1683,1080,0.09816028822004641,0.19197518585939197,0.8437908496732026
16,0.003,0.005,1,392,1681,1080,0.10060355869501536,0.19242001969609024,0.8361985079468051
16,0.0035,0.005,1,392,1679,1080,0.10302770096984062,0.19287806050851156,0.8295198195294876
16,0.004,0.005,1,392,1677,1079,0.10543292075097492,0.19334896507696933,0.8234540211470682
16,0.0045,0.005,1,392,1675,1079,0.10781939373736751,0.19383239992421136,0.8179789607905642
16,0.005,0.005,1,392,1673,1079,0.11018760846732671,0.19432804110491933,0.8125594671741199
