Wy,kappa,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
14,0.0015,2,397,1677,1080,0.07668255913438,0.19720280024146195,1.7716262975778547,0.9097401367848955,0.09025986321503361
14,0.00175,2,397,1675,1080,0.07967886529928507,0.1973217258780465,1.7340569877883312,0.9090768524790562,0.09092314752087614
14,0.002,2,396,1673,1080,0.08265480692491298,0.1974667137553379,1.6958831341301461,0.9084131661539689,0.09158683384595984
14,0.00225,2,396,1671,1080,0.08561098790908071,0.1976380887812477,1.654769630110318,0.9077490726378405,0.09225092736208701
14,0.0025,2,396,1669,1080,0.08854796618535932,0.1978359790262461,1.6103731815306768,0.9070845686481855,0.09291543135174668
14,0.00275,2,396,1667,1080,0.09146602761449318,0.1980598617479951,1.5633456334563345,0.9064196526258291,0.09358034737409945
14,0.003,2,396,1665,1080,0.09436545476233334,0.1983092285609633,1.5107142857142857,0.9057543245823434,0.09424567541758896
14,0.00325,2,396,1663,1080,0.09724652689563792,0.1985835849871186,1.4521489971346704,0.9050885859597261,0.09491141404020315
14,0.0035,1,395,1661,1080,0.10010849754466031,0.19888041880168944,0.932596685082873,0.9044224395015084,0.09557756049841687
14,0.00375,1,395,1659,1081,0.1029525122908398,0.19920124821911495,0.914616497829233,0.9037558891342512,0.0962441108656776
14,0.004,1,395,1656,1081,0.10577859626069543,0.19954573961264957,0.8968705547652916,0.9030889398586388,0.09691106014129292
14,0.0045,1,395,1652,1081,0.11137895059934316,0.20030385555502725,0.8698961937716263,0.9017538693636131,0.09824613063631138
14,0.005,1,394,1648,1082,0.1169097916486338,0.20114940575835225,0.8516129032258064,0.9004172859007811,0.09958271409914612
14,0.006,1,394,1639,1084,0.12777060204860682,0.20309175012278383,0.8242303872889771,0.8977398672779361,0.10226013272198449
14,0.0075,1,393,1625,1089,0.1435803174314085,0.20659347765251695,0.7948387096774193,0.893714396407741,0.10628560359218349
14,0.01,1,391,1600,1099,0.16872086736384376,0.2138437971707104,0.7568075117370892,0.8869869306502987,0.11301306934962663
14,0.015,1,389,1536,1139,0.21476868624582532,0.2328936197463711,0.6880623875224955,0.8735105010061219,0.1264894989938024
14,0.02,1,387,1433,1222,0.25518105693477955,0.2574521155510679,0.6100904053659959,0.8600883093101475,0.139911690689771
14,0.03,0,,,,,,0.0,0.8337277571277112,0.16627224287220332
14,0.05,0,,,,,,0.0,0.7843038163575258,0.21569618364237444
14,0.1,0,,,,,,0.0,0.6845332662910071,0.31546673370887945
14,0.2,0,,,,,,0.0,0.5621890098401694,0.43781099015970654
16,0.0,2,395,1711,1083,0.05793243436724379,0.1889232739234998,1.8693181818181819,0.8958919869787246,0.10410801302120154
16,0.00025,2,395,1710,1083,0.060711770358818355,0.188989984871924,1.8365921787709498,0.8950234439534706,0.10497655604645334
16,0.0005,2,395,1708,1082,0.06347187257568022,0.18908131915585116,1.8010973936899863,0.8941537294502052,0.10584627054972442
16,0.00075,2,395,1706,1082,0.06621343839374709,0.18919669515188037,1.7632817753866845,0.8932828555579555,0.10671714444196526
16,0.001,2,394,1704,1081,0.06893653055079879,0.18933503804943788,1.7248189598420014,0.89241083566027,0.10758916433964917
16,0.00125,2,394,1702,1081,0.07164062104594196,0.18949466948597235,1.6833976833976834,0.8915376843273368,0.10846231567258463
16,0.0015,2,394,1700,1081,0.07432705220331426,0.18967690191926515,1.636591478696742,0.8906634172153343,0.10933658278459185
16,0.00175,2,394,1698,1080,0.07699602598936504,0.18988127545546593,1.586374695863747,0.8897880509724629,0.11021194902745828
16,0.002,2,394,1696,1080,0.07964743528266384,0.19010734253565123,1.528169014084507,0.888911603151332,0.11108839684858958
16,0.00225,2,393,1694,1080,0.08228192716068046,0.1903546442417503,1.4642656162070906,0.8880340921272112,0.11196590787271454
16,0.0025,2,393,1692,1080,0.08489873413130819,0.1906205255341703,1.3960236432025792,0.8871555370218729,0.11284446297805409
16,0.00275,2,393,1690,1080,0.08749903197785344,0.19090683980650894,1.3378029912325942,0.8862759576326449,0.11372404236727963
16,0.003,2,393,1689,1079,0.09008293798198262,0.19121320917934487,1.2934131736526946,0.8853953743663332,0.11460462563359367
16,0.00325,2,393,1687,1079,0.09265070068759464,0.19153923728710348,1.2544837615123607,0.8845138081776849,0.11548619182223702
16,0.0035,2,393,1685,1079,0.09520266278415412,0.1918845122696342,1.2142857142857142,0.8836312805121807,0.11636871948774315
16,0.00375,1,392,1683,1079,0.09773841958794043,0.192247443429701,0.8440666884602811,0.8827478132527439,0.11725218674717897
16,0.004,1,392,1681,1079,0.10025826110007091,0.1926279021809884,0.836469824789098,0.8818634286702557,0.11813657132966436
16,0.0045,1,392,1677,1079,0.1052525237753568,0.1934429855573679,0.8234540211470682,0.8800919982864839,0.11990800171343535
16,0.005,1,392,1673,1079,0.11018760846732671,0.19432804110491933,0.8125594671741199,0.8783171736175497,0.12168282638237067
16,0.006,1,391,1664,1080,0.11988135857073078,0.1962897685398063,0.7933935805546899,0.874758095300843,0.1252419046990744
16,0.0075,1,390,1652,1082,0.13400781368570502,0.19968883660795234,0.7702166615807141,0.8693987803939333,0.13060121960598392
16,0.01,1,388,1629,1087,0.1565220333564072,0.20643677221887524,0.7349718685223571,0.8604241994116701,0.1395758005882444
16,0.015,1,386,1576,1112,0.19806423576515725,0.2233217107646053,0.670989568649563,0.8423988974874766,0.15760110251243553
16,0.02,1,383,1505,1160,0.23533812492816772,0.2439543121437786,0.608955223880597,0.8244094897209605,0.17559051027895237
16,0.03,0,,,,,,0.0,0.7890588500084134,0.21094114999149227
16,0.05,0,,,,,,0.0,0.7230629818693497,0.2769370181305475
16,0.1,0,,,,,,0.0,0.5927410422838766,0.40725895771599757
16,0.2,0,,,,,,0.0,0.4414735906531968,0.5585264093466629
20,0.0,2,393,1752,1085,0.05432083125168132,0.1697153051565102,1.4542536115569824,0.8663139892417502,0.13368601075816894
20,0.00025,2,393,1750,1084,0.05657666192672126,0.16993986250992357,1.3854007146503318,0.865112864420813,0.1348871355791121
20,0.0005,2,392,1748,1083,0.058816113093373375,0.17017783369134035,1.3405832921403855,0.8639097224702491,0.13609027752967126
20,0.00075,2,392,1746,1082,0.06104012026965635,0.17043095787708223,1.306949806949807,0.8627046221510299,0.13729537784888374
20,0.001,2,392,1745,1082,0.06324885836517044,0.17069912911284732,1.2806436346426882,0.8614976215797996,0.13850237842011617
20,0.00125,2,392,1743,1081,0.0654425207630603,0.1709819429397309,1.2567441860465116,0.8602887782462119,0.13971122175370615
20,0.0015,2,391,1741,1080,0.06762153151221355,0.17127898970996122,1.2362637362637363,0.8590781490284287,0.1409218509714891
20,0.00175,2,391,1739,1079,0.06978527812689955,0.1715878371754945,1.217155756207675,0.8578657902069344,0.14213420979298208
20,0.002,2,391,1737,1079,0.07193450423980301,0.1719103942486643,1.1980418335558523,0.8566517574768643,0.1433482425230531
20,0.00225,2,391,1735,1078,0.07406974973647494,0.17224637001104018,1.179982440737489,0.8554361059589993,0.14456389404091863
20,0.0025,2,391,1733,1077,0.07619130377580657,0.17259548109421324,1.1629116117850953,0.85421889020961,0.14578110979030862
20,0.00275,2,391,1732,1077,0.07829897554807044,0.17295751632696804,1.1466438648995296,0.8530001642292346,0.14699983577068448
20,0.003,2,390,1730,1076,0.08039241414337388,0.1733300637917096,1.1312790206838328,0.8517799814705467,0.1482200185293712
20,0.00325,2,390,1728,1076,0.08247255469109128,0.17371482441659752,1.1145356101624324,0.8505583948454085,0.14944160515451088
20,0.0035,2,390,1726,1075,0.0845395746681607,0.17411165865349496,1.095980311730927,0.8493354567311832,0.15066454326873743
20,0.00375,2,390,1724,1075,0.08659392098982487,0.1745203172894299,1.07364185110664,0.8481112189764368,0.15188878102348374
20,0.004,1,390,1722,1074,0.08863541079873942,0.17494055746508896,0.781919577340769,0.8468857329060699,0.15311426709385062
20,0.0045,1,389,1718,1073,0.0926795222182293,0.17581116778558648,0.7737991266375546,0.8444312185272019,0.15556878147271208
20,0.005,1,389,1715,1072,0.09667481083127412,0.17672478642224038,0.7660311958405546,0.8419723138868247,0.15802768611309015
20,0.006,1,388,1707,1071,0.10452292321262856,0.17867114239061255,0.7509251352120695,0.8370428944866042,0.16295710551331294
