spec,round,Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
baseline,1,16,0.08,7,7,16,9,58,7,9,2,2,clear,60,663,320,12000,ok,0.15146116846884455,0.59315458942418,0.4416934209553354,0.0019390377510975414,0.0011501491411302475,0.0002936889234864342,0.09599177187409763,0.01587230480213867,0.06082384821084201,0.30522793044215596,0.6947720695568225,1.7876106194690264,60,666,64.5,274.5,0.9999999999989786,9.955875659362347e-13,0.918044238790231,1.1793091633259227,0.7876106194690264,0.15522793044215596,0.19853883153115542,0.49315458942418,0.4316934209553354,0.15522793044215596
baseline,1,16,0.08,7,7,17,9,58,7,10,2,2,clear,73,662,325,12000,ok,0.19178772868245725,0.6748381351857011,0.4830504065032439,0.0017183028688259113,0.0011595763036827183,0.0003295494044006718,0.0871789174167868,0.017781360026968136,0.06132290188166564,0.3006768510013785,0.6993231489975994,1.7064748201438849,73,666,73.5,274.0,0.9999999999989778,9.960266532967924e-13,0.8284498429665789,1.0696363526430586,0.7064748201438849,0.15067685100137848,0.15821227131754273,0.5748381351857011,0.47305040650324387,0.15067685100137848
baseline,1,16,0.1,7,7,9,9,58,7,2,2,1,far_broadening,7,551,229,12000,ok,0.004573615736497629,0.09936688315671093,0.0947932674202133,0.01346850857142857,0.0013383237175123024,6.15997827494389e-05,0.23803610249168583,0.0035257137504076676,0.07067257018355085,0.3483204056764659,0.6516795943225159,2.4439461883408073,6,551,6.0,217.0,0.9999999999989816,9.979417845293377e-13,-1.0,-1.0,1.4439461883408073,0.1983204056764659,0.34542638426350236,-0.0006331168432890805,0.0847932674202133,-0.0006331168432890805
baseline,1,16,0.1,7,7,10,9,58,7,3,2,2,clear,10,552,235,12000,ok,0.008634202019584312,0.14964046738765308,0.14100626536806876,0.009092303054478236,0.001360576478702309,7.850478139564859e-05,0.20671416623437577,0.00446429008808346,0.07184817624957253,0.3372481397575891,0.6627518602413929,2.37117903930131,9,552,11.5,217.5,0.9999999999989818,9.994312996170871e-13,1.4979828984550154,1.8767248788497732,1.37117903930131,0.1872481397575891,0.34136579798041566,0.04964046738765307,0.13100626536806875,0.04964046738765307
baseline,1,16,0.1,7,7,11,9,58,7,4,2,2,clear,16,552,241,12000,ok,0.015046714484490601,0.21325592271647598,0.19820920823198537,0.00651712158955115,0.001389814778035197,9.80612678186857e-05,0.1839184889952111,0.005545981169009136,0.07339150017814362,0.32303955595437256,0.6769604440446099,2.2997858672376874,15,552,16.5,217.0,0.9999999999989823,9.982195407358196e-13,1.4112977668286801,1.7780537814449073,1.2997858672376874,0.17303955595437256,0.3349532855155094,0.11325592271647597,0.18820920823198536,0.11325592271647597
baseline,1,16,0.1,7,7,12,9,58,7,5,2,2,clear,22,552,246,12000,ok,0.024349356472428932,0.2873485308152399,0.262999174342811,0.004935185281497416,0.0014181182399392786,0.00012016858567666509,0.162946164368579,0.006761306751450436,0.07488587465079903,0.3094499606575255,0.6905500393414552,2.225941422594142,21,553,22.0,217.0,0.9999999999989807,9.991739296319787e-13,1.3235675775678306,1.678184889061107,1.225941422594142,0.1594499606575255,0.32565064352757106,0.18734853081523992,0.252999174342811,0.1594499606575255
baseline,1,16,0.1,7,7,13,9,58,7,6,2,2,clear,28,552,251,12000,ok,0.03700858368153973,0.3687201358050048,0.33171155212346504,0.003913581287707279,0.0014430162238873534,0.00014483610058062287,0.14470557547951263,0.008111766704024945,0.07620075024498092,0.29762529421200734,0.7023747057869777,2.142857142857143,28,553,28.0,217.0,0.999999999998985,9.96368601719304e-13,1.2332314896449086,1.5739325754399276,1.1428571428571428,0.14762529421200735,0.3129914163184602,0.26872013580500476,0.321711552123465,0.14762529421200735
baseline,1,16,0.1,7,7,14,9,58,7,7,2,2,clear,36,552,255,12000,ok,0.05345239431080431,0.454724279817273,0.40127188550646864,0.0032197597526455192,0.0014641029347063747,0.00017210386788446606,0.13395862865950545,0.009597098922676532,0.0773146433833771,0.287730302782317,0.7122696972166622,2.055666003976143,36,553,34.5,217.0,0.9999999999989791,9.999373498274175e-13,1.143597238687543,1.4692730455026446,1.055666003976143,0.137730302782317,0.2965476056891957,0.35472427981727295,0.39127188550646863,0.137730302782317
baseline,1,16,0.1,7,7,15,9,58,7,8,2,2,clear,44,552,260,12000,ok,0.07406842147428956,0.5433557695467512,0.4692873480724617,0.0027269166828299855,0.001481685912688961,0.00020197841418912295,0.12263818746861915,0.011219503915047741,0.07824376454833164,0.2795988612520201,0.7204011387469639,1.9651837524177949,44,552,41.5,217.0,0.9999999999989838,9.956643139711543e-13,1.054652980129516,1.364021967355272,0.9651837524177949,0.1295988612520201,0.27593157852571043,0.44335576954675127,0.4592873480724617,0.1295988612520201
baseline,1,16,0.1,7,7,16,9,58,7,9,2,2,clear,53,552,264,12000,ok,0.099049456058496,0.6319884299392119,0.5329389738807159,0.0023675632295504243,0.0014962725682253826,0.0002345058500710656,0.11212226287138603,0.012978574502373733,0.07901489684880807,0.2729788182774673,0.7270211817215124,1.8830188679245283,53,552,48.0,217.0,0.9999999999989797,9.989085973416584e-13,0.9720625034680307,1.2658078832748734,0.8830188679245283,0.12297881827746729,0.25095054394150396,0.5319884299392119,0.5229389738807159,0.12297881827746729
