Wy,bx,kappa_c2o,kappa_o2c,start_x,start_y,start_dx,start_dy,target_x,target_y,start_in_corridor,phase,t_peak1,t_valley,t_peak2,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
16,-0.08,0.002,0.002,33,5,26,-2,58,7,1,1,187,793,1485,0.01322519954660485,0.12455855157622306,2.2112436115843273,0.9030422518890886,0.09695774811084158
16,-0.08,0.002,0.002,34,5,27,-2,58,7,1,1,179,784,1477,0.012461670289485352,0.12195118257341422,2.2283261802575107,0.9034432202754421,0.09655677972449264
16,-0.08,0.002,0.002,35,5,28,-2,58,7,1,1,170,776,1468,0.011734401146644676,0.11927765822225862,2.243733794295592,0.9038442300884828,0.09615576991144997
16,-0.08,0.002,0.002,36,5,29,-2,58,7,1,1,162,768,1460,0.01104313438701376,0.1165282036357064,2.259355961705831,0.9042452975762176,0.09575470242371724
16,-0.08,0.002,0.002,37,5,30,-2,58,7,1,1,154,760,1452,0.010387941167283908,0.11370318316281576,2.279192273924495,0.9046464377925989,0.09535356220732946
16,-0.08,0.002,0.002,38,5,31,-2,58,7,1,1,146,752,1444,0.009767870539684033,0.11079703843392338,2.297345132743363,0.9050476654703935,0.09495233452953908
16,-0.08,0.002,0.002,39,5,32,-2,58,7,1,1,137,744,1435,0.00918097201722621,0.10779723550905823,2.3157894736842106,0.9054489952388874,0.09455100476104697
16,-0.08,0.002,0.002,40,5,33,-2,58,7,1,1,129,736,1427,0.008625961475426096,0.1047023925805051,2.3366336633663365,0.905850440600525,0.09414955939940838
16,-0.08,0.002,0.002,41,5,34,-2,58,7,1,1,121,728,1419,0.008100681496006483,0.10150474626465493,2.3535811423390753,0.906252010201478,0.09374798979845662
16,-0.08,0.002,0.002,42,5,35,-2,58,7,1,1,112,720,1411,0.007602353874272447,0.0981914148791441,2.379120879120879,0.906653698078372,0.09334630192156378
16,-0.08,0.002,0.002,43,5,36,-2,58,7,1,1,104,713,1403,0.0071282484079264845,0.09475207172492095,2.398891966759003,0.9070554606489711,0.09294453935096193
16,-0.08,0.002,0.002,44,5,37,-2,58,7,1,1,96,705,1394,0.006675688073499138,0.09117821908955881,2.4171322160148976,0.9074571650257937,0.09254283497414145
16,-0.08,0.002,0.002,45,5,38,-2,58,7,1,1,88,697,1386,0.006241670635932757,0.08745464111005126,2.4398496240601504,0.9078584764062912,0.09214152359364808
16,-0.08,0.002,0.002,46,5,39,-2,58,7,1,1,80,689,1378,0.005823237157781909,0.08356687543426268,2.465337132003799,0.9082586187519479,0.09174138124798938
16,-0.08,0.002,0.002,47,5,40,-2,58,7,1,0,,,,,,0.0,0.908655879666906,0.0913441203330316
16,-0.08,0.002,0.002,48,5,41,-2,58,7,1,0,,,,,,0.0,0.9090466237648049,0.09095337623513375
16,-0.08,0.002,0.002,49,5,42,-2,58,7,1,0,,,,,,0.0,0.9094234478560546,0.09057655214388177
16,-0.08,0.002,0.002,50,5,43,-2,58,7,1,0,,,,,,0.0,0.9097721527701189,0.09022784722981356
16,-0.08,0.002,0.002,51,5,44,-2,58,7,1,0,,,,,,0.0,0.9100683194825571,0.08993168051738196
16,-0.08,0.002,0.002,52,5,45,-2,58,7,1,0,,,,,,0.0,0.9102796657086971,0.08972033429124318
16,-0.08,0.002,0.002,53,5,46,-2,58,7,1,0,,,,,,0.0,0.9103995334301935,0.08960046656974668
16,-0.08,0.002,0.002,54,5,47,-2,58,7,1,0,,,,,,0.0,0.9106001985426092,0.08939980145732865
16,-0.08,0.002,0.002,55,5,48,-2,58,7,1,0,,,,,,0.0,0.8897217178634959,0.11027828213643626
16,-0.08,0.002,0.002,56,5,49,-2,58,7,1,0,,,,,,0.0,0.890452470980341,0.10954752901959308
16,-0.08,0.002,0.002,57,5,50,-2,58,7,1,0,,,,,,0.0,0.897805077088986,0.10219492291095239
16,-0.08,0.002,0.002,58,5,51,-2,58,7,1,0,,,,,,0.0,0.9263293082052328,0.07367069179471644
16,-0.08,0.002,0.002,59,5,52,-2,58,7,1,0,,,,,,0.0,0.9293739910435137,0.07062600895643625
16,-0.08,0.002,0.002,0,6,-7,-1,58,7,1,1,521,1347,1847,0.24083813774348403,0.3043080941445154,0.7381018647369886,0.8757186421887689,0.12428135781114581
16,-0.08,0.002,0.002,1,6,-6,-1,58,7,1,1,514,1346,1842,0.24427873926778704,0.3043834453185518,0.7341072415699281,0.8739554976136089,0.1260445023863046
16,-0.08,0.002,0.002,2,6,-5,-1,58,7,1,1,497,1331,1827,0.23980348073619814,0.2986788582495023,0.7366380504015508,0.8730808283338749,0.1269191716660416
16,-0.08,0.002,0.002,3,6,-4,-1,58,7,1,1,471,1299,1804,0.22327327374827227,0.2842543278493156,0.749718785151856,0.8734027278276157,0.12659727217230107
16,-0.08,0.002,0.002,4,6,-3,-1,58,7,1,1,443,1249,1774,0.19066673493778802,0.25906599853413076,0.7740622273916836,0.8755166774200114,0.12448332257990197
16,-0.08,0.002,0.002,5,6,-2,-1,58,7,1,1,421,1194,1747,0.15284077142129895,0.23055230033338653,0.8,0.8768150757448026,0.12318492425511415
16,-0.08,0.002,0.002,6,6,-1,-1,58,7,1,1,406,1137,1723,0.11366209069482427,0.2069478027603122,0.8418024928092043,0.8819316581221507,0.11806834187777075
16,-0.08,0.002,0.002,7,6,0,-1,58,7,1,2,397,1096,1707,0.08755917687274657,0.19280687719188677,1.3796735123749342,0.8856941716407079,0.11430582835921464
16,-0.08,0.002,0.002,8,6,1,-1,58,7,1,2,389,1065,1695,0.07007179646996084,0.18407876073834228,1.6044226044226044,0.888395495693378,0.11160450430654499
16,-0.08,0.002,0.002,9,6,2,-1,58,7,1,2,382,1041,1685,0.058147056727535056,0.17840101697941504,1.7246856386499008,0.8903474933101035,0.10965250668982182
16,-0.08,0.002,0.002,10,6,3,-1,58,7,1,2,375,1023,1676,0.04986269621839994,0.17445702785047662,1.795721187025535,0.8917880067787227,0.10821199322119841
16,-0.08,0.002,0.002,11,6,4,-1,58,7,1,2,367,1007,1668,0.04399008764567263,0.17149908157652863,1.8466997870830377,0.892884038320503,0.1071159616794219
16,-0.08,0.002,0.002,12,6,5,-1,58,7,1,2,360,994,1660,0.039725844484764405,0.1690896725757644,1.8813314037626627,0.893749365551266,0.1062506344486549
16,-0.08,0.002,0.002,13,6,6,-1,58,7,1,2,352,982,1651,0.036537611522994194,0.1669772993237852,1.9088905216752388,0.8944605512945094,0.10553944870541938
16,-0.08,0.002,0.002,14,6,7,-1,58,7,1,2,344,971,1643,0.03406823167044473,0.16501207173078541,1.9301634472511144,0.8950688475194574,0.1049311524804704
16,-0.08,0.002,0.002,15,6,8,-1,58,7,1,2,336,961,1635,0.032078162099962004,0.16310851784737435,1.9475262368815591,0.8956084882412703,0.1043915117586572
16,-0.08,0.002,0.002,16,6,9,-1,58,7,1,2,328,951,1627,0.03040736595259494,0.16121981300553306,1.963718820861678,0.8961023205440051,0.10389767945592461
16,-0.08,0.002,0.002,17,6,10,-1,58,7,1,2,320,941,1619,0.02894882139766313,0.15932146243962333,1.9801829268292683,0.8965655875634184,0.10343441243650692
16,-0.08,0.002,0.002,18,6,11,-1,58,7,1,2,311,931,1610,0.027631084160542416,0.15739839043670317,1.9923312883435582,0.8970084586594156,0.10299154134051225
16,-0.08,0.002,0.002,19,6,12,-1,58,7,1,2,303,922,1602,0.026407663600042375,0.15544723366029,2.007727975270479,0.8974377186384955,0.10256228136143193
16,-0.08,0.002,0.002,20,6,13,-1,58,7,1,2,295,912,1593,0.02524870358152946,0.15346594243036712,2.018662519440124,0.8978578947727065,0.10214210522721932
16,-0.08,0.002,0.002,21,6,14,-1,58,7,1,2,286,903,1585,0.02413464449188525,0.15145074742270856,2.034455755677369,0.8982720085629066,0.10172799143702109
16,-0.08,0.002,0.002,22,6,15,-1,58,7,1,1,278,893,1577,0.023053600864753682,0.14940132157721833,2.0472813238770686,0.8986820771696038,0.10131792283032687
16,-0.08,0.002,0.002,23,6,16,-1,58,7,1,1,270,883,1568,0.021999667831895733,0.1473185569416325,2.0619539316918187,0.8990894478735596,0.10091055212636783
16,-0.08,0.002,0.002,24,6,17,-1,58,7,1,1,261,874,1560,0.02096873361322546,0.14519771013006022,2.07673860911271,0.8994950211698018,0.10050497883012546
16,-0.08,0.002,0.002,25,6,18,-1,58,7,1,1,253,865,1551,0.01996043534019428,0.1430384328618398,2.088495575221239,0.8998993995802879,0.10010060041964147
16,-0.08,0.002,0.002,26,6,19,-1,58,7,1,1,245,855,1543,0.018975058088805973,0.14084048827084963,2.105433901054339,0.9003029869205418,0.0996970130793874
16,-0.08,0.002,0.002,27,6,20,-1,58,7,1,1,236,846,1534,0.018013955656128147,0.13859831539032175,2.1174551386623164,0.9007060545194536,0.09929394548047901
16,-0.08,0.002,0.002,28,6,21,-1,58,7,1,1,228,837,1526,0.017079206888001387,0.1363112098392304,2.133114215283484,0.90110878539857,0.09889121460135905
16,-0.08,0.002,0.002,29,6,22,-1,58,7,1,1,220,828,1518,0.016173152620495634,0.1339780909835611,2.150787075393538,0.9015113037537839,0.09848869624614699
16,-0.08,0.002,0.002,30,6,23,-1,58,7,1,1,211,819,1509,0.015297484136941864,0.1315926655041714,2.1669449081803007,0.9019136946384194,0.09808630536151196
16,-0.08,0.002,0.002,31,6,24,-1,58,7,1,1,203,810,1501,0.014454424642093745,0.1291537969083121,2.1815126050420166,0.9023160171162902,0.09768398288364015
16,-0.08,0.002,0.002,32,6,25,-1,58,7,1,1,195,801,1493,0.013645882657848891,0.1266598765730796,2.1962774957698814,0.9027183130635534,0.097281686936377
16,-0.08,0.002,0.002,33,6,26,-1,58,7,1,1,186,793,1484,0.012872327310817163,0.12410337552014339,2.213128729752771,0.9031206130664977,0.09687938693343597
16,-0.08,0.002,0.002,34,6,27,-1,58,7,1,1,178,785,1476,0.012135095051574521,0.12148284429188175,2.2302405498281788,0.9035229403622829,0.09647705963765195
