t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
2176,15,nan,nan,nan,nan,nan,nan
2177,15,nan,nan,nan,nan,nan,nan
2178,12,nan,nan,nan,nan,nan,nan
2179,12,nan,nan,nan,nan,nan,nan
2180,14,nan,nan,nan,nan,nan,nan
2181,10,nan,nan,nan,nan,nan,nan
2182,11,nan,nan,nan,nan,nan,nan
2183,7,nan,nan,nan,nan,nan,nan
2184,16,nan,nan,nan,nan,nan,nan
2185,17,nan,nan,nan,nan,nan,nan
2186,14,nan,nan,nan,nan,nan,nan
2187,12,nan,nan,nan,nan,nan,nan
2188,9,nan,nan,nan,nan,nan,nan
2189,12,nan,nan,nan,nan,nan,nan
2190,12,nan,nan,nan,nan,nan,nan
2191,7,nan,nan,nan,nan,nan,nan
2192,7,nan,nan,nan,nan,nan,nan
2193,11,nan,nan,nan,nan,nan,nan
2194,13,nan,nan,nan,nan,nan,nan
2195,8,nan,nan,nan,nan,nan,nan
2196,7,nan,nan,nan,nan,nan,nan
2197,7,nan,nan,nan,nan,nan,nan
2198,12,nan,nan,nan,nan,nan,nan
2199,11,nan,nan,nan,nan,nan,nan
2200,15,nan,nan,nan,nan,nan,nan
2201,13,nan,nan,nan,nan,nan,nan
2202,9,nan,nan,nan,nan,nan,nan
2203,9,nan,nan,nan,nan,nan,nan
2204,9,nan,nan,nan,nan,nan,nan
2205,9,nan,nan,nan,nan,nan,nan
2206,11,nan,nan,nan,nan,nan,nan
2207,19,nan,nan,nan,nan,nan,nan
2208,8,nan,nan,nan,nan,nan,nan
2209,18,nan,nan,nan,nan,nan,nan
2210,8,nan,nan,nan,nan,nan,nan
2211,7,nan,nan,nan,nan,nan,nan
2212,14,nan,nan,nan,nan,nan,nan
2213,16,nan,nan,nan,nan,nan,nan
2214,22,nan,nan,nan,nan,nan,nan
2215,15,nan,nan,nan,nan,nan,nan
2216,7,nan,nan,nan,nan,nan,nan
2217,15,nan,nan,nan,nan,nan,nan
2218,11,nan,nan,nan,nan,nan,nan
2219,16,nan,nan,nan,nan,nan,nan
2220,19,nan,nan,nan,nan,nan,nan
2221,12,nan,nan,nan,nan,nan,nan
2222,15,nan,nan,nan,nan,nan,nan
