N,K,beta,window,class,prob,summary_file
100,4,0.01,peak1,class_C1pJ1p,0.303030303030303,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C1pJ0,0.6817129629629629,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C1pJ1p,0.318287037037037,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C1pJ0,0.7139006546014632,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C1pJ1p,0.2860993453985367,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,2,0.001,peak2,class_C0J0,0.986635482793184,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak2,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak2,class_C1pJ0,0.0133645172068159,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak2,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.005,peak2,class_C0J0,0.9174095878889824,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak2,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak2,class_C1pJ0,0.0825904121110176,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak2,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.01,peak2,class_C0J0,0.8514492753623188,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak2,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak2,class_C1pJ0,0.1485507246376811,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak2,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.02,peak2,class_C0J0,0.7322973688857496,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak2,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak2,class_C1pJ0,0.2677026311142504,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak2,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.03,peak2,class_C0J0,0.6492815327301756,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,peak2,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,peak2,class_C1pJ0,0.3507184672698243,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
