t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
1141,0.00011124326314214155,6.470333216085416e-14,0.00011124326307743822,5.1509785060706593e-17,6.465182237579658e-14,7.647178974382216e-05,1.4804660714830628e-05,1.9966812618790842e-05,9.127645045865279e-05
1142,0.00011066413598260842,6.34213176755227e-14,0.0001106641359191871,5.010898435401983e-17,6.337120869117175e-14,7.607367036526268e-05,1.4727687806098636e-05,1.986277774783119e-05,9.080135817136132e-05
1143,0.00011008803425610679,6.216479681289432e-14,0.000110088034193942,4.874627820637304e-17,6.211605053469095e-14,7.567763181257368e-05,1.4651116265909846e-05,1.9759286115463853e-05,9.032874807848352e-05
1144,0.00010951494211730612,6.09332609282693e-14,0.00010951494205637286,4.742063064216161e-17,6.088584029763007e-14,7.52836631644211e-05,1.4574943997538253e-05,1.965633489441883e-05,8.985860716195936e-05
1145,0.00010894484380342998,5.972621155991153e-14,0.00010894484374370376,4.6131033858974536e-17,5.968008052605544e-14,7.489175355680872e-05,1.449916891514486e-05,1.955392127175549e-05,8.939092247195358e-05
1146,0.00010837772363384245,5.854316022445681e-14,0.00010837772357529928,4.487650746142887e-17,5.849828371699822e-14,7.450189218278308e-05,1.4423788943723333e-05,1.945204244879813e-05,8.892568112650641e-05
1147,0.00010781356600963587,5.738362821644736e-14,0.00010781356595225225,4.365609771584e-17,5.733997211873429e-14,7.411406829213989e-05,1.4348802019045947e-05,1.935069564107168e-05,8.846287031118584e-05
1148,0.00010725235541322074,5.624714641190887e-14,0.00010725235535697359,4.2468876825160996e-17,5.620467753508645e-14,7.37282711911316e-05,1.4274206087609695e-05,1.9249878078237533e-05,8.80024772787413e-05
1149,0.00010669407640791685,5.513325507588859e-14,0.0001066940763527836,4.131394222363984e-17,5.509194113366762e-14,7.334449024217661e-05,1.4199999106582668e-05,1.9149587004029527e-05,8.754448934875928e-05
1150,0.00010613871363754646,5.404150367387354e-14,0.00010613871358350495,4.019041589065846e-17,5.400131325798551e-14,7.29627148635695e-05,1.4126179043750627e-05,1.904981967619004e-05,8.708889390732013e-05
1151,0.00010558625182602924,5.2971450687011274e-14,0.0001055862517730578,3.909744368323166e-17,5.293235324333063e-14,7.258293452919285e-05,1.4052743877463805e-05,1.8950573366406325e-05,8.663567840665664e-05
1152,0.00010503667577697865,5.192266343105528e-14,0.00010503667572505599,3.8034194686658694e-17,5.188462923637116e-14,7.220513876823035e-05,1.3979691596583953e-05,1.885184536024686e-05,8.61848303648143e-05
1153,0.00010448997037330029,5.0894717878960326e-14,0.00010448997032240558,3.6999860582833805e-17,5.0857718018379984e-14,7.182931716488114e-05,1.3907020200431584e-05,1.875363295709797e-05,8.573633736531272e-05
1154,0.00010394612057679183,4.9887198487053504e-14,0.00010394612052690463,3.5993655035735364e-17,4.985120483202018e-14,7.145545935807577e-05,1.3834727698733442e-05,1.865593347010054e-05,8.529018705680922e-05
1155,0.0001034051114277448,4.8899698024708716e-14,0.0001034051113788451,3.501481309362663e-17,4.8864683211617475e-14,7.108355504119306e-05,1.3762812111570224e-05,1.8558744226086896e-05,8.484636715276328e-05
1156,0.00010286692804454784,4.7931817407453775e-14,0.00010286692799661602,3.406259060751347e-17,4.7897754816848595e-14,7.071359396177875e-05,1.3691271469324474e-05,1.846206256551788e-05,8.440486543110323e-05
1157,0.00010233155562329205,4.6983165533440565e-14,0.00010233155557630888,3.313626366541712e-17,4.695002926977746e-14,7.034556592126518e-05,1.3620103812628753e-05,1.8365885842420015e-05,8.396566973389393e-05
1158,0.00010179897943737761,4.6053359123210245e-14,0.00010179897939132426,3.223512804203175e-17,4.602112399517046e-14,6.997946077469236e-05,1.354930719231399e-05,1.8270211424322937e-05,8.352876796700634e-05
1159,0.00010126918483712244,4.514202256268691e-14,0.00010126918479198042,3.135849866334848e-17,4.511066406402577e-14,6.961526843043047e-05,1.3478879669358093e-05,1.817503669219686e-05,8.309414809978856e-05
1160,0.0001007421572493724,4.4248787749334346e-14,0.00010074215720512361,3.0505709085838947e-17,4.421828204025066e-14,6.925297884990352e-05,1.3408819314834731e-05,1.8080359040390348e-05,8.266179816473826e-05
1161,0.00010021788217711333,4.3373293941411865e-14,0.00010021788213374004,2.9676110989802304e-17,4.334361783042417e-14,6.889258204731446e-05,1.3339124209862392e-05,1.798617587656816e-05,8.223170625717685e-05
1162,9.969634519908465e-05,4.2515187610266634e-14,9.969634515656947e-05,2.886907368649061e-17,4.248631853658222e-14,6.853406808937147e-05,1.3269792445553641e-05,1.7892484621649292e-05,8.180386053492511e-05
1163,9.917753196939467e-05,4.167412229560104e-14,9.917753192772056e-05,2.8083983638637864e-17,4.164603831196445e-14,6.817742709501567e-05,1.3200822122964577e-05,1.7799282709745225e-05,8.137824921798024e-05
1164,9.866142821713782e-05,4.0849758463654976e-14,9.866142817628807e-05,2.7320243994028154e-17,4.0822438219662963e-14,6.782264923515013e-05,1.3132211353044548e-05,1.7706567588098293e-05,8.095486058819467e-05
1165,9.814801974601325e-05,4.004176336824391e-14,9.814801970597148e-05,2.6577274131748358e-17,4.001518609411412e-14,6.746972473237002e-05,1.3063958256586074e-05,1.7614336717020244e-05,8.053368298895609e-05
1166,9.76372924339453e-05,3.924981091459541e-14,9.763729239469549e-05,2.5854509220780444e-17,3.922395640537656e-14,6.711864386069432e-05,1.2996060964174974e-05,1.7522587569831053e-05,8.01147048248693e-05
1167,9.71292322327058e-05,3.8473581525927127e-14,9.712923219423222e-05,2.5151399790597754e-17,3.8448430126138425e-14,6.676939694529853e-05,1.2928517616140732e-05,1.7431317632797783e-05,7.969791456143925e-05
1168,9.662382516753769e-05,3.771276201271107e-14,9.662382512982493e-05,2.446741131343888e-17,3.768829460139949e-14,6.642197436224892e-05,1.286132636250708e-05,1.7340524405073714e-05,7.9283300724756e-05
1169,9.612105733678062e-05,3.69670454445698e-14,9.612105729981357e-05,2.38020237979415e-17,3.6943243420773694e-14,6.60763665382379e-05,1.2794485362942794e-05,1.7250205398637666e-05,7.887085190118068e-05
1170,9.562091491149826e-05,3.623613102475141e-14,9.562091487526212e-05,2.315473139382733e-17,3.6212976293359364e-14,6.57325639503207e-05,1.2727992786712718e-05,1.716035813823346e-05,7.846055673703342e-05
1171,9.512338413510699e-05,3.5519723967130964e-14,9.512338409958726e-05,2.2525042007337535e-17,3.5497198925125374e-14,6.539055712565345e-05,1.2661846812629e-05,1.7070980161309556e-05,7.805240393828246e-05
