case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,top_full,14,10,5.828975799755089e-07,87
sym_shared,peak1,369,421,top_full,45,13,5.535327832441757e-07,88
sym_shared,peak1,369,421,top_full,11,14,5.463231367370145e-07,89
sym_shared,peak1,369,421,top_full,12,12,5.319887361526178e-07,90
sym_shared,peak1,369,421,top_full,44,11,5.273158342489564e-07,91
sym_shared,peak1,369,421,top_full,13,11,5.242504276832559e-07,92
sym_shared,peak1,369,421,top_full,43,10,5.22537221394156e-07,93
sym_shared,peak1,369,421,top_full,45,14,5.028868589978403e-07,94
sym_shared,peak1,369,421,top_full,15,10,4.4907417086935276e-07,95
sym_shared,peak1,369,421,top_full,12,13,4.0518050577273885e-07,96
sym_shared,peak1,369,421,top_full,44,12,3.9396838362560687e-07,97
sym_shared,peak1,369,421,top_full,42,10,3.92182833433461e-07,98
sym_shared,peak1,369,421,top_full,14,11,3.811737057101255e-07,99
sym_shared,peak1,369,421,top_full,13,12,3.6341958258505685e-07,100
sym_shared,peak1,369,421,top_full,16,10,3.5785360785734886e-07,101
sym_shared,peak1,369,421,top_full,43,11,3.537130331143727e-07,102
sym_shared,peak1,369,421,top_full,12,14,3.465973236379364e-07,103
sym_shared,peak1,369,421,top_full,44,13,3.168524230549061e-07,104
sym_shared,peak1,369,421,top_full,41,10,3.1211241906363244e-07,105
sym_shared,peak1,369,421,top_full,17,10,2.95964790328635e-07,106
sym_shared,peak1,369,421,top_full,15,11,2.8662148861795866e-07,107
sym_shared,peak1,369,421,top_full,44,14,2.816438467941089e-07,108
sym_shared,peak1,369,421,top_full,13,13,2.704610784176225e-07,109
sym_shared,peak1,369,421,top_full,40,10,2.62074572054821e-07,110
sym_shared,peak1,369,421,top_full,14,12,2.5747428751892973e-07,111
sym_shared,peak1,369,421,top_full,42,11,2.544743421875368e-07,112
sym_shared,peak1,369,421,top_full,18,10,2.5441863603642104e-07,113
sym_shared,peak1,369,421,top_full,43,12,2.5131880064229756e-07,114
sym_shared,peak1,369,421,top_full,39,10,2.305877629676473e-07,115
sym_shared,peak1,369,421,top_full,13,14,2.281843201839405e-07,116
sym_shared,peak1,369,421,top_full,19,10,2.269212049962165e-07,117
sym_shared,peak1,369,421,top_full,16,11,2.2353301019710277e-07,118
sym_shared,peak1,369,421,top_full,38,10,2.108005432507114e-07,119
sym_shared,peak1,369,421,top_full,20,10,2.0901661124171045e-07,120
sym_shared,peak1,369,421,top_full,37,10,1.9845499232736186e-07,121
sym_shared,peak1,369,421,top_full,21,10,1.975617491797112e-07,122
sym_shared,peak1,369,421,top_full,41,11,1.9590401662253992e-07,123
sym_shared,peak1,369,421,top_full,43,13,1.9366556763219492e-07,124
sym_shared,peak1,369,421,top_full,36,10,1.9083730293948936e-07,125
sym_shared,peak1,369,421,top_full,22,10,1.903669255728619e-07,126
sym_shared,peak1,369,421,top_full,15,12,1.89120675842512e-07,127
sym_shared,peak1,369,421,top_full,14,13,1.8740188364413144e-07,128
sym_shared,peak1,369,421,top_full,35,10,1.8619984756046544e-07,129
sym_shared,peak1,369,421,top_full,23,10,1.8593296832348243e-07,130
sym_shared,peak1,369,421,top_full,34,10,1.8341882867495788e-07,131
sym_shared,peak1,369,421,top_full,24,10,1.832540422669322e-07,132
sym_shared,peak1,369,421,top_full,33,10,1.817787718525222e-07,133
sym_shared,peak1,369,421,top_full,25,10,1.816701879639271e-07,134
sym_shared,peak1,369,421,top_full,17,11,1.8148189622648462e-07,135
sym_shared,peak1,369,421,top_full,32,10,1.8083177843579554e-07,136
sym_shared,peak1,369,421,top_full,26,10,1.807591161532807e-07,137
sym_shared,peak1,369,421,top_full,31,10,1.8030461747432653e-07,138
sym_shared,peak1,369,421,top_full,27,10,1.8025909751175725e-07,139
sym_shared,peak1,369,421,top_full,30,10,1.8003830716952315e-07,140
sym_shared,peak1,369,421,top_full,28,10,1.8001622799621588e-07,141
sym_shared,peak1,369,421,top_full,29,10,1.799507143885748e-07,142
sym_shared,peak1,369,421,top_full,42,12,1.7287875080395067e-07,143
sym_shared,peak1,369,421,top_full,43,14,1.678381730728515e-07,144
sym_shared,peak1,369,421,top_full,40,11,1.6052038433878666e-07,145
sym_shared,peak1,369,421,top_full,14,14,1.5594766062616413e-07,146
sym_shared,peak1,369,421,top_full,18,11,1.5368021779628705e-07,147
sym_shared,peak1,369,421,top_full,16,12,1.4444442503472377e-07,148
sym_shared,peak1,369,421,top_full,39,11,1.3885726899887314e-07,149
sym_shared,peak1,369,421,top_full,19,11,1.3552962577605983e-07,150
sym_shared,peak1,369,421,top_full,15,13,1.3487563532136882e-07,151
sym_shared,peak1,369,421,top_full,41,12,1.2834223863835965e-07,152
sym_shared,peak1,369,421,top_full,42,13,1.2791197059662426e-07,153
sym_shared,peak1,369,421,top_full,38,11,1.2553748333198845e-07,154
sym_shared,peak1,369,421,top_full,20,11,1.2386002724397851e-07,155
sym_shared,peak1,369,421,top_full,37,11,1.1737041662246091e-07,156
sym_shared,peak1,369,421,top_full,21,11,1.1648340739318404e-07,157
