t,f_any,f_m1_first,f_m2_first,survival
785,0.00016784151002355072,0.00010545914659616303,6.238236342738768e-05,0.8436800047889198
786,0.0001677280902082593,0.00010534259507998802,6.238549512827129e-05,0.8435122766987116
787,0.0001676148573799053,0.00010522633818973579,6.238851919016953e-05,0.8433446618413317
788,0.00016750181127032207,0.00010511037505985777,6.239143621046431e-05,0.8431771600300615
789,0.00016738895161095977,0.00010499470482743362,6.239424678352614e-05,0.8430097710784504
790,0.00016727627813289242,0.00010487932663216439,6.239695150072805e-05,0.8428424948003176
791,0.00016716379056682488,0.00010476423961636581,6.239955095045907e-05,0.8426753310097509
792,0.0001670514886430995,0.00010464944292496161,6.240204571813788e-05,0.8425082795211079
793,0.00016693937209170308,0.00010453493570547663,6.240443638622645e-05,0.8423413401490161
794,0.00016682744064227363,0.00010442071710803018,6.240672353424344e-05,0.842174512708374
795,0.00016671569402410702,0.00010430678628532923,6.24089077387778e-05,0.8420077970143498
796,0.0001666041319661638,0.00010419314239266164,6.241098957350216e-05,0.8418411928823837
797,0.00016649275419707563,0.00010407978458788937,6.241296960918626e-05,0.8416747001281866
798,0.000166381560445152,0.00010396671203144172,6.241484841371029e-05,0.8415083185677414
799,0.00016627055043838692,0.00010385392388630865,6.241662655207827e-05,0.8413420480173033
800,0.00016615972390446513,0.00010374141931803382,6.241830458643131e-05,0.8411758882933987
801,0.00016604908057076876,0.00010362919749470795,6.241988307606082e-05,0.841009839212828
802,0.00016593862016438374,0.00010351725758696198,6.242136257742174e-05,0.8408439005926637
803,0.0001658283424121061,0.00010340559876796032,6.242274364414578e-05,0.8406780722502516
804,0.00016571824704044848,0.00010329422021339405,6.242402682705444e-05,0.8405123540032111
805,0.00016560833377564618,0.00010318312110147411,6.242521267417207e-05,0.8403467456694356
806,0.00016549860234366364,0.00010307230061292457,6.242630173073906e-05,0.8401812470670919
807,0.00016538905247020044,0.00010296175793097581,6.242729453922462e-05,0.8400158580146218
808,0.00016527968388069776,0.00010285149224135779,6.242819163933997e-05,0.8398505783307411
809,0.0001651704963003442,0.00010274150273229313,6.242899356805107e-05,0.8396854078344408
810,0.0001650614894540821,0.00010263178859449052,6.242970085959158e-05,0.8395203463449867
811,0.0001649526630666134,0.00010252234902113779,6.243031404547562e-05,0.8393553936819201
812,0.00016484401686240588,0.00010241318320789521,6.243083365451067e-05,0.8391905496650578
813,0.00016473555056569883,0.00010230429035288869,6.243126021281013e-05,0.8390258141144922
814,0.00016462726390050928,0.00010219566965670303,6.243159424380625e-05,0.8388611868505916
815,0.00016451915659063766,0.0001020873203223751,6.243183626826255e-05,0.8386966676940011
816,0.0001644112283596737,0.0001019792415553871,6.24319868042866e-05,0.8385322564656413
817,0.0001643034789310023,0.00010187143256365982,6.24320463673425e-05,0.8383679529867103
818,0.00016419590802780926,0.0001017638925575458,6.243201547026346e-05,0.8382037570786827
819,0.00016408851537308699,0.00010165662074982275,6.243189462326422e-05,0.8380396685633096
820,0.00016398130068964007,0.00010154961635568654,6.243168433395354e-05,0.83787568726262
821,0.00016387426370009122,0.00010144287859274465,6.243138510734658e-05,0.83771181299892
822,0.00016376740412688657,0.00010133640668100935,6.243099744587723e-05,0.837548045594793
823,0.0001636607216923014,0.00010123019984289095,6.243052184941046e-05,0.8373843848731009
824,0.00016355421611844568,0.00010112425730319115,6.242995881525451e-05,0.8372208306569824
825,0.00016344788712726932,0.00010101857828909615,6.242930883817316e-05,0.8370573827698551
826,0.00016334173444056797,0.00010091316203017004,6.242857241039792e-05,0.8368940410354146
827,0.00016323575777998825,0.00010080800775834811,6.242775002164012e-05,0.8367308052776347
828,0.000163129956867033,0.00010070311470793002,6.242684215910298e-05,0.8365676753207676
829,0.0001630243314230669,0.00010059848211557319,6.242584930749372e-05,0.8364046509893446
830,0.00016291888116932155,0.00010049410922028604,6.24247719490355e-05,0.8362417321081753
831,0.00016281360582690073,0.00010038999526342135,6.242361056347937e-05,0.8360789185023485
832,0.00016270850511678568,0.00010028613948866947,6.242236562811621e-05,0.8359162099972317
833,0.00016260357875984036,0.00010018254114205178,6.242103761778858e-05,0.8357536064184719
834,0.0001624988264768164,0.00010007919947191388,6.24196270049025e-05,0.8355911075919951
835,0.00016239424798835837,9.997611372891903e-05,6.241813425943934e-05,0.8354287133440068
836,0.00016228984301500874,9.987328316604137e-05,6.241655984896738e-05,0.8352664235009918
837,0.00016218561127721303,9.97707070385594e-05,6.241490423865363e-05,0.8351042378897147
838,0.0001620815524953247,9.966838460404927e-05,6.241316789127543e-05,0.8349421563372192
839,0.00016197766638961008,9.956631512237808e-05,6.2411351267232e-05,0.8347801786708298
840,0.00016187395268025344,9.946449785569739e-05,6.240945482455605e-05,0.8346183047181496
841,0.00016177041108736173,9.936293206843644e-05,6.240747901892529e-05,0.8344565343070621
842,0.0001616670413309695,9.926161702729568e-05,6.240542430367383e-05,0.8342948672657312
843,0.00016156384313104375,9.91605520012401e-05,6.240329112980366e-05,0.8341333034226002
