t,f_K2,f_K4
3492,0.00012493497677857298,5.4990795005855764e-05
3493,0.00012488652166276596,5.494396543116662e-05
3494,0.00012483808512137848,5.489717573540333e-05
3495,0.0001247896671487421,5.485042588577784e-05
3496,0.0001247412677383046,5.4803715848270936e-05
3497,0.00012469288688315698,5.4757045588812826e-05
3498,0.00012464452457695878,5.471041507246129e-05
3499,0.00012459618081310417,5.466382426652471e-05
3500,0.00012454785558611457,5.4617273135952294e-05
3501,0.00012449954888772152,5.457076164837467e-05
3502,0.00012445126071359425,5.4524289770521144e-05
3503,0.00012440299105596797,5.447785746664349e-05
3504,0.00012435473990897192,5.443146470398896e-05
3505,0.0001243065072655572,5.43851114481655e-05
3506,0.0001242582931196259,5.4338797668303284e-05
3507,0.00012421009746550505,5.429252332671262e-05
3508,0.00012416192029478175,5.424628839220324e-05
3509,0.00012411376160258752,5.420009283170959e-05
3510,0.00012406562138219749,5.415393661080986e-05
3511,0.00012401749962695813,5.410781969520662e-05
3512,0.00012396939633065417,5.406174205295315e-05
3513,0.00012392131148550103,5.4015703650642565e-05
3514,0.00012387324508729,5.396970445239647e-05
3515,0.00012382519712869408,5.3923744427074744e-05
3516,0.0001237771676022246,5.387782354232011e-05
3517,0.0001237291565027389,5.38319417614011e-05
3518,0.0001236811638231427,5.378609905461577e-05
3519,0.00012363318955688137,5.374029538525769e-05
3520,0.00012358523369744275,5.369453072338093e-05
3521,0.00012353729623888892,5.364880503395262e-05
3522,0.00012348937717563923,5.36031182830338e-05
3523,0.00012344147649973243,5.355747043898121e-05
3524,0.00012339359420471662,5.3511861468098384e-05
3525,0.00012334573028511934,5.346629133801496e-05
3526,0.00012329788473264757,5.3420760014425295e-05
3527,0.00012325005754323432,5.337526746498888e-05
3528,0.00012320224870944973,5.332981365721927e-05
3529,0.00012315445822460186,5.328439855568986e-05
3530,0.00012310668608281951,5.323902213069738e-05
3531,0.00012305893227627495,5.3193684347129906e-05
3532,0.00012301119680041003,5.3148385172269635e-05
3533,0.00012296347964700977,5.3103124574303363e-05
3534,0.00012291578081083038,5.305790252033427e-05
3535,0.00012286810028455355,5.301271897638299e-05
3536,0.00012282043806472785,5.296757390980822e-05
3537,0.00012277279413906242,5.292246728862571e-05
3538,0.00012272516850648292,5.2877399079559454e-05
3539,0.00012267756115855936,5.2832369250580495e-05
3540,0.00012262997208825141,5.2787377768653356e-05
3541,0.0001225824012898748,5.2742424600072554e-05
3542,0.000122534848757411,5.26975097144068e-05
3543,0.00012248731448343016,5.2652633076427825e-05
3544,0.00012243979846182328,5.2607794656276227e-05
3545,0.0001223923006866767,5.256299441861213e-05
3546,0.0001223448211498945,5.251823233283103e-05
3547,0.00012229735984806402,5.247350836628191e-05
3548,0.00012224991677167607,5.242882248576468e-05
3549,0.00012220249191593422,5.238417465995669e-05
3550,0.00012215508527385385,5.23395648555951e-05
3551,0.00012210769684020033,5.22949930396764e-05
3552,0.00012206032660630123,5.225045918100266e-05
3553,0.00012201297456716675,5.220596324794152e-05
3554,0.0001219656407158268,5.216150520579097e-05
3555,0.0001219183250464952,5.211708502439792e-05
3556,0.00012187102755242216,5.2072702670759014e-05
3557,0.00012182374822764148,5.202835811233677e-05
3558,0.0001217764870646901,5.1984051317633806e-05
3559,0.00012172924405921737,5.193978225415065e-05
3560,0.0001216820192017762,5.1895550888717676e-05
3561,0.0001216348124872863,5.185135719100563e-05
3562,0.00012158762390983981,5.180720112824958e-05
3563,0.00012154045346288305,5.1763082668469664e-05
3564,0.00012149330113996043,5.171900177882403e-05
3565,0.00012144616693343808,5.1674958428313e-05
3566,0.00012139905083864415,5.1630952584946265e-05
3567,0.00012135195284772252,5.15869842169059e-05
3568,0.00012130487295553234,5.154305329149322e-05
3569,0.00012125781115508487,5.149915977622335e-05
