case_id,classification,L,K,q,drift,beta,start,target1,target2,shortcut_src,shortcut_dst,steps,survival_final,row_stochasticity_error,mass_balance_error,decomposition_error,shape_t1,shape_t2,shape_tv,R_peak,R_valley,peak_separation,shape_score,total_mass,total_peak_t,total_peak_height,total_mean_t,target1_mass,target1_peak_t,target1_peak_height,target1_mean_t,target2_mass,target2_peak_t,target2_peak_height,target2_mean_t,split_t,early_target1_mass,early_target2_mass,late_target1_mass,late_target2_mass,early_dominant_target,late_dominant_target
025_unimodal_L31_x0_a10_20_gp0p0_b0p00,unimodal,31,2,0.6666666666666666,0.0,0.0,0,10,20,,,2500,9.730072535183792e-09,0.0,3.2439329000766293e-16,0.0,54,,,0.0,1.0,0,0.0,0.9999999902699287,54,0.005631981312350339,164.99997597354928,0.5238095189444884,50,0.003107080228362364,159.99997701922166,0.47619047132544057,60,0.0025643124175129205,170.49997482841786,54,0.09644062553113127,0.06727471370829571,0.427368893413357,0.40891575761714477,target1,target1
026_unimodal_L31_x0_a10_20_gp0p0_b0p03,unimodal,31,2,0.6666666666666666,0.0,0.03,0,10,20,5,20,2500,3.4493608297237915e-09,0.0,3.5166097464567336e-16,0.0,53,,,0.0,1.0,0,0.0,0.99999999655064,53,0.005894826072184403,156.53845301608897,0.4700854685443389,48,0.002964710729764762,151.74358162787436,0.5299145280063011,58,0.002964673427710214,160.79196795861932,53,0.09013820440100717,0.08347047779279554,0.3799472641433317,0.44644405021350575,target1,target2
027_unimodal_L31_x0_a10_20_gp0p3_b0p00,unimodal,31,2,0.6666666666666666,0.3,0.0,0,10,20,,,623,9.817002477076911e-11,0.0,3.7990444123892075e-16,0.0,31,,,0.0,1.0,0,0.0,0.9999999999018314,31,0.020635512369831,49.8843884365376,0.9988989379533765,31,0.020615374471842474,49.87897542196906,0.0011010619484551852,36,2.0982300104952248e-05,54.7951516421964,31,0.27501913000313716,0.0002195371112427054,0.7238798079502391,0.0008815248372124799,target1,target1
028_unimodal_L31_x0_a10_20_gp0p3_b0p03,unimodal,31,2,0.6666666666666666,0.3,0.03,0,10,20,5,20,615,9.87079928768717e-11,0.0,4.544975507059235e-16,0.0,31,,,0.0,1.0,0,0.0,0.9999999999012935,31,0.020877216077019776,48.7468248096626,0.9533894485256676,31,0.020013693489460183,49.22799473464144,0.046610551375625926,19,0.0010785860630399301,38.904797288344554,31,0.2691629532344632,0.023004823023811544,0.6842264952912043,0.023605728351814383,target1,target1
029_unimodal_L31_x0_a10_20_gp0p6_b0p00,unimodal,31,2,0.6666666666666666,0.6,0.0,0,10,20,,,176,9.569633326322618e-11,0.0,2.498001805406602e-16,0.0,20,,,0.0,1.0,0,0.0,0.9999999999043044,20,0.053723744694575346,24.99998746789986,0.9999997614859528,20,0.05372373347417027,24.999986871862227,2.3841835168291855e-07,23,1.1989981272238271e-08,27.499952286863078,20,0.35349320727135736,5.6769862674174176e-08,0.6465065542145954,1.8164848900874438e-07,target1,target1
030_unimodal_L31_x0_a10_20_gp0p6_b0p03,unimodal,31,2,0.6666666666666666,0.6,0.03,0,10,20,5,20,175,9.586351980308814e-11,0.0,2.3418766925686896e-16,0.0,20,,,0.0,1.0,0,0.0,0.9999999999041371,20,0.053563929114649564,24.695399969697636,0.9756327616085817,20,0.052731822705518794,24.899053160841273,0.024367238295555503,11,0.0016380826849968643,16.541389126289637,20,0.3486936249261999,0.018451234148344237,0.6269391366823819,0.0059160041472112665,target1,target1
031_unimodal_L31_x0_a30_20_gm0p6_b0p00,unimodal,31,2,0.6666666666666666,-0.6,0.0,0,30,20,,,124,8.590662039951442e-11,0.0,2.7755575615628914e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999999140933,1,0.5333333333333333,2.4999999889249507,0.9999999999134112,1,0.5333333333333333,2.49999998889369,6.820970072080054e-13,43,2.497552132405981e-14,48.33040647673477,1,0.5333333333333333,0.0,0.466666666580078,6.820970072080053e-13,target1,target1
032_unimodal_L31_x0_a30_20_gm0p6_b0p03,unimodal,31,2,0.6666666666666666,-0.6,0.03,0,30,20,5,20,122,9.814002527688968e-11,0.0,2.7755575615628914e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999999018598,1,0.5333333333333333,2.499732026737547,0.999982135846935,1,0.5333333333333333,2.4995105291458444,1.7864054925061732e-05,10,1.4121279837293104e-06,14.898576284924852,1,0.5333333333333333,0.0,0.4666488025136015,1.7864054925061736e-05,target1,target1
033_unimodal_L31_x0_a30_20_gm0p3_b0p00,unimodal,31,2,0.6666666666666666,-0.3,0.0,0,30,20,,,501,9.97499498651148e-11,0.0,5.551115123125783e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999999002502,1,0.43333333333333335,4.9997964818456415,0.9999980621285881,1,0.43333333333333335,4.999634999312295,1.9377716619979246e-06,70,2.770672131457458e-08,88.33377415400227,1,0.43333333333333335,0.0,0.5666647287952548,1.937771661997925e-06,target1,target1
034_unimodal_L31_x0_a30_20_gm0p3_b0p03,unimodal,31,2,0.6666666666666666,-0.3,0.03,0,30,20,5,20,492,9.694146169212126e-11,0.0,5.551115123125783e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999999030587,1,0.43333333333333335,4.969928038893479,0.9990022219832008,1,0.43333333333333335,4.945538088271318,0.0009977779198578115,14,3.446857614223343e-05,29.389805830007354,1,0.43333333333333335,0.0,0.5656688886498675,0.0009977779198578113,target1,target1
035_unimodal_L31_x0_a30_20_gp0p0_b0p00,unimodal,31,2,0.6666666666666666,0.0,0.0,0,30,20,,,2500,1.4542584623139634e-09,0.0,7.632783294297951e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999985457418,1,0.3333333333333333,29.999996212677328,0.9523809516538233,1,0.3333333333333333,20.49999800440249,0.04761904689191847,121,0.00021447997720328937,219.9999631343568,1,0.3333333333333333,0.0,0.6190476183204899,0.04761904689191846,target1,target1
036_unimodal_L31_x0_a30_20_gp0p0_b0p03,unimodal,31,2,0.6666666666666666,0.0,0.03,0,30,20,5,20,2500,3.470109522478564e-10,0.0,8.326672684688674e-17,0.0,1,,,0.0,1.0,0,0.0,0.9999999996529892,1,0.3333333333333333,27.436707959343945,0.9388185652470264,1,0.3333333333333333,17.824704451216913,0.061181434405962624,17,0.0002554236900286927,174.93124499114913,1,0.3333333333333333,0.0,0.6054852319136933,0.06118143440596263,target1,target1
