direction_index,predicted_gradient_dot_direction,frechet_directional_derivative,five_point_directional_derivative,relative_linearity_error,relative_finite_difference_error,budget_residual,metric_norm_residual
135.0,-0.014526555745689526,-0.014526555745689566,-0.014526555745635512,2.7466001332976402e-15,3.718299493499505e-12,4.440892098500626e-16,-1.1102230246251565e-16
136.0,0.012012345727964058,0.012012345727964096,0.012012345728118488,3.1770577816583895e-15,1.2855964313480674e-11,-1.942890293094024e-16,0.0
137.0,-0.009953363645149928,-0.009953363645149935,-0.00995336364500073,6.971406000310664e-16,1.498974289671798e-11,-2.7755575615628914e-16,0.0
138.0,0.006716708294752601,0.006716708294752592,0.00671670829473688,1.2913494228505146e-15,2.3405708289165577e-12,1.1102230246251565e-16,0.0
139.0,0.005728115043772276,0.005728115043772306,0.005728115044165149,5.148342668439513e-15,6.858667529448076e-11,3.3306690738754696e-16,-2.220446049250313e-16
140.0,0.003932454506197413,0.003932454506197412,0.003932454506321939,2.2056497706305443e-16,3.166629319196566e-11,5.551115123125783e-17,-1.1102230246251565e-16
141.0,-0.007468193752062313,-0.007468193752062291,-0.007468193752163676,3.0196598985082473e-15,1.3572558258437281e-11,-1.1102230246251565e-16,-2.220446049250313e-16
142.0,0.00513713243337648,0.005137132433376469,0.005137132433318906,2.0260993834297085e-15,1.1207368739441431e-11,-5.551115123125783e-17,-2.220446049250313e-16
143.0,0.010704762060442768,0.010704762060442803,0.010704762060445109,3.2410313581592612e-15,2.1860756510784218e-13,2.220446049250313e-16,0.0
144.0,0.011044835316807345,0.011044835316807354,0.01104483531647049,7.853097969405715e-16,3.0498919521821585e-11,-4.440892098500626e-16,-1.1102230246251565e-16
145.0,-0.016195906313107265,-0.01619590631310728,-0.016195906313090647,8.568700966480167e-16,1.026101940736e-12,-8.326672684688674e-17,-2.220446049250313e-16
146.0,-0.017239972056853986,-0.017239972056854014,-0.017239972057043564,1.6099547913297862e-15,1.0996393713480272e-11,1.1102230246251565e-16,-1.1102230246251565e-16
147.0,0.01319475435660344,0.01319475435660343,0.013194754356754082,7.888241474183306e-16,1.1416783356276736e-11,2.220446049250313e-16,0.0
148.0,0.014027966018823494,0.014027966018823517,0.014027966018503405,1.6076033515791058e-15,2.2817950986925003e-11,-1.1102230246251565e-16,0.0
149.0,0.020740456659725875,0.02074045665972589,0.02074045666005756,6.691167911717495e-16,1.59922258674004e-11,-1.1102230246251565e-16,-1.1102230246251565e-16
150.0,0.008873786979995111,0.008873786979995133,0.00887378697980723,2.541350748957336e-15,2.117257955512102e-11,5.551115123125783e-17,-2.220446049250313e-16
151.0,0.01484798448213756,0.014847984482137514,0.014847984482630378,3.154470824384667e-15,3.3190874685164446e-11,0.0,0.0
152.0,-0.001984430470795412,-0.001984430470795391,-0.001984430470688044,1.0490003060363113e-14,5.41052503680487e-11,-3.3306690738754696e-16,0.0
153.0,0.015301797194464027,0.015301797194464034,0.015301797194564962,4.534692112095076e-16,6.596276513556299e-12,0.0,2.220446049250313e-16
154.0,0.012550943025455182,0.012550943025455188,0.012550943025840347,5.528583700540411e-16,3.0688200619552224e-11,-1.1102230246251565e-16,0.0
155.0,0.018453954502348633,0.018453954502348623,0.018453954502214986,5.640168265580244e-16,7.242164058613886e-12,-1.1102230246251565e-16,0.0
156.0,0.008017080408336126,0.008017080408336125,0.008017080408313318,2.163784554503219e-16,2.8449439322608323e-12,0.0,0.0
157.0,0.0002627052824437266,0.0002627052824437518,0.00026270528267804033,9.574794288583332e-14,8.919261362801929e-10,2.220446049250313e-16,0.0
158.0,-0.011457038020592818,-0.011457038020592827,-0.011457038020477409,7.570558257984407e-16,1.0073233406908893e-11,2.220446049250313e-16,-2.220446049250313e-16
159.0,-0.0017019006897085673,-0.0017019006897085855,-0.001701900689543567,1.0702502565455414e-14,9.695053065035027e-11,1.1102230246251565e-16,-1.1102230246251565e-16
160.0,0.012055809900238315,0.012055809900238308,0.012055809900079113,5.755643097665353e-16,1.3205459741128502e-11,-1.1102230246251565e-16,0.0
161.0,0.0014454829148168417,0.0014454829148168244,0.001445482915030105,1.2000996054254147e-14,1.4753769527933895e-10,-2.220446049250313e-16,0.0
162.0,-0.001993335668969221,-0.0019933356689692053,-0.0019933356690491713,7.832354342627347e-15,4.0108833892399425e-11,0.0,-2.220446049250313e-16
163.0,-0.014813926719908551,-0.014813926719908548,-0.014813926719828284,2.342017088076315e-16,5.418373634118958e-12,5.551115123125783e-17,-1.1102230246251565e-16
164.0,-0.022352287489973293,-0.022352287489973297,-0.022352287489986463,1.552166396172151e-16,5.892023639869485e-13,-1.1102230246251565e-16,2.220446049250313e-16
