case_id,near,basin_radius,global_bias,local_bias,hold_strength,classification,score,t1,tv,t2,R_peak,R_valley,p_near,p_far,survival_tail,early_near_fraction,late_far_fraction,binned_roughness,row_stochasticity_error,mass_balance_error,decomposition_error
near5_9_R3p5_g0p08_l0p08_h0p00,"(5, 9)",3.5,0.08,0.08,0,unimodal,0,12,,,0,1,0.380333,0.356786,0.262881,0,0,0.0497888,0,7.77156e-15,4.33681e-19
near5_9_R3p5_g0p08_l0p08_h0p25,"(5, 9)",3.5,0.08,0.08,0.25,unimodal,0,13,,,0,1,0.376289,0.358735,0.264977,0,0,0.0550229,2.22045e-16,7.32747e-15,4.12854e-19
near5_9_R3p5_g0p08_l0p08_h0p45,"(5, 9)",3.5,0.08,0.08,0.45,unimodal,0,14,,,0,1,0.371324,0.361139,0.267538,0,0,0.0575557,1.11022e-16,7.77156e-15,3.50354e-19
near5_9_R3p5_g0p08_l0p12_h0p00,"(5, 9)",3.5,0.08,0.12,0,unimodal,0,12,,,0,1,0.423939,0.333137,0.242924,0,0,0.050756,0,7.32747e-15,5.92227e-19
near5_9_R3p5_g0p08_l0p12_h0p25,"(5, 9)",3.5,0.08,0.12,0.25,unimodal,0,13,,,0,1,0.421561,0.334162,0.244278,0,0,0.057013,2.22045e-16,6.43929e-15,4.62188e-19
near5_9_R3p5_g0p08_l0p12_h0p45,"(5, 9)",3.5,0.08,0.12,0.45,unimodal,0,14,,,0,1,0.418013,0.335773,0.246213,0,0,0.0601723,1.11022e-16,7.66054e-15,7.83253e-19
near5_9_R3p5_g0p12_l0p00_h0p00,"(5, 9)",3.5,0.12,0,0,double_peak,87.7889,11,62,95,0.329368,0.315153,0.217037,0.46895,0.314013,1,0.807717,0.0447448,0,7.54952e-15,3.39184e-19
near5_9_R3p5_g0p12_l0p00_h0p25,"(5, 9)",3.5,0.12,0,0.25,double_peak,90.0931,12,61,97,0.354131,0.334111,0.20843,0.473996,0.317574,1,0.824945,0.0500646,2.22045e-16,7.77156e-15,4.06811e-19
near5_9_R3p5_g0p12_l0p00_h0p45,"(5, 9)",3.5,0.12,0,0.45,double_peak,93.6827,13,60,100,0.379954,0.352851,0.199746,0.479068,0.321186,1,0.845769,0.0520252,1.11022e-16,6.66134e-15,3.77777e-19
near5_9_R3p5_g0p12_l0p04_h0p00,"(5, 9)",3.5,0.12,0.04,0,unimodal,0,11,,,0,1,0.256266,0.445968,0.297766,0,0,0.0472084,2.22045e-16,7.99361e-15,4.22669e-19
near5_9_R3p5_g0p12_l0p04_h0p25,"(5, 9)",3.5,0.12,0.04,0.25,unimodal,0,12,,,0,1,0.248269,0.450613,0.301118,0,0,0.0540004,2.22045e-16,6.21725e-15,3.27084e-19
near5_9_R3p5_g0p12_l0p04_h0p45,"(5, 9)",3.5,0.12,0.04,0.45,double_peak,74.2778,13,72,87,0.311949,0.310783,0.239844,0.455482,0.304674,1,0.731253,0.0571108,1.11022e-16,6.77236e-15,4.25062e-19
near5_9_R3p5_g0p12_l0p08_h0p00,"(5, 9)",3.5,0.12,0.08,0,unimodal,0,11,,,0,1,0.294611,0.423442,0.281947,0,0,0.0525808,0,7.77156e-15,4.09964e-19
near5_9_R3p5_g0p12_l0p08_h0p25,"(5, 9)",3.5,0.12,0.08,0.25,unimodal,0,12,,,0,1,0.287375,0.427598,0.285027,0,0,0.0569676,2.22045e-16,6.21725e-15,4.09964e-19
near5_9_R3p5_g0p12_l0p08_h0p45,"(5, 9)",3.5,0.12,0.08,0.45,unimodal,0,12,,,0,1,0.279385,0.432162,0.288452,0,0,0.06123,1.11022e-16,6.88338e-15,4.27037e-19
near5_9_R3p5_g0p12_l0p12_h0p00,"(5, 9)",3.5,0.12,0.12,0,unimodal,0,11,,,0,1,0.331715,0.401591,0.266693,0,0,0.0579074,0,6.88338e-15,7.81044e-19
near5_9_R3p5_g0p12_l0p12_h0p25,"(5, 9)",3.5,0.12,0.12,0.25,unimodal,0,11,,,0,1,0.325346,0.405201,0.269453,0,0,0.0590665,2.22045e-16,5.32907e-15,5.89919e-19
near5_9_R3p5_g0p12_l0p12_h0p45,"(5, 9)",3.5,0.12,0.12,0.45,unimodal,0,12,,,0,1,0.317933,0.409383,0.272685,0,0,0.0644717,1.11022e-16,5.88418e-15,8.38616e-19
near5_9_R3p5_g0p16_l0p00_h0p00,"(5, 9)",3.5,0.16,0,0,double_peak,76.5498,11,43,75,0.391075,0.326961,0.174123,0.480198,0.345679,1,0.87032,0.0519225,0,2.22045e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p00_h0p25,"(5, 9)",3.5,0.16,0,0.25,double_peak,79.6201,11,43,76,0.423039,0.345359,0.165068,0.485493,0.349439,1,0.882249,0.0503542,2.22045e-16,1.77636e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p00_h0p45,"(5, 9)",3.5,0.16,0,0.45,double_peak,81.6772,12,43,77,0.459314,0.365529,0.156138,0.490693,0.353169,1,0.893446,0.0541232,1.11022e-16,2.88658e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p04_h0p00,"(5, 9)",3.5,0.16,0.04,0,double_peak,68.4923,9,47,72,0.323581,0.297634,0.206061,0.461686,0.332254,1,0.826476,0.0591995,0,2.10942e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p04_h0p25,"(5, 9)",3.5,0.16,0.04,0.25,double_peak,68.5601,11,46,73,0.348026,0.314725,0.19698,0.466949,0.336071,1,0.840104,0.0537951,2.22045e-16,1.88738e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p04_h0p45,"(5, 9)",3.5,0.16,0.04,0.45,double_peak,71.0564,11,46,74,0.374301,0.331863,0.187735,0.472281,0.339984,1,0.85325,0.0590401,1.11022e-16,2.22045e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p08_h0p00,"(5, 9)",3.5,0.16,0.08,0,double_peak,59.2037,9,51,67,0.274156,0.268581,0.237826,0.443258,0.318916,1,0.752734,0.0664159,0,1.77636e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p08_h0p25,"(5, 9)",3.5,0.16,0.08,0.25,double_peak,59.825,11,51,69,0.295575,0.286558,0.228864,0.448406,0.322729,1,0.779012,0.0574764,2.22045e-16,2.10942e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p08_h0p45,"(5, 9)",3.5,0.16,0.08,0.45,double_peak,62.7085,11,50,71,0.315015,0.301409,0.219453,0.453784,0.326764,1,0.803362,0.0627826,1.11022e-16,2.10942e-15,4.33681e-19
near5_9_R3p5_g0p16_l0p12_h0p00,"(5, 9)",3.5,0.16,0.12,0,unimodal,0,9,,,0,1,0.269147,0.425079,0.305774,0,0,0.0735667,0,2.55351e-15,4.8865e-19
near5_9_R3p5_g0p16_l0p12_h0p25,"(5, 9)",3.5,0.16,0.12,0.25,unimodal,0,11,,,0,1,0.260432,0.430041,0.309527,0,0,0.0639964,2.22045e-16,1.9984e-15,4.20869e-19
near5_9_R3p5_g0p16_l0p12_h0p45,"(5, 9)",3.5,0.16,0.12,0.45,double_peak,53.0926,11,57,64,0.273515,0.273038,0.250992,0.435386,0.313622,1,0.692976,0.0653975,1.11022e-16,1.9984e-15,5.03687e-19
