N,K,beta,window,class,prob,summary_file
200,2,0.01,other,class_C0J0,0.7106088531057005,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N200_K2_beta0.01/N200_K2_beta0.summary.csv
200,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N200_K2_beta0.01/N200_K2_beta0.summary.csv
200,2,0.01,other,class_C1pJ0,0.2893911468942994,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N200_K2_beta0.01/N200_K2_beta0.summary.csv
200,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N200_K2_beta0.01/N200_K2_beta0.summary.csv
210,2,0.01,other,class_C0J0,0.6988522538683395,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N210_K2_beta0.01/N210_K2_beta0.summary.csv
210,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N210_K2_beta0.01/N210_K2_beta0.summary.csv
210,2,0.01,other,class_C1pJ0,0.3011477461316605,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N210_K2_beta0.01/N210_K2_beta0.summary.csv
210,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N210_K2_beta0.01/N210_K2_beta0.summary.csv
220,2,0.01,other,class_C0J0,0.6871920786994689,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N220_K2_beta0.01/N220_K2_beta0.summary.csv
220,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N220_K2_beta0.01/N220_K2_beta0.summary.csv
