t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
962,4.958399177230983e-07,2.544255463182672e-07,2.4141437140483105e-07,4.774264803007177e-05,0.4868796617130145,0.12079539654988374
963,4.923564422441254e-07,2.5450024828145423e-07,2.3785619396267115e-07,4.7250291587827644e-05,0.48309755606840377,0.120795574940115
964,4.888952822290086e-07,2.5449170383883047e-07,2.344035783901782e-07,4.676139630559863e-05,0.47945559491077017,0.12079575029550656
965,4.854523612091714e-07,2.5439627806289103e-07,2.3105608314628043e-07,4.6275943944389464e-05,0.47596036523699825,0.12079592271898655
966,4.820237903925375e-07,2.542106946827078e-07,2.2781309570982976e-07,4.579392015399693e-05,0.47261795008978597,0.12079609231334011
967,4.786058725688765e-07,2.5393203499729523e-07,2.246738375715813e-07,4.5315314281428046e-05,0.46943393395000255,0.12079625918102017
968,4.7519510537692156e-07,2.535577359396326e-07,2.2163736943728897e-07,4.484011917605113e-05,0.46641340983823415,0.12079642342396318
969,4.717881839403872e-07,2.5308558731070363e-07,2.187025966296836e-07,4.436833099211074e-05,0.46356098790578815,0.1207965851434098
970,4.683820028821499e-07,2.5251372820498457e-07,2.1586827467716533e-07,4.38999489892286e-05,0.46088080530173614,0.12079674443973108
971,4.649736577278955e-07,2.5184064265082085e-07,2.1313301507707466e-07,4.34349753315007e-05,0.4583765371108421,0.12079690141226017
972,4.6156044571247656e-07,2.5106515449105627e-07,2.104952912214203e-07,4.297341488578821e-05,0.4560514081671239,0.12079705615912974
973,4.581398660040406e-07,2.5018642153112103e-07,2.0795344447291957e-07,4.251527501978418e-05,0.4539082055589668,0.12079720877711568
974,4.5470961936269736e-07,2.492039289835261e-07,2.0550569037917126e-07,4.206056540042148e-05,0.45194929165386855,0.1207973593614869
975,4.512676072520658e-07,2.4811748223934943e-07,2.0315012501271634e-07,4.160929779316942e-05,0.45017661748374116,0.12079750800586157
976,4.478119304234905e-07,2.4692719899882655e-07,2.0088473142466396e-07,4.1161485862745925e-05,0.44859173634496435,0.1207976548020701
977,4.4434088699402446e-07,2.456335007945584e-07,1.9870738619946605e-07,4.07171449757519e-05,0.4471958174808664,0.12079779984002474
978,4.408529700404522e-07,2.442371039421345e-07,1.9661586609831766e-07,4.027629200571145e-05,0.4459896597277691,0.12079794320759632
979,4.3734686473265786e-07,2.42739009954109e-07,1.9460785477854884e-07,3.9838945140978794e-05,0.4449737050190335,0.12079808499049785
980,4.338214450305357e-07,2.4114049545428166e-07,1.9268094957625407e-07,3.940512369594825e-05,0.4441480516545043,0.12079822527217546
981,4.3027576996939566e-07,2.394431016301032e-07,1.9083266833929245e-07,3.8974847925978864e-05,0.4435124672552811,0.12079836413370651
982,4.2670907955942575e-07,2.3764862326174996e-07,1.8906045629767582e-07,3.854813884641943e-05,0.44306640133572844,0.12079850165370519
983,4.231207903252501e-07,2.3575909736699023e-07,1.8736169295825992e-07,3.812501805609418e-05,0.44280899743601876,0.12079863790823536
984,4.195104905119604e-07,2.3377679150139956e-07,1.8573369901056081e-07,3.770550756558222e-05,0.4427391047692179,0.12079877297073113
985,4.1587793498420476e-07,2.3170419175376324e-07,1.8417374323044155e-07,3.7289629630598013e-05,0.4428552893469488,0.12079890691192473
986,4.1222303984500206e-07,2.2954399047664262e-07,1.8267904936835942e-07,3.6877406590753016e-05,0.44315584455698465,0.12079903979978204
987,4.0854587680090026e-07,2.2729907379207195e-07,1.8124680300882832e-07,3.6468860713952114e-05,0.4436388011747251,0.12079917169944565
988,4.04846667299944e-07,2.249725089121978e-07,1.798741583877462e-07,3.606401404665217e-05,0.4443019367984089,0.12079930267318541
989,4.011257764686385e-07,2.2256753131438001e-07,1.7855824515425854e-07,3.5662888270183535e-05,0.4451427847051332,0.12079943278035646
990,3.973837068737241e-07,2.2008753180983917e-07,1.772961750638849e-07,3.52655045633098e-05,0.446158642131304,0.12079956207736486
991,3.936210921340975e-07,2.1753604354437094e-07,1.7608504858972657e-07,3.487188347117571e-05,0.44734657798708233,0.12079969061764033
992,3.8983869040765326e-07,2.149167289689538e-07,1.7492196143869949e-07,3.4482044780768055e-05,0.4487034400197273,0.12079981845161655
993,3.860373777771638e-07,2.1223336681725955e-07,1.7380401095990424e-07,3.409600740299089e-05,0.4502258614455486,0.12079994562671854
994,3.8221814155859607e-07,2.0948983912614417e-07,1.7272830243245187e-07,3.37137892614323e-05,0.45191026707446774,0.1208000721873571
995,3.783820735544672e-07,2.0669011833415443e-07,1.716919552203128e-07,3.333540718787783e-05,0.4537528789550283,0.12080019817493036
996,3.7453036327398805e-07,2.0383825449193969e-07,1.7069210878204837e-07,3.296087682460384e-05,0.4557497215711144,0.12080032362783208
997,3.7066429114083846e-07,2.0093836261722067e-07,1.697259285236178e-07,3.259021253346301e-05,0.45789662662467895,0.12080044858146653
998,3.667852217084694e-07,1.9799461022563873e-07,1.6879061148283068e-07,3.2223427311754536e-05,0.46018923744149626,0.12080057306827009
999,3.6289459690184105e-07,1.9501120506740572e-07,1.6788339183443533e-07,3.186053271485269e-05,0.4626230130393645,0.12080069711773894
1000,3.589939293034897e-07,1.9199238309819722e-07,1.6700154620529249e-07,3.1501538785549205e-05,0.46519323190033984,0.12080082075646305
1001,3.550847955007859e-07,1.8894239671119687e-07,1.66142398789589e-07,3.114645399004842e-05,0.46789499549051033,0.12080094400816595
1002,3.511688295101901e-07,1.858655032556069e-07,1.6530332625458316e-07,3.079528516053823e-05,0.47072323157254037,0.12080106689375039
1003,3.4724771629326135e-07,1.8276595386530713e-07,1.6448176242795423e-07,3.0448037444244967e-05,0.47367269735776846,0.12080118943134925
1004,3.4332318537811497e-07,1.7964798261967362e-07,1.6367520275844133e-07,3.0104714258866857e-05,0.4767379825460362,0.1208013116363818
