t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
273,1.8420226577881921e-05,7.3063080749300297e-08,2.0155316142250242e-07,7.6388651867089595e-07,2.1275863525600021e-06,4.1184578339984700e-06,5.7705464697776101e-06,5.3651331607031412e-06
274,1.7899123881379763e-05,7.1318009824602717e-08,1.9619036828252614e-07,7.4248175297035890e-07,2.0673996684282382e-06,4.0017449229659439e-06,5.6069590034414586e-06,5.2130301554666348e-06
275,1.7392762774662422e-05,6.9613166468708893e-08,1.9096964193153104e-07,7.2167662932929606e-07,2.0089154772321180e-06,3.8883394505983977e-06,5.4480090326917302e-06,5.0652393764106415e-06
276,1.6900726246466591e-05,6.7947672036078159e-08,1.8588723810991625e-07,7.0145435534485739e-07,1.9520856282677008e-06,3.7781476963461609e-06,5.2935650910058303e-06,4.9216385653560491e-06
277,1.6422609080840146e-05,6.6320665387555880e-08,1.8093951062616019e-07,6.8179860853928937e-07,1.8968633321460903e-06,3.6710785948996273e-06,5.1434994386924535e-06,4.7821089305489692e-06
278,1.5958017523584314e-05,6.4731302602744366e-08,1.7612290880901224e-07,6.6269352322902398e-07,1.8432031223405258e-06,3.5670436609935649e-06,4.9976879572476486e-06,4.6465350483617953e-06
279,1.5506568958123288e-05,6.3178756694687667e-08,1.7143397502510289e-07,6.4412367775942912e-07,1.7910608178173397e-06,3.4659569163388093e-06,4.8560100467052201e-06,4.5148047677826995e-06
280,1.5067891590535176e-05,6.1662217326965219e-08,1.6686934226032687e-07,6.2607408209512204e-07,1.7403934867203907e-06,3.3677348186213210e-06,4.7183485258966072e-06,4.3868091176144436e-06
281,1.4641624143485726e-05,6.0180890533283406e-08,1.6242573176339155e-07,6.0853016575601801e-07,1.6911594110794162e-06,3.2722961925102456e-06,4.5845895355378108e-06,4.2624422163055611e-06
282,1.4227415558813409e-05,5.8733998439645729e-08,1.5809995074996344e-07,5.9147776608955160e-07,1.6433180525135750e-06,3.1795621626182419e-06,4.4546224440632380e-06,4.1416011843391930e-06
283,1.3824924708521684e-05,5.7320778989177751e-08,1.5388889016588244e-07,5.7490311686977247e-07,1.5968300189022355e-06,3.0894560883589804e-06,4.3283397561286418e-06,4.0241860591069928e-06
284,1.3433820113941003e-05,5.5940485669675216e-08,1.4978952250795113e-07,5.5879283721426504e-07,1.5516570319958579e-06,3.0019035006481937e-06,4.2056370237075192e-06,3.9100997121975406e-06
285,1.3053779672829874e-05,5.4592387243939200e-08,1.4579889970084369e-07,5.4313392081008987e-07,1.5077618959405546e-06,2.9168320403962466e-06,4.0864127597074544e-06,3.7992477690307443e-06
286,1.2684490394190776e-05,5.3275767482955762e-08,1.4191415102871264e-07,5.2791372544018691e-07,1.4651084666906636e-06,2.8341713987415821e-06,3.9705683540350230e-06,3.6915385307716525e-06
287,1.2325648140583089e-05,5.1989924901972642e-08,1.3813248112010851e-07,5.1311996280191013e-07,1.4236616222843726e-06,2.7538532589758892e-06,3.8580079920398499e-06,3.5868828984589859e-06
288,1.1976957377721183e-05,5.0734172499520328e-08,1.3445116798486005e-07,4.9874068860959245e-07,1.3833872339581327e-06,2.6758112401131568e-06,3.7486385752703952e-06,3.4851942992855253e-06
289,1.1638130931152021e-05,4.9507837499420042e-08,1.3086756110159678e-07,4.8476429297326400e-07,1.3442521380762794e-06,2.5999808420561895e-06,3.6423696444759635e-06,3.3863886149693067e-06
290,1.1308889749812189e-05,4.8310261095816586e-08,1.2737907955462700e-07,4.7117949104585648e-07,1.3062241088529176e-06,2.5262993923154137e-06,3.5391133047912775e-06,3.2903841121562800e-06
291,1.0988962676270091e-05,4.7140798201269521e-08,1.2398321021891786e-07,4.5797531393144298e-07,1.2692718318438048e-06,2.4547059942361086e-06,3.4387841530417456e-06,3.1971013747968009e-06
292,1.0678086223464366e-05,4.5998817197931971e-08,1.2067750599195308e-07,4.4514109984726100e-07,1.2333648781865393e-06,2.3851414766914079e-06,3.3412992071093442e-06,3.1064632384399295e-06
293,1.0376004357755081e-05,4.4883699691842529e-08,1.1745958407127569e-07,4.3266648553247099e-07,1.1984736795680097e-06,2.3175483451996467e-06,3.2465778373006920e-06,3.0183947263911440e-06
294,1.0082468288109254e-05,4.3794840270351666e-08,1.1432712427655205e-07,4.2054139789679080e-07,1.1645695038986262e-06,2.2518707344257657e-06,3.1545416996605889e-06,2.9328229876805780e-06
295,9.7972362612474345e-06,4.2731646262700719e-08,1.1127786741502249e-07,4.0875604590233998e-07,1.1316244316734309e-06,2.1880543620276468e-06,3.0651146711758653e-06,2.8496772367904279e-06
296,9.5200733625828767e-06,4.1693537503767840e-08,1.0830961368923184e-07,3.9730091267220769e-07,1.0996113330007456e-06,2.1260464838093330e-06,2.9782227868159777e-06,2.7688886950916130e-06
297,9.2507513227896150e-06,4.0679946100992387e-08,1.0542022114596120e-07,3.8616674781943781e-07,1.0685038452795515e-06,2.0657958501441804e-06,2.8937941783582898e-06,2.6903905339412026e-06
298,8.9890483298403788e-06,3.9690316204485620e-08,1.0260760416530856e-07,3.7534455999029962e-07,1.0382763515073282e-06,2.0072526636320214e-06,2.8117590149474475e-06,2.6141178193934871e-06
299,8.7347488463597450e-06,3.8724103780333384e-08,9.9869731988892620e-08,3.6482560961587985e-07,1.0089039592005813e-06,1.9503685379554202e-06,2.7320494453397148e-06,2.5400074584789230e-06
300,8.4876434321423632e-06,3.7780776387092840e-08,9.7204627286179544e-08,3.5460140186619618e-07,9.8036247991079708e-07,1.8950964579011226e-06,2.6545995417844968e-06,2.4679981470064773e-06
301,8.2475285716901749e-06,3.6859812955483459e-08,9.4610364757957383e-08,3.4466367980119451e-07,9.5262840931904049e-07,1.8413907405137042e-06,2.5793452454966516e-06,2.3980303188461430e-06
302,8.0142065066268789e-06,3.5960703571269342e-08,9.2085069776007613e-08,3.3500441771314626e-07,9.2567890789287990e-07,1.7892069973494138e-06,2.5062243136745087e-06,2.3300460966496532e-06
303,7.7874850728517048e-06,3.5082949261328224e-08,8.9626917058046575e-08,3.2561581465511326e-07,8.9949178208978906e-07,1.7385020977990617e-06,2.4351762680197743e-06,2.2639892439685910e-06
304,7.5671775422985615e-06,3.4226061782899710e-08,8.7234129377033307e-08,3.1649028815029677e-07,8.7404546609161412e-07,1.6892341334497060e-06,2.3661423447167512e-06,2.1998051187302604e-06
305,7.3531024691703912e-06,3.3389563416003562e-08,8.4904976303962800e-08,3.0762046807722902e-07,8.4931900405512943e-07,1.6413623834557451e-06,2.2990654458295227e-06,2.1374406280327984e-06
306,7.1450835405221954e-06,3.2572986759016886e-08,8.2637772983285948e-08,2.9899919072590633e-07,8.2529203286412307e-07,1.5948472808908463e-06,2.2338900920768928e-06,2.0768441842221233e-06
307,6.9429494310698221e-06,3.1775874527396977e-08,8.0430878940118515e-08,2.9061949302009745e-07,8.0194476536886757e-07,1.5496503800529505e-06,2.1705623769460438e-06,2.0179656622143469e-06
308,6.7465336621050423e-06,3.0997779355535009e-08,7.8282696918423818e-08,2.8247460690119429e-07,7.7925797409922410e-07,1.5057343246953758e-06,2.1090299221069540e-06,1.9607563580283364e-06
309,6.5556744644008375e-06,3.0238263601724229e-08,7.6191671749372863e-08,2.7455795386909882e-07,7.5721297543801575e-07,1.4630628171578123e-06,2.0492418340907169e-06,1.9051689484940972e-06
310,6.3702146449940582e-06,2.9496899156224391e-08,7.4156289249106932e-08,2.6686313967576654e-07,7.3579161424168230e-07,1.4216005883717281e-06,1.9911486621959234e-06,1.8511574521036262e-06
311,6.1900014577358807e-06,2.8773267252403203e-08,7.2175075145146458e-08,2.5938394916714672e-07,7.1497624889559351e-07,1.3813133687154390e-06,1.9347023575883074e-06,1.7986771909718440e-06
312,6.0148864775034999e-06,2.8066958280933858e-08,7.0246594030709752e-08,2.5211434126937990e-07,6.9474973679175388e-07,1.3421678596947862e-06,1.8798562335598260e-06,1.7476847538761100e-06
313,5.8447254779695454e-06,2.7377571607026672e-08,6.8369448346223267e-08,2.4504844411522598e-07,6.7509542021697385e-07,1.3041317064260478e-06,1.8265649269143090e-06,1.6981379603437388e-06
314,5.6793783128286408e-06,2.6704715390671466e-08,6.6542277387323457e-08,2.3818055030680909e-07,6.5599711263992275e-07,1.2671734708983769e-06,1.7747843604477447e-06,1.6499958257577924e-06
315,5.5187088003833425e-06,2.6048006409866575e-08,6.4763756338668229e-08,2.3150511231087400e-07,6.3743908538580046e-07,1.2312626059936844e-06,1.7244717064921742e-06,1.6032185274522751e-06
316,5.3625846113944830e-06,2.5407069886808998e-08,6.3032595332892927e-08,2.2501673798285511e-07,6.1940605468768487e-07,1.1963694302425339e-06,1.6755853514930437e-06,1.5577673717686640e-06
317,5.2108771601036028e-06,2.4781539317019476e-08,6.1347538534062856e-08,2.1871018621615989e-07,6.0188316910391765e-07,1.1624651032951988e-06,1.6280848615907207e-06,1.5136047620465236e-06
318,5.0634614983377762e-06,2.4171056301375428e-08,5.9707363244990926e-08,2.1258036271317194e-07,5.8485599729119462e-07,1.1295216020876340e-06,1.5819309491777079e-06,1.4706941675217014e-06
319,4.9202162126096781e-06,2.3575270381023733e-08,5.8110879037804762e-08,2.0662231587457275e-07,5.6831051612331154e-07,1.0975116976826847e-06,1.5370854404039002e-06,1.4290000931063804e-06
320,4.7810233241281814e-06,2.2993838875144791e-08,5.6556926907163443e-08,2.0083123280367757e-07,5.5223309914580717e-07,1.0664089327674109e-06,1.4935112436030085e-06,1.3884880500259692e-06
321,4.6457681916371890e-06,2.2426426721538516e-08,5.5044378445539404e-08,1.9520243542257330e-07,5.3661050535701207e-07,1.0361875997879477e-06,1.4511723186140359e-06,1.3491245272885416e-06
322,4.5143394170027125e-06,2.1872706320002283e-08,5.3572135039995637e-08,1.8973137669693369e-07,5.2142986830628757e-07,1.0068227197038428e-06,1.4100336469724427e-06,1.3108769639632077e-06
323,4.3866287534704955e-06,2.1332357378470467e-08,5.2139127089903083e-08,1.8441363696647627e-07,5.0667868550049168e-07,9.7829002134433301e-07,1.3700612029463364e-06,1.2737137222444850e-06
324,4.2625310165186367e-06,2.0805066761884492e-08,5.0744313245057145e-08,1.7924492037810856e-07,4.9234480810996589e-07,9.5056592134950855e-07,1.3312219253937389e-06,1.2376040612803734e-06
325,4.1419439972318451e-06,2.0290528343762036e-08,4.9386679663666121e-08,1.7422105141889369e-07,4.7841643096558033e-07,9.2362750467979928e-07,1.2934836904176572e-06,1.2025181117424865e-06
326,4.0247683781260066e-06,1.9788442860433538e-08,4.8065239289697743e-08,1.6933797154604633e-07,4.6488208283861561e-07,8.9745250567768868e-07,1.2568152847963350e-06,1.1684268511171898e-06
327,3.9109076513537667e-06,1.9298517767913867e-08,4.6779031149083124e-08,1.6459173591124611e-07,4.5173061699548748e-07,8.7201928966601318e-07,1.2211863801667196e-06,1.1353020796973038e-06
328,3.8002680392237891e-06,1.8820467101376681e-08,4.5527119664290297e-08,1.5997851017663218e-07,4.3895120201954980e-07,8.4730683506764917e-07,1.1865675079397843e-06,1.1031163972545071e-06
329,3.6927584169682573e-06,1.8354011337198698e-08,4.4308593986791970e-08,1.5549456741991629e-07,4.2653331289242914e-07,8.2329471603181828e-07,1.1529300349269648e-06,1.0718431803731381e-06
330,3.5882902376950334e-06,1.7898877257540987e-08,4.3122567346964084e-08,1.5113628512612277e-07,4.1446672232755542e-07,7.9996308555266125e-07,1.1202461396575513e-06,1.0414565604266374e-06
331,3.4867774594626942e-06,1.7454797817434080e-08,4.1968176420963978e-08,1.4690014226353303e-07,4.0274149234876421e-07,7.7729265906613888e-07,1.0884887893674475e-06,1.0119314021784131e-06
332,3.3881364744183917e-06,1.7021512014333649e-08,4.0844580714148292e-08,1.4278271644148031e-07,3.9134796610704109e-07,7.5526469851170441e-07,1.0576317176402633e-06,9.8324328298942051e-07
