t,f_total,survival_before,survival_after
820,2.8044464030094957e-12,9.9131912922503733e-11,9.6327466519494243e-11
821,2.7251084845179875e-12,9.6327466519494243e-11,9.3602358034976256e-11
822,2.6480150394112483e-12,9.3602358034976256e-11,9.0954342995565006e-11
823,2.5731025714333792e-12,9.0954342995565006e-11,8.8381240424131639e-11
824,2.5003093806405013e-12,8.8381240424131639e-11,8.5880931043491146e-11
825,2.4295755125829996e-12,8.5880931043491146e-11,8.3451355530908137e-11
826,2.3608427089254135e-12,8.3451355530908137e-11,8.1090512821982725e-11
827,2.2940543594632887e-12,8.1090512821982725e-11,7.8796458462519448e-11
828,2.2291554554974746e-12,7.8796458462519448e-11,7.6567303007021963e-11
829,2.1660925445274627e-12,7.6567303007021963e-11,7.4401210462494501e-11
830,2.1048136862264568e-12,7.4401210462494501e-11,7.2296396776268045e-11
831,2.0452684096619115e-12,7.2296396776268045e-11,7.0251128366606132e-11
832,1.9874076717262952e-12,7.0251128366606132e-11,6.8263720694879853e-11
833,1.9311838167438599e-12,6.8263720694879853e-11,6.6332536878135981e-11
834,1.8765505372201274e-12,6.6332536878135981e-11,6.4455986340915871e-11
835,1.8234628357017813e-12,6.4455986340915871e-11,6.2632523505214088e-11
836,1.7718769877155425e-12,6.2632523505214088e-11,6.0860646517498546e-11
837,1.7217505057555028e-12,6.0860646517498546e-11,5.9138896011743042e-11
838,1.6730421042892614e-12,5.9138896011743042e-11,5.7465853907453786e-11
839,1.6257116657540400e-12,5.7465853907453786e-11,5.5840142241699741e-11
840,1.5797202075147682e-12,5.5840142241699741e-11,5.4260422034184984e-11
841,1.5350298497569231e-12,5.4260422034184984e-11,5.2725392184428058e-11
842,1.4916037842876897e-12,5.2725392184428058e-11,5.1233788400140365e-11
843,1.4494062442197290e-12,5.1233788400140365e-11,4.9784382155920642e-11
844,1.4084024745125997e-12,4.9784382155920642e-11,4.8375979681408038e-11
845,1.3685587033475638e-12,4.8375979681408038e-11,4.7007420978060480e-11
846,1.3298421143121963e-12,4.7007420978060480e-11,4.5677578863748285e-11
847,1.2922208193718988e-12,4.5677578863748285e-11,4.4385358044376395e-11
848,1.2556638326060478e-12,4.4385358044376395e-11,4.3129694211770349e-11
849,1.2201410446871458e-12,4.3129694211770349e-11,4.1909553167083202e-11
850,1.1856231980819650e-12,4.1909553167083202e-11,4.0723929969001241e-11
851,1.1520818629542459e-12,4.0723929969001241e-11,3.9571848106046990e-11
852,1.1194894137491116e-12,3.9571848106046990e-11,3.8452358692297884e-11
853,1.0878190064399110e-12,3.8452358692297884e-11,3.7364539685857972e-11
854,1.0570445564187490e-12,3.7364539685857972e-11,3.6307495129439222e-11
855,1.0271407170124944e-12,3.6307495129439222e-11,3.5280354412426726e-11
856,9.9808285860657290e-13,3.5280354412426726e-11,3.4282271553820157e-11
857,9.6984704835934387e-13,3.4282271553820157e-11,3.3312424505460820e-11
858,9.4241003049036571e-13,3.3312424505460820e-11,3.2370014474970451e-11
