g1,g2,phase,t1,t2,tv,sep_peaks,peak_ratio,valley_ratio,mass_tmax,survival_tmax
0.0,0.45,1,52,330,102,0.6096491228070176,0.26605464068685913,0.19930232687222263,0.5116772185323554,0.4883227814676441
0.15,0.45,1,52,328,98,0.6666666666666666,0.9571482737609603,0.3128990390194649,0.4958915595457565,0.504108440454243
0.3,0.45,1,76,332,98,0.3029585798816568,0.9349452264742358,0.7545836508488237,0.5111806342152969,0.4888193657846833
0.45,0.45,1,66,342,110,0.6216216216216216,0.3178105887840235,0.1812238048274507,0.5323996516591687,0.4676003483408296
0.6,0.45,1,56,410,96,0.8655256723716381,0.18020769975885748,0.05579700105828126,0.5698651806377386,0.4301348193622432
0.75,0.45,2,50,548,78,1.1913875598086126,0.14702872716403192,0.057953607019015585,0.5865623768206409,0.4134376231793411
0.9,0.45,2,42,790,64,1.87,0.1481949181368083,0.045829982971568387,0.594285046244986,0.405714953754988
-0.9,0.6,2,54,762,78,1.7019230769230769,0.15819975744616588,0.01602833258701176,0.5972499999985312,0.4027500000014267
-0.75,0.6,2,60,518,88,1.1143552311435523,0.4540874211848769,0.1429603664008383,0.5644444663280368,0.4355555336719282
-0.6,0.6,1,68,306,72,0.2826603325415677,0.5690359940478622,0.5645996477735797,0.5307326156045498,0.4692673843954138
-0.45,0.6,2,36,458,70,1.0095693779904307,0.3586064233958271,0.06142833249183663,0.5557996664337885,0.4442003335661938
-0.3,0.6,1,38,392,78,0.8530120481927711,0.1720425210261898,0.03432860592602524,0.5687366413538635,0.4312633586461026
-0.15,0.6,1,40,452,78,0.911504424778761,0.1275484529195984,0.0775501082244115,0.5745107473481668,0.4254892526518166
0.0,0.6,1,42,454,78,0.911504424778761,0.19093554853356173,0.10469170524971425,0.5359471792929726,0.46405282070701
0.15,0.6,1,40,454,76,0.9951923076923077,0.6511388565220719,0.10694137225053156,0.5208735542349858,0.47912644576499586
0.3,0.6,1,56,392,72,0.398576512455516,0.3400529169455446,0.26758966728589234,0.5373062651374028,0.46269373486256055
0.45,0.6,1,56,454,78,0.8984198645598194,0.6714171165245747,0.46268519387358503,0.5404728475182444,0.45952715248173615
0.6,0.6,1,52,400,84,0.8426150121065376,0.24766943279787199,0.0735490796960666,0.5543291746770151,0.44567082532294944
0.75,0.6,2,46,546,76,1.1990407673860912,0.12108601422555827,0.013790972782101672,0.5973624045703928,0.40263759542957395
0.9,0.6,2,40,790,66,1.7857142857142858,0.08222282901772004,0.008971123115853786,0.6133556265270743,0.38664437347288544
-0.9,0.75,2,50,762,74,1.8071065989847717,0.6913862468052321,0.10979286850142045,0.5789279781176165,0.4210720218823403
-0.75,0.75,1,80,414,98,0.42710997442455245,0.7207760424775836,0.5057297273508969,0.5317870731082286,0.46821292689173494
-0.6,0.75,2,88,534,118,1.117794486215539,0.23103495651367506,0.08726226846893297,0.5746785237082542,0.4253214762917115
-0.45,0.75,2,94,538,174,1.0422535211267605,0.30837007290676643,0.26877226698772294,0.5848113818935029,0.41518861810648017
-0.3,0.75,2,92,538,118,1.0396270396270397,0.764020294990715,0.4242197879149847,0.5949486111522113,0.40505138884775604
-0.15,0.75,2,90,538,120,1.0394431554524362,0.2891863014399519,0.1862172966122216,0.5977140769121125,0.40228592308787126
0.0,0.75,2,90,540,120,1.0465116279069768,0.2947731865325932,0.22663923871156916,0.5552762595996009,0.44472374040038215
0.15,0.75,2,92,538,118,1.1012345679012345,0.7950738648165464,0.36131423582831834,0.5413184539573446,0.458681546042638
0.3,0.75,2,92,538,176,1.0420560747663552,0.3199637134777156,0.26544921124288745,0.5588914942598004,0.441108505740164
0.45,0.75,1,48,538,60,0.5990220048899756,0.37950697534306066,0.24619883866878708,0.5656681220280873,0.4343318779718942
0.6,0.75,2,46,542,64,1.1670588235294117,0.6305781797286008,0.2567206550887525,0.5581520358710894,0.4418479641288746
0.75,0.75,2,42,544,68,1.200956937799043,0.20827104851955225,0.02245234570149271,0.5635861280902127,0.4364138719097529
0.9,0.75,2,38,746,62,1.778894472361809,0.08968024690368075,0.0035697558020945305,0.6190545118839524,0.3809454881160083
-0.9,0.9,2,68,582,84,1.2506082725060828,0.9565839406072755,0.37923155702910394,0.5107729704331447,0.4892270295667992
-0.75,0.9,2,74,782,98,1.7395577395577395,0.15824392881040947,0.028917131371863154,0.5921523154524588,0.4078476845474996
-0.6,0.9,2,78,780,102,1.7248157248157248,0.1456319570387969,0.06335182132206385,0.5998847861209013,0.40011521387905785
-0.45,0.9,2,80,780,148,1.639344262295082,0.41403959699936,0.2610798928252953,0.6043783633786529,0.395621636621323
-0.3,0.9,2,76,780,100,1.7297297297297298,0.4436353815857139,0.1145212030134309,0.6171577886481738,0.3828422113517872
-0.15,0.9,2,76,782,100,1.6380510440835268,0.16115184669633145,0.08546857191320321,0.6166920647988268,0.38330793520115014
0.0,0.9,2,76,782,100,1.6380510440835268,0.1883894381145166,0.102904611773076,0.5714351826721122,0.42856481732786333
0.15,0.9,2,76,782,100,1.7303921568627452,0.6277932143118229,0.15255020762463253,0.5588252740826963,0.44117472591727785
0.3,0.9,2,78,780,100,1.6325581395348838,0.31439693688968273,0.1887674905241684,0.5767189039271858,0.42328109607277054
0.45,0.9,2,76,780,102,1.6334106728538282,0.14271587423040735,0.07180046799835822,0.5849843326740221,0.4150156673259514
0.6,0.9,2,40,780,50,1.8226600985221675,0.31459639035832004,0.13756566336476295,0.5851868071941627,0.414813192805794
0.75,0.9,2,38,782,54,1.7464788732394365,0.7428837215764372,0.12031457311680711,0.5675412245806426,0.43245877541931327
0.9,0.9,2,36,740,58,1.7512437810945274,0.22470297440235007,0.0033264111249680117,0.5555643664630618,0.44443563353688675
