N,beta,peak_id,t_left,t_peak,t_right,mass_total,fraction_total,mass_yes,mass_no,shortcut_share,dominant_site,dominant_site_fraction,site_entropy
101,0.18,peak1,80,108,147,0.13628922575099944,0.13628928911648838,0.06719046843225557,0.0690987573187439,0.49299912052485073,40,0.04060368694312896,3.701324296105808
101,0.18,peak2,148,192,277,0.1948734741061082,0.1948735647094035,0.029887178943742543,0.1649862951623657,0.15336709668073673,100,0.047264713861966935,3.6676275712315487
101,0.18,peak3,278,322,400,0.04555168846160617,0.0455517096401329,0.00806189442284898,0.0374897940387572,0.17698343782896328,63,0.03521557847761967,3.964092193229723
101,0.18,other,,,,0.6232851467475458,0.623285436533975,0.004916775621056633,0.6183683711264893,0.007888485144742451,36,0.09161055057572354,2.979114970204863
101,0.2,peak1,80,108,147,0.14135395182784333,0.14135401885719598,0.07321012222096303,0.06814382960688027,0.5179205906469917,40,0.038691107992062136,3.7082062971129313
101,0.2,peak2,148,192,278,0.19632282636430753,0.19632291945963165,0.0334593944993515,0.16286343186495605,0.17043048492620208,100,0.046803257657169105,3.68412434249818
101,0.2,peak3,279,321,400,0.045352025008180016,0.04535204651388847,0.008754465702755837,0.03659755930542416,0.19303362311113603,63,0.03485976849988179,3.975238508159792
101,0.2,other,,,,0.6169707226047846,0.6169710151692839,0.0053905449589781475,0.6115801776458065,0.008737116303055422,36,0.09157938784321286,2.9812367043037598
101,0.22,peak1,80,109,147,0.1462032004763719,0.14620327117778995,0.07898869822819131,0.06721450224818051,0.5402665466338871,40,0.03697600774262398,3.7131675925131935
101,0.22,peak2,148,192,278,0.19758552636594925,0.19758562191499915,0.03688098755107142,0.16070453881487787,0.18665834603069023,100,0.04638381996509139,3.6972746893804054
101,0.22,peak3,279,321,400,0.04541711860876779,0.04541714057172536,0.009595143598898613,0.03582197500986919,0.21126711453346728,63,0.034407306393470796,3.9909645285810287
101,0.22,other,,,,0.6107936709659002,0.6107939663354853,0.005852186880223103,0.604941484085677,0.009581282777486119,36,0.09154732346219929,2.9833596271676903
101,0.24,peak1,80,109,147,0.15084694277000232,0.1508470171529744,0.08453716733050012,0.06630977543950216,0.560416842251783,23,0.03730306486089537,3.716710067826692
101,0.24,peak2,148,191,279,0.19919446944564287,0.19919456766889082,0.04050135508509442,0.15869311436054848,0.20332570074766368,100,0.045936408432092624,3.7126051420170807
101,0.24,peak3,280,321,400,0.04520853464420473,0.045208556936636446,0.010232024722740683,0.03497650992146404,0.2263294929434817,63,0.03408314766611917,4.00007749297726
