N,beta,site,p_full,p_peak1,p_peak2,p_peak3,p_other,p_yes,p_no
61,0.02,4,0.00946583518880539,0.009094791329816932,0.00010347419610467311,0.0,0.0002675696628837847,0.00014685572640895514,0.009318979462396427
61,0.02,5,0.00836683510244829,0.00797239896683146,0.00010253258756071036,0.0,0.0002919035480561198,0.00018695989355245568,0.008179875208895864
61,0.02,6,0.0072854733856929236,0.0068648314216367004,0.00010193270201094911,0.0,0.0003187092620452745,0.0002476723586486137,0.007037801027044315
61,0.02,7,0.006273390460126837,0.005824546474691136,0.00010122855690751364,0.0,0.0003476154285281874,0.0003288185360546992,0.005944571924072135
61,0.02,8,0.005369293211272569,0.004889727189226373,0.00010011559924829337,0.0,0.00037945042279790176,0.00042636050877713883,0.004942932702495408
61,0.02,9,0.0045991976220735005,0.004081180214036032,9.842032555448002e-05,0.0,0.00041959708248298866,0.0005320048588392386,0.004067192763234262
61,0.02,10,0.003988229215995258,0.0034046210007673233,9.610773308146803e-05,0.0,0.00048750048214646656,0.0006341003181524668,0.0033541288978427776
61,0.02,11,0.00359024578122379,0.002856685938535697,9.329212245555398e-05,0.0,0.000640267720232539,0.0007197647729115524,0.002870481008312223
61,0.02,12,0.0035471662882241464,0.002433477079691754,9.024847738658485e-05,0.0,0.0010234407311458078,0.0007776497686469031,0.0027695165195772385
61,0.02,13,0.0041879948419422195,0.002140017805306876,8.74247949690575e-05,0.0,0.0019605522416662855,0.0008004420746171924,0.0033875527673250276
61,0.02,14,0.0061502605572608,0.0019983852505557663,8.545648901382797e-05,0.0,0.004066418817691206,0.0007862951221387043,0.005363965435122095
61,0.02,15,0.010434063598542617,0.002051653333268083,8.518348455943789e-05,0.0,0.008297226780715096,0.0007388174279592818,0.00969524617058329
61,0.02,16,0.018207034235705785,0.0023604050152169456,8.766917667203116e-05,0.0,0.015758960043816807,0.0006657831722960752,0.017541251063409754
61,0.02,17,0.030201628070648377,0.002989126296442448,9.421828040264321e-05,0.0,0.027118283493803283,0.0005771195198277751,0.02962450855082062
61,0.02,18,0.0458541976592112,0.003982175628114993,0.00010638806189094498,0.0,0.04176563396920526,0.00048283551770391027,0.04537136214150732
61,0.02,19,0.06280219815974164,0.005333572360005521,0.0001259849317447563,0.0,0.05734264086799137,0.0003914144308779727,0.06241078372886366
61,0.02,20,0.0773961985079014,0.00696034864301835,0.00015503645221031596,0.0,0.07028081341267274,0.00030891993082936053,0.07708727857707233
61,0.02,21,0.08615233994653129,0.008692624771967722,0.00019572813604377506,0.0,0.07726398703851979,0.00023880246816937816,0.08591353747836214
61,0.02,22,0.08723456508022877,0.010291369796344672,0.0002502957157363898,0.0,0.0766928995681477,0.00018222101654253803,0.08705234406368624
61,0.02,23,0.0810381597997916,0.01149560059379641,0.0003208674168572299,0.0,0.06922169178913797,0.00013863732869965402,0.08089952247109218
61,0.02,24,0.06968974745028306,0.012087449120953797,0.00040925737729766306,0.0,0.0571930409520316,0.00010646839090617457,0.06958327905937708
61,0.02,25,0.055978879725109155,0.011952802849864835,0.0005167203029904587,0.0,0.043509356572253854,8.365421650796497e-05,0.05589522550860131
61,0.02,26,0.04237905351366939,0.011113930463303131,0.0006436875958060648,0.0,0.030621435454560197,6.807442736256718e-05,0.04231097908630699
61,0.02,27,0.03052318657363464,0.009720816017975064,0.0007895147168705967,0.0,0.02001285583878898,5.780587813694963e-05,0.030465380695497663
61,0.02,28,0.021141474342787913,0.00800514276053701,0.0009522762548984223,0.0,0.01218405532735248,5.124791159968324e-05,0.02109022643118821
61,0.02,29,0.014276974405096376,0.006215935228220058,0.0011286469292402803,0.0,0.006932392247636039,4.715474288209903e-05,0.014229819662214272
61,0.02,30,0.009579525733246295,0.004561086284092234,0.0013139020871383443,0.0,0.0037045373620157177,4.4613134427484316e-05,0.009534912598818815
61,0.02,31,0.0065529367306246,0.0031727664808230585,0.0015020598203464635,0.0,0.0018781104294550786,4.29951204498246e-05,0.0065099416101747805
61,0.02,32,0.004711763824175135,0.0021019043277141812,0.0016861697339878106,0.0,0.000923689762473143,4.1905309809086005e-05,0.004669858514366042
61,0.02,33,0.0036553653808020607,0.0013350097075616116,0.0018587331354463711,0.0,0.0004616225377940784,4.1133209264780384e-05,0.003614232171537286
61,0.02,34,0.003086330188405002,0.0008208509471518946,0.002012219391888515,0.0,0.0002532598493645924,4.0614261124643875e-05,0.0030457159272803546
61,0.02,35,0.002799982613630299,0.0004955759625131077,0.002139627055499488,0.0,0.00016477959561770312,4.0399010674133646e-05,0.002759583602956166
61,0.02,36,0.002663600971076812,0.00029991237936352724,0.0022350291098840918,0.0,0.00012865948182919288,4.062758484831768e-05,0.00262297338622849
61,0.02,37,0.00259553451848356,0.00018740012056993606,0.0022940411859987235,0.0,0.00011409321191490046,4.150548512541924e-05,0.0025540290333581415
61,0.02,38,0.002548371688067106,0.00012590591116715065,0.002314160307201855,0.0,0.00010830546969810043,4.3275893815546826e-05,0.0025050957942515687
61,0.02,39,0.0024969434273135072,9.558973158530329e-05,0.0022949397436466674,0.0,0.00010641395208153628,4.619628550713816e-05,0.00245074714180637
