scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,corridor,0.9403155354652138
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,outer_reservoir,2.3160384857367567e-08
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,target_funnel,0.059684440658967955
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,left_core,0.0006131734178663957
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,left_shoulders,0.00022292931090782265
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,left_outer,4.155985425080148e-05
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,corridor,0.9404667374856197
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,outer_reservoir,0.00022802617838102912
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,target_funnel,0.05842757375297419
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,left_core,0.0027343595016002063
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,left_shoulders,0.0011970891857685532
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,left_outer,0.00070536541438144
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,corridor,0.9391634047288016
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,outer_reservoir,0.001149755871183839
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,target_funnel,0.055050025298264305
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,left_core,0.004629015700547244
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,left_shoulders,0.0024099152775728864
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,left_outer,0.004570835943566357
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,corridor,0.9039851420825834
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,outer_reservoir,0.007874362849647031
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,target_funnel,0.07653072814608303
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,left_core,0.06825197849064335
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,left_shoulders,0.044609519659287375
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,left_outer,0.20747210459367202
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,corridor,0.5242498283604571
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,outer_reservoir,0.11233636526852286
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,target_funnel,0.04308020362741736
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,left_core,0.06224311448499623
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,left_shoulders,0.04146774196662932
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,left_outer,0.20699009802706766
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,corridor,0.4406483451863272
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,outer_reservoir,0.21104763355268313
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,target_funnel,0.03760306678229662
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,left_core,0.006448743454802751
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,left_shoulders,0.003365722465559777
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,left_outer,0.0064004181606690065
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,corridor,0.9056913579272446
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,outer_reservoir,0.007310264707165467
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,target_funnel,0.0707834932845584
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,left_core,0.060116129623924486
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,left_shoulders,0.039931475654965125
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,left_outer,0.19550837151408096
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,corridor,0.5411064785372621
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,outer_reservoir,0.12392371866592108
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,target_funnel,0.03941382600384616
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,left_core,0.04744126046811727
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,left_shoulders,0.032007278153830705
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,left_outer,0.1664856255485128
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,corridor,0.4793999589676561
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,outer_reservoir,0.23663762923262993
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,target_funnel,0.0380282476292533
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,left_core,0.0075638783991538025
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,left_shoulders,0.003980422755531042
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,left_outer,0.0076863249812659865
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,corridor,0.9081506273424433
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,outer_reservoir,0.006898186092832341
