scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,left_outer,0.0
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,corridor,0.939498108834218
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,outer_reservoir,1.4963850987063038e-07
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,target_funnel,0.060501739251160806
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,left_core,0.0007210637018724491
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,left_outer,7.540127842778418e-05
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,corridor,0.9428052677115211
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.000424214163863519
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,middle,target_funnel,0.05597405314431511
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,left_core,0.0024328253402977097
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,left_outer,0.0007633312695853806
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,corridor,0.9486061541462285
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,outer_reservoir,0.0010785229139290385
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,target_funnel,0.04711916632995926
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,left_core,0.007185881476949659
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,left_shoulders,0.0
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,left_outer,0.007344576881274559
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,corridor,0.935066154318825
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,outer_reservoir,0.004212298383080006
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,target_funnel,0.04619108893987071
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,left_core,0.06937704800292498
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,left_shoulders,0.0
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,left_outer,0.2456778405949856
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,corridor,0.5798966226241407
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,outer_reservoir,0.08212708052356077
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,target_funnel,0.022921408254388147
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,left_core,0.0666230597134566
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,left_shoulders,0.0
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,left_outer,0.2607687122372431
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,corridor,0.4951807120417541
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,outer_reservoir,0.1555597879038334
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,target_funnel,0.02186772810371282
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,left_core,0.004854628421676475
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,left_shoulders,0.0
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,left_outer,0.0034324393050888767
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,corridor,0.9184894685251768
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,outer_reservoir,0.00682015430943044
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,target_funnel,0.06640330943862736
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,left_core,0.06468566535910544
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,left_shoulders,0.0
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,left_outer,0.2564006349338389
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,corridor,0.4879194659147362
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,outer_reservoir,0.15516008440364193
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,target_funnel,0.03583414938867747
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,left_core,0.040025984371850294
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,left_shoulders,0.0
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,left_outer,0.16965888389169956
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,corridor,0.43371943760155607
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,outer_reservoir,0.3205341694707
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,target_funnel,0.03606152466419412
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,left_core,1.9083960214294436e-09
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,left_outer,0.0
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,corridor,0.9393704618707512
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,outer_reservoir,2.535185351845028e-07
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,target_funnel,0.0606292827023175
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,left_core,0.0007698537294969728
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,left_outer,0.00010793343018910864
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,corridor,0.9298359388313189
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.0011464383773152477
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,target_funnel,0.06813983563167965
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,left_core,0.0033947147722278486
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,left_outer,0.0019269733361675593
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,corridor,0.8989680827882052
