Wy,bx,corridor_halfwidth,corridor_band_width,start_x,target_x,wall_margin,delta_core,delta_open,phase,sep_peaks,valley_over_max,t_peak1,t_peak2,absorbed_mass,survival_tail
24,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8324060532356862,0.16759394676423342
24,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.906403807391933,0.09359619260801272
24,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.999996810445115,3.1895548634436405e-06
26,-0.12,1,3,7,58,5,0.95,0.6,1,0.6321361058601134,0.18902663723122964,551,2223,0.4754688005354099,0.5245311994644287
26,-0.08,1,3,7,58,5,0.95,0.6,1,0.8091106290672451,0.05936657871260878,407,1899,0.7120206133802296,0.28797938661965394
26,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8192897104228789,0.18071028957704088
26,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.894935178891704,0.10506482110823831
26,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999865443989541,1.3455601022773036e-05
28,-0.12,1,3,7,58,5,0.95,0.6,1,0.6408317580340265,0.17890399399058118,551,2246,0.4619341805173043,0.538065819482528
28,-0.08,1,3,7,58,5,0.95,0.6,1,0.7707267144319345,0.05584786234711124,407,1913,0.6973992496478943,0.30260075035199147
28,-0.04,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8069426173644209,0.1930573826354959
28,0.0,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.8839086854189404,0.11609131458099839
28,0.08,1,3,7,58,5,0.95,0.6,0,0.0,,,,0.9999564078243254,4.359217565174036e-05
8,-0.12,2,5,7,58,5,0.95,0.6,1,0.7361190612478534,0.2719549902832197,627,1913,0.9165104851252772,0.08348951487463731
8,-0.08,2,5,7,58,5,0.95,0.6,2,2.0948275862068964,0.05082815977619999,443,1658,0.9867631845590993,0.013236815440859036
8,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9956103901910008,0.00438960980897276
8,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9957452715971342,0.0042547284028463805
8,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.999999999900669,9.931732762227499e-11
10,-0.12,2,5,7,58,5,0.95,0.6,1,0.6724869044649538,0.2896798456559551,612,1960,0.8462947857444304,0.1537052142554769
10,-0.08,2,5,7,58,5,0.95,0.6,2,2.048740861088546,0.060738484136209206,436,1697,0.9616002825989451,0.038399717401004965
10,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9853262027441462,0.014673797255818546
10,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9910919772410737,0.008908022758901556
10,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999008198,9.916603579101643e-11
12,-0.12,2,5,7,58,5,0.95,0.6,1,0.6454903779271969,0.29022573437861515,601,1993,0.8007165745909175,0.19928342540898303
12,-0.08,2,5,7,58,5,0.95,0.6,2,1.9938556067588327,0.06563409855130405,431,1729,0.9369317479254198,0.0630682520745219
12,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9714743718418775,0.02852562815807678
12,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.984883978331812,0.015116021668157313
12,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999005812,9.940378803669145e-11
14,-0.12,2,5,7,58,5,0.95,0.6,1,0.6274165202108963,0.28374689970606276,593,2021,0.7695003290089066,0.2304996709909827
14,-0.08,2,5,7,58,5,0.95,0.6,2,1.923355025307303,0.06757604519162558,426,1756,0.9163204197110564,0.08367958028887339
14,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.956753670461437,0.04324632953851293
14,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9772146161014363,0.022785383898530125
14,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999003568,9.962548168130567e-11
16,-0.12,2,5,7,58,5,0.95,0.6,1,0.612639093008608,0.2737998878322753,587,2046,0.7455081038624126,0.2544918961374706
16,-0.08,2,5,7,58,5,0.95,0.6,2,1.8324324324324324,0.06756401914740527,423,1779,0.8991884490401028,0.10081155095982545
16,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9425374377451604,0.05746256225478891
