scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.0009793300657105631,172.34628620087108,322.8159504398261,0.5338840474457812,0.0004411674599366747,0.0005381626057738884,0.9990206699342894
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,474,526,tau_out,0.6550629223508218,392.2696867208142,500.0043457944772,0.7845325546071424,0.11071376435677252,0.5443491579940493,0.34493707764917825
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak1,474,526,tau_mem,0.004421441561339576,164.8577013429842,500.0043457944772,0.32971253696012404,0.0031164903627370925,0.0013049511986024838,0.9955785584386604
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,1258,1310,tau_out,0.9760785306142695,195.3035226165896,1283.9999291848828,0.15210555559810152,0.9124329423441504,0.06364558827011912,0.023921469385730476
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,valley,1258,1310,tau_mem,0.1462363168196411,275.35767840495646,1283.9999291848828,0.214453032392113,0.13920735937491927,0.007028957444721845,0.8537636831803589
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,1882,1934,tau_out,0.99967908676016,292.91269316195195,1908.0000988504585,0.15351817504539306,0.9908206439934069,0.008858442766753183,0.00032091323983995945
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,peak2,1882,1934,tau_mem,0.1580005320343961,492.9949628384177,1908.0000988504585,0.2583830908265884,0.13667415434329266,0.021326377691103432,0.8419994679656039
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,355,407,tau_out,0.6707739200576337,312.71640162610777,381.005132498316,0.8207669003710598,0.06984991542468702,0.6009240046329467,0.3292260799423663
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak1,355,407,tau_mem,0.0034262005862581955,173.13910421466042,381.005132498316,0.4544272227498816,0.0017693788879678644,0.001656821698290331,0.9965737994137418
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,1033,1085,tau_out,0.9972504336164327,121.21467802457533,1059.0005798059397,0.11446138966872686,0.9703804621968957,0.026869971419537064,0.00274956638356727
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,valley,1033,1085,tau_mem,0.2234184326498509,187.3451314480018,1059.0005798059397,0.1769074871350236,0.2175511289454012,0.005867303704449683,0.776581567350149
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,1685,1737,tau_out,0.999999751447849,286.186873905501,1711.0000798442793,0.16726292258942926,0.9995712022545229,0.00042854919332613317,2.4855215097208117e-07
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,peak2,1685,1737,tau_mem,0.1354766068020371,399.3201974439208,1711.0000798442793,0.23338409047898087,0.11862658517952465,0.01685002162251245,0.8645233931979629
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.004881729714390785,55.378620088062114,59.564643501348655,0.9297230174274146,4.898657171488574e-07,0.004881239848673636,0.9951182702856092
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,early,10,60,tau_mem,4.929111139679436e-06,47.79325265647964,59.564643501348655,0.8023762058677898,4.898657171488574e-07,4.439245422530579e-06,0.9999950708888603
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.4278787452149788,167.6376281854071,182.58274108071186,0.9181460810214358,0.0052878042629084035,0.4225909409520704,0.5721212547850212
