t,f_total,f_a,f_b
4120,6.792090623416953e-05,6.792090623416953e-05,0.0
4121,6.789640200343061e-05,6.789640200343061e-05,0.0
4122,6.78719152863579e-05,6.78719152863579e-05,0.0
4123,6.784744597527811e-05,6.784744597527811e-05,0.0
4124,6.782299396273925e-05,6.782299396273925e-05,0.0
4125,6.779855914151189e-05,6.779855914151189e-05,0.0
4126,6.777414140459088e-05,6.777414140459088e-05,0.0
4127,6.774974064519672e-05,6.774974064519672e-05,0.0
4128,6.77253567567772e-05,6.77253567567772e-05,0.0
4129,6.770098963300873e-05,6.770098963300873e-05,0.0
4130,6.767663916779789e-05,6.767663916779789e-05,0.0
4131,6.765230525528295e-05,6.765230525528295e-05,0.0
4132,6.762798778983523e-05,6.762798778983523e-05,0.0
4133,6.760368666606058e-05,6.760368666606058e-05,0.0
4134,6.757940177880086e-05,6.757940177880086e-05,0.0
4135,6.75551330231353e-05,6.75551330231353e-05,0.0
4136,6.753088029438193e-05,6.753088029438193e-05,0.0
4137,6.750664348809904e-05,6.750664348809904e-05,0.0
4138,6.74824225000865e-05,6.74824225000865e-05,0.0
4139,6.745821722638722e-05,6.745821722638722e-05,0.0
4140,6.743402756328844e-05,6.743402756328844e-05,0.0
4141,6.74098534073232e-05,6.74098534073232e-05,0.0
4142,6.738569465527157e-05,6.738569465527157e-05,0.0
4143,6.736155120416216e-05,6.736155120416216e-05,0.0
4144,6.733742295127327e-05,6.733742295127327e-05,0.0
4145,6.731330979413435e-05,6.731330979413435e-05,0.0
4146,6.728921163052731e-05,6.728921163052731e-05,0.0
4147,6.726512835848773e-05,6.726512835848773e-05,0.0
4148,6.724105987630621e-05,6.724105987630621e-05,0.0
4149,6.721700608252972e-05,6.721700608252972e-05,0.0
4150,6.719296687596277e-05,6.719296687596277e-05,0.0
4151,6.716894215566877e-05,6.716894215566877e-05,0.0
4152,6.714493182097117e-05,6.714493182097117e-05,0.0
4153,6.712093577145487e-05,6.712093577145487e-05,0.0
4154,6.709695390696726e-05,6.709695390696726e-05,0.0
4155,6.707298612761964e-05,6.707298612761964e-05,0.0
4156,6.70490323337883e-05,6.70490323337883e-05,0.0
4157,6.702509242611578e-05,6.702509242611578e-05,0.0
4158,6.700116630551204e-05,6.700116630551204e-05,0.0
4159,6.697725387315571e-05,6.697725387315571e-05,0.0
4160,6.695335503049518e-05,6.695335503049518e-05,0.0
4161,6.692946967924985e-05,6.692946967924985e-05,0.0
4162,6.690559772141117e-05,6.690559772141117e-05,0.0
4163,6.688173905924399e-05,6.688173905924399e-05,0.0
4164,6.685789359528743e-05,6.685789359528743e-05,0.0
4165,6.683406123235627e-05,6.683406123235627e-05,0.0
4166,6.681024187354187e-05,6.681024187354187e-05,0.0
4167,6.678643542221336e-05,6.678643542221336e-05,0.0
4168,6.676264178201877e-05,6.676264178201877e-05,0.0
4169,6.673886085688607e-05,6.673886085688607e-05,0.0
4170,6.67150925510242e-05,6.67150925510242e-05,0.0
4171,6.669133676892426e-05,6.669133676892426e-05,0.0
4172,6.666759341536051e-05,6.666759341536051e-05,0.0
