t,f_total,f_a,f_b
4495,5.726969840813138e-05,5.726969840813138e-05,0.0
4496,5.7246975230665734e-05,5.7246975230665734e-05,0.0
4497,5.722425006421012e-05,5.722425006421012e-05,0.0
4498,5.720152291253864e-05,5.720152291253864e-05,0.0
4499,5.71787937796701e-05,5.71787937796701e-05,0.0
4500,5.7156062669867125e-05,5.7156062669867125e-05,0.0
4501,5.713332958763511e-05,5.713332958763511e-05,0.0
4502,5.7110594537721206e-05,5.7110594537721206e-05,0.0
4503,5.708785752511333e-05,5.708785752511333e-05,0.0
4504,5.706511855503917e-05,5.706511855503917e-05,0.0
4505,5.7042377632965094e-05,5.7042377632965094e-05,0.0
4506,5.701963476459533e-05,5.701963476459533e-05,0.0
4507,5.699688995587072e-05,5.699688995587072e-05,0.0
4508,5.697414321296784e-05,5.697414321296784e-05,0.0
4509,5.695139454229797e-05,5.695139454229797e-05,0.0
4510,5.692864395050607e-05,5.692864395050607e-05,0.0
4511,5.690589144446973e-05,5.690589144446973e-05,0.0
4512,5.688313703129818e-05,5.688313703129818e-05,0.0
4513,5.686038071833125e-05,5.686038071833125e-05,0.0
4514,5.6837622513138393e-05,5.6837622513138393e-05,0.0
4515,5.681486242351756e-05,5.681486242351756e-05,0.0
4516,5.679210045749426e-05,5.679210045749426e-05,0.0
4517,5.676933662332047e-05,5.676933662332047e-05,0.0
4518,5.674657092947373e-05,5.674657092947373e-05,0.0
4519,5.67238033846559e-05,5.67238033846559e-05,0.0
4520,5.670103399779231e-05,5.670103399779231e-05,0.0
4521,5.667826277803063e-05,5.667826277803063e-05,0.0
4522,5.665548973473986e-05,5.665548973473986e-05,0.0
4523,5.6632714877509324e-05,5.6632714877509324e-05,0.0
4524,5.660993821614757e-05,5.660993821614757e-05,0.0
4525,5.658715976068135e-05,5.658715976068135e-05,0.0
4526,5.6564379521354626e-05,5.6564379521354626e-05,0.0
4527,5.654159750862745e-05,5.654159750862745e-05,0.0
4528,5.651881373317498e-05,5.651881373317498e-05,0.0
4529,5.649602820588639e-05,5.649602820588639e-05,0.0
4530,5.647324093786386e-05,5.647324093786386e-05,0.0
4531,5.645045194042154e-05,5.645045194042154e-05,0.0
4532,5.642766122508442e-05,5.642766122508442e-05,0.0
4533,5.640486880358738e-05,5.640486880358738e-05,0.0
4534,5.638207468787406e-05,5.638207468787406e-05,0.0
4535,5.635927889009588e-05,5.635927889009588e-05,0.0
4536,5.633648142261092e-05,5.633648142261092e-05,0.0
4537,5.631368229798291e-05,5.631368229798291e-05,0.0
4538,5.6290881528980154e-05,5.6290881528980154e-05,0.0
4539,5.626807912857447e-05,5.626807912857447e-05,0.0
4540,5.624527510994018e-05,5.624527510994018e-05,0.0
4541,5.622246948645297e-05,5.622246948645297e-05,0.0
4542,5.61996622716889e-05,5.61996622716889e-05,0.0
4543,5.617685347942334e-05,5.617685347942334e-05,0.0
4544,5.615404312362985e-05,5.615404312362985e-05,0.0
4545,5.6131231218479206e-05,5.6131231218479206e-05,0.0
4546,5.6108417778338277e-05,5.6108417778338277e-05,0.0
4547,5.608560281776897e-05,5.608560281776897e-05,0.0
4548,5.6062786351527174e-05,5.6062786351527174e-05,0.0
4549,5.603996839456172e-05,5.603996839456172e-05,0.0
4550,5.601714896201331e-05,5.601714896201331e-05,0.0
4551,5.599432806921338e-05,5.599432806921338e-05,0.0
4552,5.597150573168317e-05,5.597150573168317e-05,0.0
4553,5.594868196513251e-05,5.594868196513251e-05,0.0
4554,5.5925856785458855e-05,5.5925856785458855e-05,0.0
4555,5.5903030208746207e-05,5.5903030208746207e-05,0.0
4556,5.588020225126399e-05,5.588020225126399e-05,0.0
4557,5.5857372929466046e-05,5.5857372929466046e-05,0.0
4558,5.5834542259989543e-05,5.5834542259989543e-05,0.0
4559,5.5811710259653885e-05,5.5811710259653885e-05,0.0
4560,5.578887694545969e-05,5.578887694545969e-05,0.0
4561,5.576604233458765e-05,5.576604233458765e-05,0.0
4562,5.574320644439756e-05,5.574320644439756e-05,0.0
4563,5.572036929242714e-05,5.572036929242714e-05,0.0
4564,5.569753089639102e-05,5.569753089639102e-05,0.0
4565,5.567469127417972e-05,5.567469127417972e-05,0.0
4566,5.5651850443858476e-05,5.5651850443858476e-05,0.0
4567,5.5629008423666216e-05,5.5629008423666216e-05,0.0
4568,5.560616523201451e-05,5.560616523201451e-05,0.0
4569,5.558332088748646e-05,5.558332088748646e-05,0.0
4570,5.556047540883569e-05,5.556047540883569e-05,0.0
4571,5.553762881498517e-05,5.553762881498517e-05,0.0
4572,5.551478112502624e-05,5.551478112502624e-05,0.0
4573,5.54919323582175e-05,5.54919323582175e-05,0.0
4574,5.546908253398374e-05,5.546908253398374e-05,0.0
4575,5.5446231671914865e-05,5.5446231671914865e-05,0.0
4576,5.542337979176482e-05,5.542337979176482e-05,0.0
4577,5.5400526913450566e-05,5.5400526913450566e-05,0.0
4578,5.5377673057050925e-05,5.5377673057050925e-05,0.0
4579,5.5354818242805555e-05,5.5354818242805555e-05,0.0
4580,5.5331962491113885e-05,5.5331962491113885e-05,0.0
4581,5.5309105822534046e-05,5.5309105822534046e-05,0.0
4582,5.5286248257781756e-05,5.5286248257781756e-05,0.0
4583,5.52633898177293e-05,5.52633898177293e-05,0.0
4584,5.524053052340443e-05,5.524053052340443e-05,0.0
4585,5.5217670395989315e-05,5.5217670395989315e-05,0.0
4586,5.519480945681944e-05,5.519480945681944e-05,0.0
4587,5.5171947727382545e-05,5.5171947727382545e-05,0.0
4588,5.51490852293176e-05,5.51490852293176e-05,0.0
4589,5.512622198441365e-05,5.512622198441365e-05,0.0
4590,5.510335801460887e-05,5.510335801460887e-05,0.0
4591,5.50804933419893e-05,5.50804933419893e-05,0.0
4592,5.5057627988788024e-05,5.5057627988788024e-05,0.0
4593,5.503476197738386e-05,5.503476197738386e-05,0.0
4594,5.5011895330300505e-05,5.5011895330300505e-05,0.0
4595,5.4989028070205304e-05,5.4989028070205304e-05,0.0
4596,5.4966160219908245e-05,5.4966160219908245e-05,0.0
4597,5.494329180236095e-05,5.494329180236095e-05,0.0
4598,5.492042284065551e-05,5.492042284065551e-05,0.0
4599,5.489755335802345e-05,5.489755335802345e-05,0.0
4600,5.487468337783472e-05,5.487468337783472e-05,0.0
4601,5.485181292359654e-05,5.485181292359654e-05,0.0
4602,5.482894201895244e-05,5.482894201895244e-05,0.0
4603,5.480607068768109e-05,5.480607068768109e-05,0.0
4604,5.47831989536953e-05,5.47831989536953e-05,0.0
4605,5.4760326841040985e-05,5.4760326841040985e-05,0.0
4606,5.473745437389598e-05,5.473745437389598e-05,0.0
4607,5.471458157656917e-05,5.471458157656917e-05,0.0
4608,5.4691708473499216e-05,5.4691708473499216e-05,0.0
4609,5.46688350892537e-05,5.46688350892537e-05,0.0
4610,5.4645961448527905e-05,5.4645961448527905e-05,0.0
4611,5.4623087576143876e-05,5.4623087576143876e-05,0.0
4612,5.4600213497049235e-05,5.4600213497049235e-05,0.0
4613,5.457733923631628e-05,5.457733923631628e-05,0.0
4614,5.4554464819140826e-05,5.4554464819140826e-05,0.0
4615,5.453159027084113e-05,5.453159027084113e-05,0.0
4616,5.4508715616856944e-05,5.4508715616856944e-05,0.0
4617,5.448584088274838e-05,5.448584088274838e-05,0.0
4618,5.446296609419486e-05,5.446296609419486e-05,0.0
4619,5.444009127699411e-05,5.444009127699411e-05,0.0
4620,5.441721645706107e-05,5.441721645706107e-05,0.0
4621,5.439434166042686e-05,5.439434166042686e-05,0.0
4622,5.4371466913237754e-05,5.4371466913237754e-05,0.0
4623,5.4348592241754094e-05,5.4348592241754094e-05,0.0
4624,5.432571767234926e-05,5.432571767234926e-05,0.0
4625,5.4302843231508635e-05,5.4302843231508635e-05,0.0
4626,5.427996894582856e-05,5.427996894582856e-05,0.0
4627,5.4257094842015276e-05,5.4257094842015276e-05,0.0
4628,5.423422094688391e-05,5.423422094688391e-05,0.0
4629,5.421134728735741e-05,5.421134728735741e-05,0.0
4630,5.4188473890465474e-05,5.4188473890465474e-05,0.0
4631,5.416560078334363e-05,5.416560078334363e-05,0.0
4632,5.414272799323207e-05,5.414272799323207e-05,0.0
4633,5.4119855547474664e-05,5.4119855547474664e-05,0.0
4634,5.4096983473517934e-05,5.4096983473517934e-05,0.0
4635,5.407411179891004e-05,5.407411179891004e-05,0.0
4636,5.40512405512997e-05,5.40512405512997e-05,0.0
4637,5.402836975843519e-05,5.402836975843519e-05,0.0
4638,5.400549944816332e-05,5.400549944816332e-05,0.0
4639,5.3982629648428326e-05,5.3982629648428326e-05,0.0
4640,5.395976038727103e-05,5.395976038727103e-05,0.0
4641,5.3936891692827615e-05,5.3936891692827615e-05,0.0
4642,5.3914023593328686e-05,5.3914023593328686e-05,0.0
4643,5.3891156117098276e-05,5.3891156117098276e-05,0.0
4644,5.386828929255278e-05,5.386828929255278e-05,0.0
4645,5.384542314819994e-05,5.384542314819994e-05,0.0
4646,5.3822557712637846e-05,5.3822557712637846e-05,0.0
4647,5.379969301455391e-05,5.379969301455391e-05,0.0
4648,5.377682908272387e-05,5.377682908272387e-05,0.0
4649,5.375396594601072e-05,5.375396594601072e-05,0.0
4650,5.373110363336376e-05,5.373110363336376e-05,0.0
4651,5.370824217381755e-05,5.370824217381755e-05,0.0
4652,5.368538159649093e-05,5.368538159649093e-05,0.0
4653,5.366252193058597e-05,5.366252193058597e-05,0.0
4654,5.3639663205387024e-05,5.3639663205387024e-05,0.0
4655,5.361680545025966e-05,5.361680545025966e-05,0.0
4656,5.3593948694649694e-05,5.3593948694649694e-05,0.0
4657,5.3571092968082166e-05,5.3571092968082166e-05,0.0
4658,5.3548238300160423e-05,5.3548238300160423e-05,0.0
4659,5.352538472056498e-05,5.352538472056498e-05,0.0
4660,5.3502532259052646e-05,5.3502532259052646e-05,0.0
4661,5.347968094545548e-05,5.347968094545548e-05,0.0
4662,5.345683080967978e-05,5.345683080967978e-05,0.0
4663,5.343398188170512e-05,5.343398188170512e-05,0.0
4664,5.341113419158339e-05,5.341113419158339e-05,0.0
4665,5.338828776943775e-05,5.338828776943775e-05,0.0
4666,5.336544264546166e-05,5.336544264546166e-05,0.0
4667,5.334259884991793e-05,5.334259884991793e-05,0.0
4668,5.331975641313769e-05,5.331975641313769e-05,0.0
4669,5.329691536551944e-05,5.329691536551944e-05,0.0
4670,5.327407573752807e-05,5.327407573752807e-05,0.0
4671,5.3251237559693876e-05,5.3251237559693876e-05,0.0
4672,5.322840086261161e-05,5.322840086261161e-05,0.0
4673,5.320556567693944e-05,5.320556567693944e-05,0.0
4674,5.318273203339807e-05,5.318273203339807e-05,0.0
4675,5.3159899962769696e-05,5.3159899962769696e-05,0.0
4676,5.3137069495897104e-05,5.3137069495897104e-05,0.0
4677,5.3114240663682633e-05,5.3114240663682633e-05,0.0
4678,5.3091413497087275e-05,5.3091413497087275e-05,0.0
4679,5.3068588027129675e-05,5.3068588027129675e-05,0.0
4680,5.3045764284885194e-05,5.3045764284885194e-05,0.0
4681,5.3022942301484943e-05,5.3022942301484943e-05,0.0
4682,5.300012210811481e-05,5.300012210811481e-05,0.0
4683,5.297730373601456e-05,5.297730373601456e-05,0.0
4684,5.295448721647684e-05,5.295448721647684e-05,0.0
4685,5.293167258084621e-05,5.293167258084621e-05,0.0
4686,5.290885986051828e-05,5.290885986051828e-05,0.0
4687,5.288604908693865e-05,5.288604908693865e-05,0.0
4688,5.286324029160209e-05,5.286324029160209e-05,0.0
4689,5.284043350605149e-05,5.284043350605149e-05,0.0
4690,5.281762876187701e-05,5.281762876187701e-05,0.0
4691,5.279482609071507e-05,5.279482609071507e-05,0.0
4692,5.2772025524247486e-05,5.2772025524247486e-05,0.0
