t,f_total,f_a,f_b
3885,7.028601953054993e-05,7.028601953054993e-05,0.0
3886,7.025305623145059e-05,7.025305623145059e-05,0.0
3887,7.02201430170221e-05,7.02201430170221e-05,0.0
3888,7.018727978781383e-05,7.018727978781383e-05,0.0
3889,7.015446644390129e-05,7.015446644390129e-05,0.0
3890,7.012170288488952e-05,7.012170288488952e-05,0.0
3891,7.008898900991687e-05,7.008898900991687e-05,0.0
3892,7.00563247176586e-05,7.00563247176586e-05,0.0
3893,7.002370990633053e-05,7.002370990633053e-05,0.0
3894,6.999114447369265e-05,6.999114447369265e-05,0.0
3895,6.99586283170528e-05,6.99586283170528e-05,0.0
3896,6.992616133327022e-05,6.992616133327022e-05,0.0
3897,6.989374341875924e-05,6.989374341875924e-05,0.0
3898,6.986137446949288e-05,6.986137446949288e-05,0.0
3899,6.982905438100648e-05,6.982905438100648e-05,0.0
3900,6.979678304840132e-05,6.979678304840132e-05,0.0
3901,6.97645603663482e-05,6.97645603663482e-05,0.0
3902,6.973238622909118e-05,6.973238622909118e-05,0.0
3903,6.970026053045099e-05,6.970026053045099e-05,0.0
3904,6.966818316382883e-05,6.966818316382883e-05,0.0
3905,6.963615402220987e-05,6.963615402220987e-05,0.0
3906,6.960417299816688e-05,6.960417299816688e-05,0.0
3907,6.957223998386379e-05,6.957223998386379e-05,0.0
3908,6.954035487105942e-05,6.954035487105942e-05,0.0
3909,6.950851755111095e-05,6.950851755111095e-05,0.0
3910,6.947672791497752e-05,6.947672791497752e-05,0.0
3911,6.944498585322384e-05,6.944498585322384e-05,0.0
3912,6.941329125602385e-05,6.941329125602385e-05,0.0
3913,6.938164401316417e-05,6.938164401316417e-05,0.0
3914,6.935004401404774e-05,6.935004401404774e-05,0.0
3915,6.931849114769748e-05,6.931849114769748e-05,0.0
3916,6.928698530275966e-05,6.928698530275966e-05,0.0
3917,6.925552636750769e-05,6.925552636750769e-05,0.0
3918,6.922411422984553e-05,6.922411422984553e-05,0.0
3919,6.919274877731128e-05,6.919274877731128e-05,0.0
3920,6.916142989708086e-05,6.916142989708086e-05,0.0
3921,6.913015747597139e-05,6.913015747597139e-05,0.0
3922,6.909893140044479e-05,6.909893140044479e-05,0.0
3923,6.906775155661141e-05,6.906775155661141e-05,0.0
3924,6.903661783023347e-05,6.903661783023347e-05,0.0
