t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
2292,2.089319399687927e-07,1.5783012675000175e-19,2.0893193996863485e-07,5.807548822151091e-31,1.5783012674943584e-19,5.164818683421002e-08,1.2325199777545918e-07,3.4031755358985316e-08,1.749001846096692e-07
2293,2.078533708664447e-07,1.5701483089784405e-19,2.078533708662877e-07,5.648500419797253e-31,1.5701483089729399e-19,5.138155818553354e-08,1.2261575210817306e-07,3.3856060572600746e-08,1.739973102937066e-07
2294,2.067803708029358e-07,1.5620375009555524e-19,2.067803708027796e-07,5.493807795595996e-31,1.5620375009502058e-19,5.111630627808386e-08,1.2198279146238713e-07,3.368127306232813e-08,1.73099097740471e-07
2295,2.0571291101423463e-07,1.5539686250702946e-19,2.0571291101407923e-07,5.3433516600541685e-31,1.5539686250650975e-19,5.085242400067244e-08,1.2135309887213363e-07,3.35073881412926e-08,1.7220552287280608e-07
2296,2.046509628849482e-07,1.5459414640995422e-19,2.0465096288479361e-07,5.19701599059963e-31,1.5459414640944905e-19,5.058990427886049e-08,1.207266574591074e-07,3.3334401146845064e-08,1.7131656173796787e-07
2297,2.0359449794755301e-07,1.5379558019520595e-19,2.0359449794739922e-07,5.054687942111735e-31,1.5379558019471498e-19,5.032874007476888e-08,1.2010345043221263e-07,3.316230744043692e-08,1.7043219050698151e-07
2298,2.0254348788163033e-07,1.53001142366249e-19,2.0254348788147734e-07,4.916257759902082e-31,1.5300114236577176e-19,5.0068924386889074e-08,1.1948346108711206e-07,3.299110240749538e-08,1.6955238547400112e-07
2299,2.014979045131058e-07,1.522108115385379e-19,2.014979045129536e-07,4.781618695078404e-31,1.5221081153807408e-19,4.9810450249894994e-08,1.1886667280577821e-07,3.282078145729941e-08,1.686771230556732e-07
2300,2.0045771981349208e-07,1.5142456643892318e-19,2.0045771981334064e-07,4.650666922226355e-31,1.514245664384724e-19,4.955331073445593e-08,1.1825306905604733e-07,3.2651340022856345e-08,1.6780637979050325e-07
2301,1.9942290589913643e-07,1.5064238590506048e-19,1.994229058989858e-07,4.523301459345691e-31,1.5064238590462238e-19,4.9297498947050334e-08,1.1764263339117519e-07,3.248277356077914e-08,1.6694013233822554e-07
2302,1.983934350304717e-07,1.49864248884823e-19,1.9839343503032183e-07,4.399424089979135e-31,1.4986424888439718e-19,4.904300802978068e-08,1.170353494493957e-07,3.231507755116426e-08,1.6607835747917637e-07
2303,1.9736927961127097e-07,1.4909013443571693e-19,1.973692796111219e-07,4.278939287473849e-31,1.4909013443530312e-19,4.878983116018915e-08,1.164312009534813e-07,3.214824749747017e-08,1.6522103211367045e-07
2304,1.963504121879067e-07,1.483200217243009e-19,1.963504121877584e-07,4.161754141317111e-31,1.4832002172389875e-19,4.853796155107442e-08,1.1583017171030606e-07,3.198227892639651e-08,1.6436813326138048e-07
2305,1.953368054486129e-07,1.4755389002560793e-19,1.9533680544846536e-07,4.0477782854894255e-31,1.4755389002521706e-19,4.82873924503093e-08,1.1523224561041074e-07,3.181716738776381e-08,1.6351963806072004e-07
2306,1.9432843222275193e-07,1.4679171872257096e-19,1.9432843222260513e-07,3.936923828779759e-31,1.4679171872219112e-19,4.803811714065933e-08,1.1463740662757023e-07,3.1652908454393964e-08,1.6267552376822957e-07
2307,1.933252654800844e-07,1.4603348730545175e-19,1.9332526547993837e-07,3.82910528700922e-31,1.460334873050826e-19,4.779012893960234e-08,1.1404563881836321e-07,3.148949772199115e-08,1.6183576775796555e-07
2308,1.923272783300435e-07,1.4527917537127252e-19,1.9232727832989824e-07,3.7242395171108885e-31,1.452791753709138e-19,4.7543421199148937e-08,1.1345692632174401e-07,3.132693080902355e-08,1.6100034752089296e-07
2309,1.913344440210126e-07,1.4452876262325134e-19,1.9133444402086807e-07,3.6222456530149625e-31,1.4452876262290277e-19,4.72979873056639e-08,1.1287125335861678e-07,3.116520335660553e-08,1.6016924066428067e-07
2310,1.9034673593960647e-07,1.4378222887024014e-19,1.9034673593946269e-07,3.5230450432897917e-31,1.4378222886990142e-19,4.705382067968853e-08,1.1228860423141176e-07,3.10043110283805e-08,1.593424249111003e-07
2311,1.8936412760995704e-07,1.430395540261662e-19,1.89364127609814e-07,3.4265611904907027e-31,1.4303955402583708e-19,4.681091477576392e-08,1.1170896332366369e-07,3.08442495104044e-08,1.585198780994276e-07
2312,1.883865926930018e-07,1.4230071810947667e-19,1.883865926928595e-07,3.332719692169848e-31,1.4230071810915687e-19,4.656926308225508e-08,1.1113231509959265e-07,3.068501451102969e-08,1.5770157818184773e-07
2313,1.874141049857768e-07,1.4156570124258605e-19,1.8741410498563524e-07,3.2414481835015827e-31,1.415657012422753e-19,4.632885912117608e-08,1.105586441036868e-07,3.052660176079015e-08,1.5688750322486286e-07
2314,1.864466384207124e-07,1.4083448365132684e-19,1.8644663842057156e-07,3.1526762814791467e-31,1.4083448365102492e-19,4.6089696448015975e-08,1.0998793496028736e-07,3.0369007012285986e-08,1.5607763140830333e-07
2315,1.854841670649339e-07,1.4010704566440351e-19,1.854841670647938e-07,3.0663355306395795e-31,1.4010704566411017e-19,4.5851768651565766e-08,1.0942017237317595e-07,3.021222604006978e-08,1.5527194102474171e-07
2316,1.845266651195644e-07,1.393833677128489e-19,1.84526665119425e-07,2.982359350275064e-31,1.393833677125639e-19,4.5615069353746086e-08,1.088553411251636e-07,3.00562546405329e-08,1.5447041047890969e-07
2317,1.835741069190322e-07,1.386634303294842e-19,1.8357410691889352e-07,2.900682983089951e-31,1.3866343032920728e-19,4.5379592209436e-08,1.0829342607768244e-07,2.9901088631792564e-08,1.5367301828711843e-07
2318,1.8262646693038142e-07,1.379472141483816e-19,1.8262646693024349e-07,2.8212434452638913e-31,1.3794721414811257e-19,4.514533090630244e-08,1.0773441217037903e-07,2.9746723853579403e-08,1.5287974307668147e-07
2319,1.816837197525866e-07,1.3723469990433005e-19,1.8168371975244934e-07,2.7439794778825704e-31,1.3723469990406868e-19,4.491227916463077e-08,1.0717828442071015e-07,2.9593156167125717e-08,1.520905635853409e-07
2320,1.8074584011586995e-07,1.3652586843230398e-19,1.8074584011573342e-07,2.668831499698573e-31,1.3652586843205007e-19,4.4680430737156004e-08,1.0662502792354044e-07,2.944038145505423e-08,1.5130545866069643e-07
2321,1.7981280288102337e-07,1.358207006669349e-19,1.7981280288088755e-07,2.5957415611859718e-31,1.3582070066668824e-19,4.444977940889506e-08,1.0607462785074218e-07,2.9288395621267446e-08,1.5052440725963725e-07
2322,1.7888458303873275e-07,1.3511917764198593e-19,1.7888458303859762e-07,2.5246532998531947e-31,1.3511917764174635e-19,4.4220318996979865e-08,1.0552706945079728e-07,2.9137194590837582e-08,1.4974738844777714e-07
2323,1.7796115570890672e-07,1.3442128048982923e-19,1.779611557087723e-07,2.4555118967797192e-31,1.3442128048959649e-19,4.399204335049114e-08,1.0498233804840108e-07,2.8986774309897063e-08,1.4897438139889222e-07
2324,1.7704249614000836e-07,1.3372699044092634e-19,1.7704249613987463e-07,2.3882640343430725e-31,1.3372699044070023e-19,4.376494635029339e-08,1.0444041904406854e-07,2.88371307455296e-08,1.4820536539436194e-07
2325,1.7612857970839045e-07,1.3303628882331135e-19,1.761285797082574e-07,2.3228578551035392e-31,1.3303628882309172e-19,4.353902190887037e-08,1.0390129791374205e-07,2.86882598856618e-08,1.4744031982261243e-07
2326,1.7521938191763432e-07,1.3234915706207692e-19,1.7521938191750197e-07,2.259242921814879e-31,1.323491570618636e-19,4.331426397016168e-08,1.0336496020840166e-07,2.8540157738955368e-08,1.4667922417856334e-07
2327,1.7431487839789197e-07,1.3166557667886325e-19,1.743148783977603e-07,2.197370178530202e-31,1.3166557667865607e-19,4.309066650940008e-08,1.0283139155367705e-07,2.839282033469987e-08,1.4592205806307714e-07
