dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
68,True,,0.9912153973244671,0.008784602675532811,8000,True,53,1.202027208619623e-05,55,1.5859116482322694e-05,True,297,0.001117002597513828,347,0.0010973043598445865,50,0.9823650923345344,1.1768985086299917e-05,0.010725360726687337
69,True,,0.9901558338022735,0.00984416619772597,8000,True,56,1.0452496698601722e-05,58,1.3624426456760225e-05,True,340,0.0009832135243498404,390,0.0009739840405979582,50,0.9906129406041426,8.127899188151569e-05,0.08345002432649314
70,True,,0.9890106243329166,0.010989375667083289,8000,True,61,1.1736328366769208e-05,63,1.485617385500153e-05,True,333,0.000990810407373785,383,0.0009757707706808399,50,0.984820873316411,2.0883435242411857e-05,0.021401988940333322
71,True,,0.9877899308586426,0.012210069141356483,8000,True,64,9.968118526523384e-06,66,1.2511910045429679e-05,True,408,0.0008853717871139737,458,0.0008804350493051788,50,0.9944241076114622,7.387244365067177e-05,0.08390447848364326
72,True,,0.9864805713147159,0.013519428685283186,8000,True,69,1.0876008633990953e-05,71,1.3393643186269143e-05,True,369,0.0008832086476254719,419,0.0008720671393591078,50,0.9873851911478467,3.292224497784665e-05,0.03775196139375414
73,True,,0.9850955703343489,0.014904429665650627,8000,True,72,8.9503956778738e-06,74,1.0941060354733914e-05,True,492,0.0008127823998065051,542,0.0008098042422712362,50,0.9963358488865187,6.551420042826362e-05,0.08090128083858601
74,True,,0.9836204902242928,0.01637950977570727,8000,True,75,8.22114744588418e-06,77,1.0045746234146792e-05,True,405,0.0007905613060577555,455,0.0007826645878315798,50,0.9900112512898541,4.759490158237048e-05,0.060811364564525745
75,True,,0.9820714566799087,0.017928543320090796,8000,True,80,7.726354856776378e-06,82,9.262626573196589e-06,True,580,0.0007586004746322478,630,0.0007564330486935311,50,0.9971428624009662,5.8928936452313354e-05,0.07790370417328027
76,True,,0.9804327731660318,0.01956722683396849,8000,True,83,8.097830599800236e-06,85,9.697943692801727e-06,True,445,0.0007102137227594684,495,0.0007040950874962894,50,0.9913847971855491,6.611659588983683e-05,0.09390293593006394
77,True,,0.9787238987933263,0.021276101206673503,8000,True,90,7.668396690121315e-06,92,8.979489298227415e-06,True,662,0.0007159295725778989,712,0.000714096699032408,50,0.9974398689260857,5.4847754237371356e-05,0.07680718075253586
78,True,,0.9769279412187211,0.023072058781278677,8000,True,89,7.306737709376431e-06,91,8.637493423227277e-06,True,485,0.0006401920335113296,535,0.0006358223573445897,50,0.9931744290181602,8.61367412341649e-05,0.1354729669996211
79,True,,0.9750679394915122,0.024932060508487272,8000,True,100,7.240848352373099e-06,102,8.333993362218482e-06,True,734,0.0006801400848987033,784,0.0006786008226658675,50,0.997736845295532,5.289394005183525e-05,0.07794558787011581
80,True,,0.9731259735177326,0.02687402648226725,8000,True,93,6.406143246060715e-06,95,7.489622520612904e-06,True,531,0.0005790767306246801,581,0.000575570652637792,50,0.9939453999764316,0.00010925619790514359,0.18982239175057242
81,True,,0.9711289593010282,0.028871040698971083,8000,True,103,6.991336571687026e-06,105,7.78769098203127e-06,True,800,0.0006486426869777688,850,0.0006472762512126681,50,0.9978933921671617,5.234131775868696e-05,0.0808639551669412
82,True,,0.9690582841876985,0.030941715812301256,8000,True,95,5.583586463497535e-06,97,6.466713898636361e-06,True,577,0.000525851505155376,627,0.0005233840868356283,50,0.9953077659842038,0.00013161306315426433,0.2514655421604328
83,True,,0.9669451545425225,0.03305484545747747,8000,True,101,6.241419472132459e-06,103,6.991578170627265e-06,True,860,0.0006199749940165988,910,0.0006187873270017269,50,0.9980843307773151,5.301668597841791e-05,0.08567836422136349
84,True,,0.9647708739977399,0.03522912600225945,8000,True,97,5.508201306177772e-06,99,6.305414384757828e-06,True,629,0.00047971879054133445,679,0.0004777968844599784,50,0.9959936818835317,0.0001545002836761165,0.32335975537123424
85,True,,0.9625715928724301,0.03742840712756945,8000,True,101,6.2419979949724445e-06,103,6.992372415109253e-06,True,918,0.00059323614106802,968,0.0005921151781008231,50,0.9981104270465065,5.4677961681002415e-05,0.09234345563709238
86,True,,0.960329609154676,0.039670390845323505,8000,True,95,4.4593711110459515e-06,97,5.116885498692988e-06,True,683,0.00043988668046910674,733,0.0004383970158035097,50,0.9966135263199867,0.0001754189354888178,0.40013715688119755
87,True,,0.9580871553802139,0.0419128446197853,8000,True,101,6.243847585848147e-06,103,6.994835603854354e-06,True,970,0.0005677930769708063,1020,0.0005668414769689465,50,0.9983240373289922,5.766479051883453e-05,0.10173001246694867
88,True,,0.9558294562805054,0.044170543719493596,8000,True,95,4.338739641440108e-06,97,4.965753655918342e-06,True,739,0.0004055107464086159,789,0.00040429350677246905,50,0.9969982555408772,0.00019409211286292757,0.4800772449015858
89,True,,0.9536069632281344,0.046393036771864356,8000,True,99,5.544372725962533e-06,101,6.249423097181189e-06,True,1022,0.0005431142543577104,1072,0.0005422183073954016,50,0.9983503527018116,6.192321663929557e-05,0.11420347818344564
90,True,,0.9514114327410225,0.04858856725897703,8000,True,95,4.29589203471064e-06,97,4.9105872945062935e-06,True,793,0.000375828681948591,843,0.00037488345860221107,50,0.9974849621868157,0.0002097653861102107,0.5595482577234564
91,True,,0.9493058333963289,0.05069416660366993,8000,True,99,5.556814493941935e-06,101,6.265296124918063e-06,True,1070,0.0005186439628951831,1120,0.0005178524309252366,50,0.9984738432786762,6.816035747537794e-05,0.1316211982506236
92,True,,0.9472956304157879,0.05270436958421099,8000,True,93,3.7199425782584385e-06,95,4.281562133628281e-06,True,845,0.00035030265426265467,895,0.0003495677355547102,50,0.997902046418999,0.0002232095893782152,0.6385302952059232
93,True,,0.9454656586145618,0.05453434138543678,8000,True,99,5.59125343642761e-06,101,6.308101269527286e-06,True,1116,0.0004936443677353434,1166,0.0004929403381054553,50,0.9985738120884111,7.716543808945426e-05,0.15654113109515128
94,True,,0.9438507460168679,0.056149253983131,8000,True,93,3.716820865753018e-06,95,4.2772304432635855e-06,False,895,0.0003287124472101692,945,0.00032807714748124485,50,0.99806730857223,0.00023529388833136046,0.7171907282716529
95,True,,0.9425800486241979,0.05741995137580083,8000,True,97,4.998389120660916e-06,99,5.682065048526391e-06,True,1160,0.00046690140880244343,1210,0.00046627005537218613,50,0.9986477799844797,9.066004516171953e-05,0.19443677353321104
96,True,,0.941756385659794,0.058243614340205106,8000,True,91,3.2045664426980104e-06,93,3.7175217263232496e-06,False,933,0.0003113460283193358,983,0.0003108326935777817,50,0.9983512404371269,0.0002463704299765849,0.7926142747108873
97,True,,0.9416148835608451,0.05838511643915353,8000,True,95,4.5272699701588525e-06,97,5.1926586092365775e-06,True,1200,0.00043596778093494474,1250,0.000435432769995414,50,0.9987728200043053,0.00011250805231109254,0.2583821431544472
98,True,,0.9424389529875683,0.05756104701243016,8000,True,91,3.21688066687427e-06,93,3.7338247662196894e-06,False,951,0.000299768879266846,1001,0.0002992870524022211,50,0.9983926721619557,0.0002591483225745984,0.8658855119008656
99,True,,0.9447731825438771,0.055226817456120826,8000,True,93,4.2845163450841634e-06,95,4.967472939422024e-06,True,1238,0.0003946166229346975,1288,0.0003941328018797736,50,0.9987739465932128,0.0001522654568399252,0.38633033361778474
100,True,,0.9494909852702138,0.05050901472978342,8000,True,91,3.323941440930171e-06,93,3.8678711774970235e-06,False,903,0.0003007815631263835,953,0.00030032772212071167,50,0.998491127577919,0.0002804983130720225,0.9339740970008787
101,False,Invalid shortcut: dst=101 is already a ring neighbour of src=1 for K=2.,,,,,,,,,,,,,,,,,
