t,f_total,f_shortcut_no,f_shortcut_yes,survival
476,1.0539098157367429e-11,9.04490212505485e-12,1.4941960323125793e-12,0.8185893849571418
477,1.0539098157231738e-11,9.044902124874442e-12,1.4941960323572963e-12,0.818589384946603
478,1.0539098157096048e-11,9.044902124694034e-12,1.494196032402013e-12,0.8185893849360639
479,1.0539098156960356e-11,9.044902124513626e-12,1.49419603244673e-12,0.818589384925525
480,1.053909815682467e-11,9.044902124333222e-12,1.494196032491447e-12,0.8185893849149861
481,1.0539098156688978e-11,9.044902124152814e-12,1.4941960325361638e-12,0.8185893849044472
482,1.0539098156553291e-11,9.04490212397241e-12,1.494196032580881e-12,0.8185893848939081
483,1.0539098156417601e-11,9.044902123792003e-12,1.494196032625598e-12,0.8185893848833691
484,1.0539098156281911e-11,9.044902123611595e-12,1.4941960326703151e-12,0.8185893848728304
485,1.0539098156146223e-11,9.044902123431191e-12,1.4941960327150324e-12,0.818589384862291
486,1.0539098156010536e-11,9.044902123250786e-12,1.4941960327597494e-12,0.8185893848517523
487,1.0539098155874845e-11,9.044902123070379e-12,1.4941960328044666e-12,0.8185893848412132
488,1.053909815573916e-11,9.044902122889976e-12,1.4941960328491836e-12,0.8185893848306744
489,1.0539098155603471e-11,9.044902122709571e-12,1.4941960328939009e-12,0.8185893848201355
490,1.0539098155467783e-11,9.044902122529165e-12,1.4941960329386179e-12,0.8185893848095964
491,1.0539098155332098e-11,9.044902122348762e-12,1.4941960329833351e-12,0.8185893847990575
492,1.053909815519641e-11,9.044902122168358e-12,1.4941960330280524e-12,0.8185893847885187
493,1.0539098155060721e-11,9.044902121987951e-12,1.4941960330727696e-12,0.8185893847779795
494,1.0539098154925035e-11,9.044902121807549e-12,1.4941960331174868e-12,0.8185893847674406
495,1.0539098154789348e-11,9.044902121627144e-12,1.494196033162204e-12,0.8185893847569016
496,1.053909815465366e-11,9.044902121446738e-12,1.4941960332069215e-12,0.8185893847463626
497,1.0539098154517973e-11,9.044902121266335e-12,1.4941960332516385e-12,0.8185893847358238
498,1.0539098154382288e-11,9.044902121085932e-12,1.494196033296356e-12,0.8185893847252846
499,1.0539098154246601e-11,9.044902120905527e-12,1.4941960333410728e-12,0.8185893847147456
500,1.0539098154110914e-11,9.044902120725125e-12,1.4941960333857902e-12,0.8185893847042067
501,1.053909815397523e-11,9.044902120544722e-12,1.4941960334305074e-12,0.8185893846936677
