t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
267,88,0.013528748590755355,0.23675310033821872,0.7576099210822999,0.005636978579481398,0.22886133032694475,0.007891770011273957
268,75,0.01347557551937114,0.23469960696238068,0.7585626052779337,0.00673778775968557,0.22796181920269512,0.00673778775968557
269,91,0.01233183856502242,0.23430493273542602,0.7600896860986547,0.005605381165919282,0.22757847533632286,0.006726457399103139
270,90,0.012304250559284116,0.22874720357941836,0.7656599552572707,0.005592841163310962,0.22203579418344518,0.006711409395973154
271,96,0.011751538891997761,0.2305540011191942,0.7638500279798545,0.005595970900951315,0.22439843312814772,0.006155567991046447
272,103,0.01288515406162465,0.22857142857142856,0.7647058823529411,0.0067226890756302525,0.22240896358543416,0.0061624649859943975
273,71,0.012249443207126948,0.22884187082405344,0.765033407572383,0.006124721603563474,0.22271714922049,0.006124721603563474
274,89,0.013031161473087818,0.22719546742209631,0.7660056657223796,0.006798866855524079,0.22096317280453256,0.006232294617563739
275,79,0.012906846240179574,0.22278338945005613,0.7699214365881033,0.007295173961840628,0.21717171717171718,0.005611672278338945
276,76,0.013385387618516454,0.2242052426101506,0.7685443390964863,0.007250418293363078,0.2180702732849972,0.006134969325153374
277,94,0.014428412874583796,0.2241953385127636,0.767480577136515,0.008324084350721421,0.2180910099889012,0.006104328523862375
278,84,0.013919821826280624,0.22939866369710468,0.7628062360801782,0.0077951002227171495,0.2232739420935412,0.006124721603563474
279,79,0.01270718232044199,0.2292817679558011,0.7635359116022099,0.0071823204419889505,0.22375690607734808,0.0055248618784530384
280,80,0.012658227848101266,0.2267473858007705,0.7655476059438635,0.007705008255365988,0.22179416620803521,0.0049532195927352776
281,80,0.014309301045679693,0.22729774353329665,0.7638965327462851,0.008805723720418272,0.22179416620803521,0.00550357732526142
282,85,0.016183035714285716,0.22823660714285715,0.76171875,0.010044642857142858,0.22209821428571427,0.006138392857142857
283,90,0.01566871852266368,0.22495803021824287,0.7649692221600448,0.010072747621712367,0.21936205931729155,0.005595970900951315
284,65,0.014941892639734366,0.22357498616491422,0.7670171555063642,0.009407858328721638,0.2180409518539015,0.005534034311012728
285,92,0.013407821229050279,0.21899441340782122,0.7720670391061453,0.008938547486033519,0.21452513966480447,0.004469273743016759
286,93,0.01383508577753182,0.22025456557830658,0.7703375760929718,0.009407858328721638,0.2158273381294964,0.004427227448810182
287,102,0.012554585152838428,0.22434497816593887,0.7663755458515283,0.009279475982532752,0.2210698689956332,0.0032751091703056767
288,82,0.01202843083652269,0.22252597047566977,0.768726079825041,0.008747949699289229,0.2192454893384363,0.0032804811372334607
289,89,0.010869565217391304,0.22391304347826088,0.7684782608695652,0.007608695652173913,0.22065217391304348,0.003260869565217391
290,98,0.011444141689373298,0.22670299727520435,0.7651226158038147,0.008174386920980926,0.22343324250681199,0.0032697547683923707
291,90,0.011891891891891892,0.23189189189189188,0.76,0.008108108108108109,0.2281081081081081,0.0037837837837837837
292,71,0.011866235167206042,0.22923408845738943,0.7626752966558792,0.008090614886731391,0.22545846817691478,0.0037756202804746495
293,98,0.011217948717948718,0.2329059829059829,0.7601495726495726,0.006944444444444444,0.22863247863247863,0.004273504273504274
294,91,0.011284255776464266,0.231058570660935,0.7619559376679205,0.006985491671144546,0.22675980655561526,0.004298764105319721
295,72,0.010531858873091101,0.22906793048973143,0.764612954186414,0.00631911532385466,0.224855186940495,0.00421274354923644
296,96,0.01050420168067227,0.226890756302521,0.7668067226890757,0.0063025210084033615,0.22268907563025211,0.004201680672268907
297,101,0.010531858873091101,0.2259083728278041,0.7672459189046866,0.006845708267509215,0.2222222222222222,0.003686150605581885
298,91,0.009013785790031814,0.22905620360551432,0.7651113467656415,0.005832449628844115,0.2258748674443266,0.003181336161187699
299,95,0.009433962264150943,0.22641509433962265,0.7678197064989518,0.005765199161425576,0.22274633123689727,0.003668763102725367
